Date,Close,High,Low,Open,Volume
2024-12-19,635.0,740.0,597.0,736.0,13498000
2024-12-20,642.0,692.0,636.0,675.0,3853500
2024-12-23,652.0,705.0,651.0,680.0,2704800
2024-12-24,612.0,640.0,600.0,640.0,1177300
2024-12-25,582.0,627.0,570.0,612.0,961100
2024-12-26,563.0,580.0,539.0,565.0,1378100
2024-12-27,531.0,565.0,531.0,556.0,1021800
2024-12-30,545.0,558.0,536.0,541.0,591400
2025-01-06,538.0,574.0,532.0,546.0,710700
2025-01-07,527.0,550.0,526.0,546.0,431800
2025-01-08,547.0,597.0,510.0,528.0,2885300
2025-01-09,528.0,570.0,518.0,560.0,1132800
2025-01-10,528.0,542.0,525.0,526.0,406900
2025-01-14,515.0,545.0,512.0,531.0,360800
2025-01-15,505.0,522.0,489.0,512.0,553100
2025-01-16,487.0,522.0,487.0,515.0,319000
2025-01-17,463.0,492.0,454.0,487.0,615300
2025-01-20,463.0,468.0,449.0,459.0,371500
2025-01-21,472.0,510.0,465.0,471.0,813400
