Date,Adj Close,Close,High,Low,Open,Volume
2025-08-18,830.0,830.0,838.0,820.0,825.0,166000
2025-08-19,814.0,814.0,829.0,813.0,828.0,201400
2025-08-20,791.0,791.0,815.0,789.0,815.0,240900
2025-08-21,849.0,849.0,849.0,795.0,800.0,244400
2025-08-22,850.0,850.0,854.0,838.0,850.0,161000
2025-08-25,861.0,861.0,863.0,845.0,862.0,116600
2025-08-26,858.0,858.0,862.0,843.0,862.0,71100
2025-08-27,853.0,853.0,859.0,841.0,858.0,73900
2025-08-28,851.0,851.0,851.0,835.0,843.0,80700
2025-08-29,846.0,846.0,855.0,841.0,851.0,40600
2025-09-01,852.0,852.0,861.0,836.0,840.0,104000
2025-09-02,843.0,843.0,862.0,838.0,853.0,73600
2025-09-03,817.0,817.0,843.0,814.0,843.0,126800
2025-09-04,815.0,815.0,821.0,812.0,819.0,63800
2025-09-05,826.0,826.0,829.0,818.0,819.0,40200
2025-09-08,813.0,813.0,827.0,812.0,827.0,130700
2025-09-09,816.0,816.0,829.0,811.0,813.0,83900
2025-09-10,825.0,825.0,830.0,814.0,816.0,52600
2025-09-11,819.0,819.0,841.0,819.0,829.0,53700
2025-09-12,822.0,822.0,830.0,812.0,829.0,71700
2025-09-16,849.0,849.0,849.0,819.0,823.0,97500
2025-09-17,838.0,838.0,850.0,831.0,849.0,96900
2025-09-18,842.0,842.0,849.0,825.0,840.0,71900
2025-09-19,862.0,862.0,864.0,837.0,846.0,97900
2025-09-22,875.0,875.0,900.0,863.0,873.0,245500
2025-09-24,842.0,842.0,877.0,839.0,877.0,130400
2025-09-25,850.0,850.0,851.0,837.0,842.0,50200
2025-09-26,840.0,840.0,850.0,840.0,845.0,41500
2025-09-29,860.0,860.0,862.0,836.0,840.0,57100
2025-09-30,853.0,853.0,866.0,847.0,858.0,54200
2025-10-01,836.0,836.0,852.0,828.0,852.0,103400
2025-10-02,829.0,829.0,860.0,823.0,842.0,99300
2025-10-03,832.0,832.0,838.0,828.0,829.0,30700
2025-10-06,835.0,835.0,848.0,832.0,847.0,44800
2025-10-07,833.0,833.0,838.0,829.0,836.0,48600
2025-10-08,835.0,835.0,840.0,821.0,827.0,39100
2025-10-09,828.0,828.0,838.0,824.0,837.0,61000
2025-10-10,825.0,825.0,834.0,821.0,825.0,42900
2025-10-14,786.0,786.0,810.0,776.0,802.0,197200
2025-10-15,809.0,809.0,811.0,789.0,789.0,65100
2025-10-16,805.0,805.0,814.0,802.0,808.0,37600
2025-10-17,791.0,791.0,807.0,791.0,798.0,38500
2025-10-20,805.0,805.0,812.0,796.0,798.0,31100
2025-10-21,782.0,782.0,815.0,761.0,814.0,248900
2025-10-22,781.0,781.0,787.0,774.0,777.0,88300
2025-10-23,772.0,772.0,779.0,767.0,774.0,68500
2025-10-24,778.0,778.0,788.0,769.0,773.0,50600
2025-10-27,781.0,781.0,785.0,776.0,776.0,40500
2025-10-28,775.0,775.0,785.0,775.0,782.0,47700
2025-10-29,773.0,773.0,780.0,766.0,772.0,56200
2025-10-30,768.0,768.0,777.0,767.0,776.0,45700
2025-10-31,805.0,805.0,806.0,770.0,770.0,107600
2025-11-04,785.0,785.0,809.0,785.0,806.0,45600
2025-11-05,784.0,784.0,788.0,766.0,788.0,39400
2025-11-06,802.0,802.0,804.0,786.0,790.0,96900
2025-11-07,798.0,798.0,802.0,790.0,801.0,18900
2025-11-10,823.0,823.0,826.0,795.0,803.0,77200
2025-11-11,830.0,830.0,838.0,822.0,825.0,57500
2025-11-12,846.0,846.0,854.0,824.0,824.0,101900
2025-11-13,851.0,851.0,870.0,830.0,851.0,203200
2025-11-14,850.0,850.0,885.0,836.0,850.0,357200
2025-11-17,840.0,840.0,850.0,819.0,850.0,175600
2025-11-18,846.0,846.0,852.0,830.0,846.0,84800
2025-11-19,821.0,821.0,851.0,820.0,845.0,59600
2025-11-20,900.0,900.0,910.0,845.0,856.0,345200
2025-11-21,931.0,931.0,931.0,882.0,885.0,243400
2025-11-25,920.0,920.0,951.0,910.0,950.0,219900
2025-11-26,922.0,922.0,928.0,910.0,921.0,63800
2025-11-27,922.0,922.0,927.0,916.0,922.0,29800
2025-11-28,916.0,916.0,921.0,911.0,911.0,54400
2025-12-01,987.0,987.0,1006.0,947.0,955.0,363100
2025-12-02,957.0,957.0,977.0,940.0,972.0,148400
2025-12-03,944.0,944.0,966.0,931.0,957.0,76500
2025-12-04,925.0,925.0,947.0,925.0,943.0,71800
2025-12-05,910.0,910.0,934.0,900.0,926.0,144300
2025-12-08,904.0,904.0,929.0,896.0,910.0,121500
2025-12-09,910.0,910.0,918.0,901.0,914.0,46600
2025-12-10,936.0,936.0,936.0,910.0,913.0,72500
2025-12-11,913.0,913.0,929.0,904.0,928.0,99400
2025-12-12,918.0,918.0,920.0,909.0,909.0,33400
2025-12-15,940.0,940.0,940.0,920.0,920.0,49400
2025-12-16,925.0,925.0,942.0,921.0,942.0,64300
2025-12-17,941.0,941.0,946.0,920.0,929.0,94400
2025-12-18,940.0,940.0,956.0,926.0,926.0,82100
2025-12-19,981.0,981.0,985.0,949.0,949.0,74700
2025-12-22,1005.0,1005.0,1011.0,987.0,1000.0,124400
2025-12-23,1037.0,1037.0,1040.0,1004.0,1004.0,102500
2025-12-24,1029.0,1029.0,1048.0,1021.0,1047.0,85100
2025-12-25,1102.0,1102.0,1124.0,1029.0,1029.0,210800
2025-12-26,1131.0,1131.0,1186.0,1119.0,1162.0,228500
2025-12-29,1138.0,1138.0,1160.0,1120.0,1150.0,167500
2025-12-30,1107.0,1107.0,1145.0,1098.0,1145.0,169300
2026-01-05,1110.0,1110.0,1135.0,1090.0,1116.0,129000
2026-01-06,1184.0,1184.0,1184.0,1120.0,1120.0,132800
2026-01-07,1145.0,1145.0,1185.0,1136.0,1184.0,148900
2026-01-08,1199.0,1199.0,1203.0,1161.0,1171.0,152400
2026-01-09,1254.0,1254.0,1258.0,1201.0,1220.0,213800
2026-01-13,1238.0,1238.0,1309.0,1210.0,1301.0,353900
2026-01-14,1227.0,1227.0,1251.0,1213.0,1235.0,197400
2026-01-15,1251.0,1251.0,1283.0,1211.0,1227.0,249300
