,Adj Close,Close,High,Low,Open,Volume
2026-01-19,1754.0,1754.0,1773.0,1751.0,1773.0,3900
2026-01-20,1757.0,1757.0,1760.0,1747.0,1750.0,2700
2026-01-21,1725.0,1725.0,1748.0,1700.0,1748.0,1900
2026-01-22,1794.0,1794.0,1895.0,1725.0,1733.0,21500
2026-01-23,1884.0,1884.0,1884.0,1794.0,1810.0,1900
2026-01-26,1840.0,1840.0,1880.0,1829.0,1880.0,3000
2026-01-27,1845.0,1845.0,1845.0,1810.0,1840.0,700
2026-01-28,1829.0,1829.0,1840.0,1829.0,1830.0,600
2026-01-29,1810.0,1810.0,1834.0,1810.0,1834.0,1700
2026-01-30,1758.0,1758.0,1810.0,1753.0,1795.0,5200
2026-02-02,1751.0,1751.0,1795.0,1751.0,1758.0,3000
2026-02-03,1726.0,1726.0,1751.0,1711.0,1751.0,1600
2026-02-04,1712.0,1712.0,1725.0,1712.0,1712.0,3700
2026-02-05,1721.0,1721.0,1726.0,1720.0,1724.0,3600
2026-02-06,1720.0,1720.0,1724.0,1708.0,1714.0,1000
2026-02-09,1722.0,1722.0,1722.0,1720.0,1720.0,800
2026-02-10,1723.0,1723.0,1723.0,1722.0,1722.0,300
2026-02-12,1730.0,1730.0,1738.0,1727.0,1738.0,2400
2026-02-13,1681.0,1681.0,1728.0,1681.0,1728.0,8800
2026-02-16,1684.0,1684.0,1684.0,1640.0,1675.0,14300
2026-02-17,1678.0,1678.0,1685.0,1678.0,1684.0,1200
2026-02-18,1687.0,1687.0,1687.0,1675.0,1675.0,2300
2026-02-19,1697.0,1697.0,1752.0,1664.0,1688.0,8400
2026-02-20,1700.0,1700.0,1700.0,1690.0,1690.0,3400
2026-02-24,1690.0,1690.0,1729.0,1690.0,1700.0,3700
2026-02-25,1689.0,1689.0,1702.0,1689.0,1690.0,2600
2026-02-26,1708.0,1708.0,1708.0,1690.0,1690.0,700
2026-02-27,1710.0,1710.0,1730.0,1710.0,1716.0,2400
2026-03-02,1710.0,1710.0,1720.0,1705.0,1720.0,2200
2026-03-03,1710.0,1710.0,1710.0,1700.0,1708.0,2200
2026-03-04,1687.0,1687.0,1693.0,1680.0,1687.0,3700
2026-03-05,1711.0,1711.0,1711.0,1689.0,1695.0,900
2026-03-06,1703.0,1703.0,1712.0,1688.0,1688.0,600
2026-03-09,1686.0,1686.0,1695.0,1648.0,1689.0,5500
2026-03-10,1699.0,1699.0,1708.0,1690.0,1690.0,2000
2026-03-11,1713.0,1713.0,1717.0,1699.0,1700.0,2400
2026-03-12,1707.0,1707.0,1739.0,1690.0,1739.0,2800
2026-03-13,1700.0,1700.0,1707.0,1699.0,1707.0,900
2026-03-16,1698.0,1698.0,1698.0,1660.0,1660.0,1000
2026-03-17,1700.0,1700.0,1700.0,1660.0,1660.0,200
2026-03-18,1699.0,1699.0,1699.0,1695.0,1695.0,300
2026-03-19,1699.0,1699.0,1699.0,1699.0,1699.0,100
2026-03-23,1632.0,1632.0,1686.0,1604.0,1604.0,8400
2026-03-24,1684.0,1684.0,1686.0,1617.0,1632.0,7900
2026-03-25,1644.0,1644.0,1684.0,1644.0,1684.0,900
2026-03-26,1657.0,1657.0,1661.0,1616.0,1661.0,800
2026-03-27,1687.0,1687.0,1687.0,1653.0,1668.0,7000
2026-03-30,1670.0,1670.0,1686.0,1647.0,1647.0,700
2026-03-31,1690.0,1690.0,1697.0,1686.0,1697.0,1300
2026-04-01,1690.0,1690.0,1700.0,1690.0,1700.0,500
2026-04-02,1661.0,1661.0,1686.0,1661.0,1665.0,1800
2026-04-03,1669.0,1669.0,1669.0,1661.0,1661.0,300
2026-04-06,1700.0,1700.0,1701.0,1695.0,1695.0,2300
2026-04-07,1696.0,1696.0,1700.0,1689.0,1700.0,1000
2026-04-08,1734.0,1734.0,1740.0,1686.0,1700.0,5900
2026-04-09,1721.0,1721.0,1753.0,1721.0,1739.0,2000
2026-04-10,1769.0,1769.0,1769.0,1721.0,1721.0,4700
2026-04-13,1728.0,1728.0,1769.0,1690.0,1769.0,11400
2026-04-14,1723.0,1723.0,1754.0,1700.0,1754.0,1900
2026-04-15,1727.0,1727.0,1742.0,1723.0,1728.0,1500
2026-04-16,1747.0,1747.0,1747.0,1738.0,1738.0,2100
2026-04-17,1761.0,1761.0,1765.0,1755.0,1765.0,1500
2026-04-20,1761.0,1761.0,1761.0,1750.0,1761.0,700
2026-04-21,1760.0,1760.0,1768.0,1756.0,1765.0,1700
2026-04-22,1721.0,1721.0,1760.0,1710.0,1760.0,2200
2026-04-23,1706.0,1706.0,1728.0,1680.0,1721.0,2100
2026-04-24,1707.0,1707.0,1714.0,1699.0,1714.0,1100
2026-04-27,1689.0,1689.0,1707.0,1686.0,1707.0,900
2026-04-28,1658.72021484375,1715.0,1720.0,1710.0,1710.0,700
2026-04-30,1678.0638427734375,1735.0,1751.0,1708.0,1722.0,6300
2026-05-01,1667.4248046875,1724.0,1742.0,1724.0,1735.0,1100
2026-05-07,1680.96533203125,1738.0,1764.0,1725.0,1764.0,1400
2026-05-08,1715.7840576171875,1774.0,1774.0,1738.0,1738.0,1800
2026-05-11,1706.1121826171875,1764.0,1790.0,1760.0,1774.0,1500
2026-05-12,1720.619873046875,1779.0,1784.0,1762.0,1764.0,900
2026-05-13,1710.9481201171875,1769.0,1778.0,1765.0,1778.0,1400
2026-05-14,1683.866943359375,1741.0,1772.0,1741.0,1772.0,1200
2026-05-15,1700.30908203125,1758.0,1819.0,1740.0,1743.0,6400
2026-05-18,1679.9981689453125,1737.0,1742.0,1735.0,1742.0,1200
2026-05-19,1692.5716552734375,1750.0,1750.0,1727.0,1727.0,200
2026-05-20,1666.4576416015625,1723.0,1731.0,1700.0,1731.0,1900
2026-05-21,1659.6873779296875,1716.0,1724.0,1681.0,1724.0,2800
2026-05-22,1662.5888671875,1719.0,1719.0,1702.0,1712.0,1600
2026-05-25,1651.9498291015625,1708.0,1723.0,1681.0,1719.0,1800
2026-05-26,1677.0966796875,1734.0,1743.0,1709.0,1721.0,1600
2026-05-27,1621.0,1676.0,1748.0,1657.0,1748.0,5100
2026-05-28,1646.0,1646.0,1646.0,1542.0,1613.0,9800
2026-05-29,1646.0,1646.0,1650.0,1605.0,1645.0,1500
2026-06-01,1651.0,1651.0,1678.0,1606.0,1606.0,7000
2026-06-02,1678.0,1678.0,1691.0,1650.0,1691.0,900
2026-06-03,1632.0,1632.0,1655.0,1601.0,1655.0,4400
2026-06-04,1631.0,1631.0,1640.0,1602.0,1605.0,1800
2026-06-05,1623.0,1623.0,1647.0,1600.0,1600.0,1100
2026-06-08,1624.0,1624.0,1659.0,1603.0,1603.0,1900
2026-06-09,1631.0,1631.0,1631.0,1630.0,1630.0,300
2026-06-10,1633.0,1633.0,1642.0,1605.0,1631.0,2300
2026-06-11,1626.0,1626.0,1640.0,1626.0,1638.0,1100
2026-06-12,1640.0,1640.0,1640.0,1593.0,1593.0,600
2026-06-15,1675.0,1675.0,1675.0,1660.0,1660.0,5200
2026-06-16,1660.0,1660.0,1660.0,1660.0,1660.0,400
