Date,Adj Close,Close,High,Low,Open,Volume
2024-08-16,1438.1497802734375,1472.0,1472.0,1472.0,1472.0,800
2024-08-19,1401.023681640625,1434.0,1464.0,1434.0,1464.0,200
2024-08-20,1378.552490234375,1411.0,1435.0,1411.0,1434.0,1200
2024-08-21,1378.552490234375,1411.0,1411.0,1411.0,1411.0,0
2024-08-22,1382.4605712890625,1415.0,1415.0,1415.0,1415.0,100
2024-08-23,1416.65576171875,1450.0,1456.0,1426.0,1445.0,2100
2024-08-26,1424.4716796875,1458.0,1458.0,1458.0,1458.0,200
2024-08-27,1427.4027099609375,1461.0,1485.0,1460.0,1460.0,400
2024-08-28,1427.4027099609375,1461.0,1461.0,1461.0,1461.0,0
2024-08-29,1429.3568115234375,1463.0,1463.0,1463.0,1463.0,200
2024-08-30,1429.3568115234375,1463.0,1463.0,1463.0,1463.0,0
2024-09-02,1432.2877197265625,1466.0,1466.0,1466.0,1466.0,500
2024-09-03,1454.7589111328125,1489.0,1489.0,1465.0,1465.0,300
2024-09-04,1445.9658203125,1480.0,1482.0,1480.0,1482.0,500
2024-09-05,1448.8968505859375,1483.0,1483.0,1466.0,1469.0,1300
2024-09-06,1450.850830078125,1485.0,1489.0,1480.0,1483.0,600
2024-09-09,1455.73583984375,1490.0,1490.0,1479.0,1479.0,900
2024-09-10,1456.712890625,1491.0,1515.0,1491.0,1497.0,2600
2024-09-11,1460.620849609375,1495.0,1495.0,1491.0,1491.0,200
2024-09-12,1461.597900390625,1496.0,1496.0,1496.0,1496.0,100
2024-09-13,1461.597900390625,1496.0,1496.0,1496.0,1496.0,0
2024-09-17,1465.505859375,1500.0,1500.0,1497.0,1497.0,900
2024-09-18,1465.505859375,1500.0,1500.0,1500.0,1500.0,200
2024-09-19,1492.862060546875,1528.0,1528.0,1510.0,1510.0,500
2024-09-20,1476.2529296875,1511.0,1528.0,1511.0,1528.0,1100
2024-09-24,1490.907958984375,1526.0,1531.0,1511.0,1511.0,700
2024-09-25,1489.9310302734375,1525.0,1526.0,1513.0,1526.0,600
2024-09-26,1487.0,1522.0,1544.0,1522.0,1525.0,1600
2024-09-27,1521.0,1521.0,1521.0,1513.0,1517.0,2700
2024-09-30,1521.0,1521.0,1521.0,1515.0,1520.0,1500
2024-10-01,1521.0,1521.0,1522.0,1521.0,1522.0,300
2024-10-02,1520.0,1520.0,1520.0,1520.0,1520.0,1200
2024-10-03,1517.0,1517.0,1520.0,1517.0,1520.0,900
2024-10-04,1517.0,1517.0,1517.0,1517.0,1517.0,300
2024-10-07,1541.0,1541.0,1541.0,1539.0,1539.0,700
2024-10-08,1539.0,1539.0,1541.0,1539.0,1541.0,400
