,Adj Close,Close,High,Low,Open,Volume
2026-02-13,700.0,700.0,706.0,699.0,701.0,11800
2026-02-16,694.0,694.0,694.0,685.0,691.0,17600
2026-02-17,690.0,690.0,697.0,686.0,690.0,11600
2026-02-18,657.0,657.0,693.0,657.0,690.0,55200
2026-02-19,675.0,675.0,678.0,659.0,659.0,34300
2026-02-20,656.0,656.0,667.0,656.0,667.0,23100
2026-02-24,680.0,680.0,706.0,666.0,686.0,129700
2026-02-25,726.0,726.0,732.0,692.0,695.0,116600
2026-02-26,690.0,690.0,719.0,684.0,719.0,62600
2026-02-27,682.0,682.0,691.0,679.0,686.0,40300
2026-03-02,663.0,663.0,683.0,663.0,683.0,48500
2026-03-03,643.0,643.0,672.0,640.0,665.0,61000
2026-03-04,624.0,624.0,637.0,603.0,633.0,96100
2026-03-05,650.0,650.0,659.0,630.0,639.0,46600
2026-03-06,656.0,656.0,664.0,646.0,653.0,21800
2026-03-09,624.0,624.0,635.0,611.0,628.0,47200
2026-03-10,644.0,644.0,653.0,632.0,646.0,20800
2026-03-11,638.0,638.0,656.0,638.0,648.0,14800
2026-03-12,637.0,637.0,649.0,635.0,648.0,18500
2026-03-13,625.0,625.0,635.0,623.0,627.0,45200
2026-03-16,626.0,626.0,633.0,611.0,615.0,28400
2026-03-17,638.0,638.0,645.0,629.0,636.0,27400
2026-03-18,650.0,650.0,650.0,632.0,642.0,27700
2026-03-19,653.0,653.0,653.0,627.0,640.0,47200
2026-03-23,637.0,637.0,658.0,637.0,650.0,34900
2026-03-24,653.0,653.0,658.0,625.0,637.0,21300
2026-03-25,671.0,671.0,671.0,657.0,663.0,23500
2026-03-26,672.0,672.0,678.0,647.0,673.0,33500
2026-03-27,679.0,679.0,679.0,661.0,672.0,21200
2026-03-30,321.0,321.0,336.0,321.0,336.0,68000
2026-03-31,321.0,321.0,332.0,317.5,321.0,58600
2026-04-01,321.0,321.0,328.0,321.0,323.0,37000
2026-04-02,317.0,317.0,324.5,317.0,322.5,32400
2026-04-03,320.0,320.0,325.0,316.0,316.0,75400
2026-04-06,327.5,327.5,330.5,317.0,320.0,92000
2026-04-07,326.0,326.0,329.5,322.5,323.5,51200
2026-04-08,325.5,325.5,327.5,323.0,326.5,73000
2026-04-09,324.0,324.0,325.0,320.0,325.0,118200
2026-04-10,313.0,313.0,323.5,313.0,322.0,95600
2026-04-13,310.0,310.0,314.5,301.0,313.0,119400
2026-04-14,308.5,308.5,312.5,307.5,310.0,45800
2026-04-15,313.0,313.0,317.5,310.0,310.0,67200
2026-04-16,316.0,316.0,317.0,313.5,313.5,83000
2026-04-17,311.0,311.0,317.0,311.0,317.0,41000
2026-04-20,307.5,307.5,312.0,307.5,311.0,104600
2026-04-21,307.5,307.5,310.0,307.5,310.0,41800
2026-04-22,308.0,308.0,311.0,306.5,307.0,43000
2026-04-23,305.5,305.5,309.0,305.5,309.0,23400
2026-04-24,307.5,307.5,307.5,305.0,305.5,23200
2026-04-27,308.5,308.5,309.0,304.5,305.0,296200
