Date,Close,High,Low,Open,Volume
2023-04-06,1400.0,1400.0,1400.0,1400.0,0
2023-04-07,1400.0,1400.0,1400.0,1400.0,0
2023-04-10,1400.0,1400.0,1400.0,1400.0,0
2023-04-11,1400.0,1400.0,1400.0,1400.0,0
2023-04-12,1400.0,1400.0,1400.0,1400.0,0
2023-04-13,1400.0,1400.0,1400.0,1400.0,0
2023-04-14,1400.0,1400.0,1400.0,1400.0,0
2023-04-17,1400.0,1400.0,1400.0,1400.0,0
2023-04-18,1400.0,1400.0,1400.0,1400.0,0
2023-04-19,1400.0,1400.0,1400.0,1400.0,0
2023-04-20,1400.0,1400.0,1400.0,1400.0,0
2023-04-21,1400.0,1400.0,1400.0,1400.0,0
2023-04-24,1400.0,1400.0,1400.0,1400.0,0
2023-04-25,1400.0,1400.0,1400.0,1400.0,0
2023-04-26,1400.0,1400.0,1400.0,1400.0,0
2023-04-27,1400.0,1400.0,1400.0,1400.0,0
2023-04-28,1400.0,1400.0,1400.0,1400.0,0
2023-05-01,1400.0,1400.0,1400.0,1400.0,0
2023-05-02,1400.0,1400.0,1400.0,1400.0,0
2023-05-08,1400.0,1400.0,1400.0,1400.0,0
2023-05-09,1400.0,1400.0,1400.0,1400.0,0
2023-05-10,1400.0,1400.0,1400.0,1400.0,0
2023-05-11,1400.0,1400.0,1400.0,1400.0,0
2023-05-12,1400.0,1400.0,1400.0,1400.0,0
2023-05-15,1400.0,1400.0,1400.0,1400.0,0
2023-05-16,1400.0,1400.0,1400.0,1400.0,0
2023-05-17,1400.0,1400.0,1400.0,1400.0,0
2023-05-18,1400.0,1400.0,1400.0,1400.0,0
2023-05-19,1400.0,1400.0,1400.0,1400.0,0
2023-05-22,1400.0,1400.0,1400.0,1400.0,0
2023-05-23,1400.0,1400.0,1400.0,1400.0,0
2023-05-24,1400.0,1400.0,1400.0,1400.0,0
2023-05-25,1400.0,1400.0,1400.0,1400.0,0
2023-05-26,1400.0,1400.0,1400.0,1400.0,0
2023-05-29,1400.0,1400.0,1400.0,1400.0,0
2023-05-30,1400.0,1400.0,1400.0,1400.0,0
2023-05-31,1400.0,1400.0,1400.0,1400.0,0
2023-06-01,1400.0,1400.0,1400.0,1400.0,0
2023-06-02,1400.0,1400.0,1400.0,1400.0,0
2023-06-05,1400.0,1400.0,1400.0,1400.0,0
2023-06-06,1400.0,1400.0,1400.0,1400.0,0
2023-06-07,1400.0,1400.0,1400.0,1400.0,0
2023-06-08,1400.0,1400.0,1400.0,1400.0,0
2023-06-09,1400.0,1400.0,1400.0,1400.0,0
2023-06-12,1400.0,1400.0,1400.0,1400.0,0
2023-06-13,1400.0,1400.0,1400.0,1400.0,0
2023-06-14,1400.0,1400.0,1400.0,1400.0,0
2023-06-15,1400.0,1400.0,1400.0,1400.0,0
