Date,Close,High,Low,Open,Volume
2024-12-27,2625.0,3475.0,2625.0,3325.0,2570200
2024-12-30,2187.0,2565.0,2155.0,2525.0,862600
2025-01-06,2168.0,2309.0,2101.0,2278.0,200800
2025-01-07,2090.0,2179.0,2090.0,2159.0,100400
2025-01-08,2213.0,2269.0,2062.0,2108.0,192000
2025-01-09,2048.0,2178.0,2030.0,2150.0,117200
2025-01-10,1992.0,2061.0,1982.0,2020.0,66600
2025-01-14,1881.0,1952.0,1880.0,1952.0,127800
2025-01-15,1848.0,1915.0,1845.0,1886.0,51600
2025-01-16,1808.0,1866.0,1796.0,1860.0,86800
2025-01-17,1815.0,1817.0,1770.0,1795.0,57900
2025-01-20,1900.0,1916.0,1822.0,1822.0,59800
2025-01-21,1850.0,1935.0,1850.0,1920.0,34700
2025-01-22,1790.0,1863.0,1790.0,1855.0,35100
2025-01-23,1871.0,1915.0,1771.0,1787.0,50100
2025-01-24,1803.0,1886.0,1802.0,1883.0,25400
2025-01-27,1792.0,1848.0,1780.0,1843.0,26100
2025-01-28,1798.0,1808.0,1778.0,1790.0,11100
2025-01-29,1845.0,1851.0,1790.0,1800.0,22000
2025-01-30,1858.0,1870.0,1807.0,1857.0,25900
2025-01-31,1825.0,1870.0,1824.0,1870.0,10800
2025-02-03,1785.0,1820.0,1775.0,1820.0,24400
2025-02-04,1686.0,1788.0,1686.0,1782.0,37100
2025-02-05,1650.0,1700.0,1643.0,1690.0,27800
2025-02-06,1651.0,1676.0,1610.0,1620.0,25200
