,Adj Close,Close,High,Low,Open,Volume
2025-06-26,2600.0,2600.0,2967.0,2498.0,2547.0,8250800
2025-06-27,2515.0,2515.0,2913.0,2510.0,2650.0,7415100
2025-06-30,2500.0,2500.0,2577.0,2355.0,2415.0,1234100
2025-07-01,2365.0,2365.0,2515.0,2324.0,2468.0,606800
2025-07-02,2420.0,2420.0,2570.0,2343.0,2405.0,943800
2025-07-03,2666.0,2666.0,2666.0,2428.0,2460.0,658200
2025-07-04,2470.0,2470.0,2750.0,2460.0,2616.0,680700
2025-07-07,2478.0,2478.0,2575.0,2465.0,2546.0,241000
2025-07-08,2585.0,2585.0,2618.0,2488.0,2510.0,197400
2025-07-09,2907.0,2907.0,3070.0,2660.0,2667.0,1294600
2025-07-10,2892.0,2892.0,2910.0,2753.0,2906.0,368400
2025-07-11,3020.0,3020.0,3190.0,2870.0,2920.0,602000
2025-07-14,3135.0,3135.0,3275.0,3040.0,3120.0,372500
2025-07-15,3000.0,3000.0,3220.0,2962.0,3200.0,294700
2025-07-16,3035.0,3035.0,3185.0,2650.0,2800.0,709900
2025-07-17,3120.0,3120.0,3300.0,2958.0,3200.0,532900
2025-07-18,2967.0,2967.0,3200.0,2965.0,3120.0,254100
2025-07-22,2900.0,2900.0,3055.0,2873.0,3020.0,155300
2025-07-23,2999.0,2999.0,3050.0,2950.0,2999.0,148900
2025-07-24,2925.0,2925.0,3020.0,2913.0,3000.0,89000
2025-07-25,2877.0,2877.0,2985.0,2873.0,2923.0,86400
2025-07-28,2787.034912109375,2820.0,2920.0,2816.0,2841.0,73400
2025-07-29,2729.712890625,2762.0,2848.0,2730.0,2812.0,107100
2025-07-30,2883.889404296875,2918.0,2918.0,2751.0,2774.0,56400
2025-07-31,2881.912841796875,2916.0,2973.0,2909.0,2960.0,68100
2025-08-01,2847.322021484375,2881.0,2925.0,2867.0,2900.0,35500
2025-08-04,2818.660888671875,2852.0,2895.0,2814.0,2818.0,39800
2025-08-05,2861.158203125,2895.0,2950.0,2850.0,2863.0,57100
2025-08-06,2963.942626953125,2999.0,3020.0,2905.0,2910.0,109500
2025-08-07,2925.3984375,2960.0,3055.0,2941.0,3040.0,118800
2025-08-08,2820.637451171875,2854.0,2973.0,2836.0,2960.0,104200
2025-08-12,2877.95947265625,2912.0,2985.0,2860.0,2860.0,98500
2025-08-13,2891.7958984375,2926.0,2995.0,2921.0,2926.0,51600
2025-08-14,2935.281494140625,2970.0,3010.0,2895.0,2955.0,88100
2025-08-15,3103.294189453125,3140.0,3140.0,2911.0,2970.0,130300
2025-08-18,3048.937255859375,3085.0,3190.0,3080.0,3165.0,71700
2025-08-19,3098.352783203125,3135.0,3150.0,3055.0,3080.0,56300
2025-08-20,3103.294189453125,3140.0,3150.0,3065.0,3100.0,53600
2025-08-21,3394.845703125,3435.0,3480.0,3130.0,3130.0,222300
2025-08-22,3315.781005859375,3355.0,3440.0,3305.0,3435.0,96200
2025-08-25,3320.722412109375,3360.0,3420.0,3290.0,3420.0,61700
2025-08-26,3296.014892578125,3335.0,3430.0,3305.0,3355.0,61000
2025-08-27,3216.949951171875,3255.0,3400.0,3230.0,3340.0,74300
2025-08-28,3280.0,3280.0,3320.0,3220.0,3230.0,34800
2025-08-29,3345.0,3345.0,3390.0,3300.0,3335.0,39200
2025-09-01,3330.0,3330.0,3340.0,3260.0,3305.0,33500
2025-09-02,3280.0,3280.0,3395.0,3260.0,3355.0,41500
2025-09-03,3180.0,3180.0,3310.0,3140.0,3310.0,62200
2025-09-04,3175.0,3175.0,3225.0,3135.0,3155.0,31800
2025-09-05,3160.0,3160.0,3255.0,3145.0,3220.0,52700
2025-09-08,3180.0,3180.0,3230.0,3055.0,3145.0,69800
2025-09-09,3230.0,3230.0,3285.0,3190.0,3220.0,47300
