Date,Open,High,Low,Close,Adj Close,Volume
2023-10-03,2687.0,2790.0,2525.0,2701.0,2701.0,2343300
2023-10-04,2651.0,2928.0,2612.0,2900.0,2900.0,1169500
2023-10-05,2850.0,3120.0,2850.0,3100.0,3100.0,1053400
2023-10-06,3035.0,3230.0,3000.0,3075.0,3075.0,412100
2023-10-10,2991.0,3000.0,2813.0,2918.0,2918.0,351500
2023-10-11,2950.0,3010.0,2839.0,2886.0,2886.0,333600
2023-10-12,2900.0,2960.0,2841.0,2926.0,2926.0,157500
2023-10-13,2851.0,3040.0,2851.0,2992.0,2992.0,189800
2023-10-16,3010.0,3015.0,2805.0,2827.0,2827.0,159100
2023-10-17,2850.0,2882.0,2617.0,2694.0,2694.0,229300
2023-10-18,2644.0,2740.0,2644.0,2727.0,2727.0,99800
2023-10-19,2653.0,2687.0,2520.0,2626.0,2626.0,89200
2023-10-20,2537.0,2648.0,2537.0,2593.0,2593.0,63800
2023-10-23,2554.0,2674.0,2553.0,2597.0,2597.0,63500
2023-10-24,2597.0,2640.0,2538.0,2600.0,2600.0,96500
2023-10-25,2625.0,2700.0,2617.0,2640.0,2640.0,36300
2023-10-26,2599.0,2650.0,2501.0,2501.0,2501.0,55700
2023-10-27,2511.0,2577.0,2501.0,2574.0,2574.0,20600
2023-10-30,2526.0,2539.0,2506.0,2524.0,2524.0,18400
2023-10-31,2522.0,2539.0,2475.0,2506.0,2506.0,46100
2023-11-01,2518.0,2599.0,2491.0,2514.0,2514.0,40600
2023-11-02,2514.0,2575.0,2491.0,2575.0,2575.0,20200
2023-11-06,2601.0,2642.0,2460.0,2471.0,2471.0,92000
2023-11-07,2474.0,2515.0,2460.0,2478.0,2478.0,26400
2023-11-08,2526.0,2526.0,2351.0,2351.0,2351.0,52100
2023-11-09,2350.0,2351.0,2235.0,2270.0,2270.0,59000
2023-11-10,2233.0,2245.0,2153.0,2214.0,2214.0,49300
2023-11-13,2264.0,2299.0,2213.0,2224.0,2224.0,40200
