,Adj Close,Close,High,Low,Open,Volume
2023-09-12,859.0,859.0,896.0,821.0,850.0,4973200
2023-09-13,870.0,870.0,884.0,790.0,859.0,1885000
2023-09-14,857.0,857.0,870.0,837.0,862.0,824500
2023-09-15,856.0,856.0,865.0,840.0,845.0,452200
2023-09-19,846.0,846.0,859.0,839.0,856.0,307800
2023-09-20,823.0,823.0,846.0,814.0,840.0,398800
2023-09-21,849.0,849.0,857.0,811.0,811.0,335800
2023-09-22,861.0,861.0,861.0,844.0,849.0,349000
2023-09-25,925.0,925.0,929.0,850.0,860.0,2128600
2023-09-26,891.0,891.0,927.0,882.0,910.0,577100
2023-09-27,915.0,915.0,987.0,884.0,891.0,1171500
2023-09-28,946.0,946.0,962.0,905.0,915.0,782500
2023-09-29,947.0,947.0,979.0,935.0,955.0,691600
2023-10-02,937.0,937.0,1028.0,932.0,962.0,1067200
2023-10-03,940.0,940.0,944.0,892.0,923.0,426400
2023-10-04,847.0,847.0,928.0,832.0,925.0,748800
2023-10-05,948.0,948.0,975.0,884.0,892.0,1459600
2023-10-06,944.0,944.0,980.0,919.0,950.0,547300
2023-10-10,903.0,903.0,944.0,903.0,932.0,308300
2023-10-11,888.0,888.0,916.0,878.0,900.0,253900
2023-10-12,906.0,906.0,911.0,850.0,889.0,400500
2023-10-13,893.0,893.0,933.0,886.0,906.0,254600
2023-10-16,834.0,834.0,902.0,833.0,878.0,511000
2023-10-17,864.0,864.0,878.0,846.0,859.0,186900
2023-10-18,860.0,860.0,865.0,841.0,864.0,130400
2023-10-19,815.0,815.0,852.0,801.0,845.0,220400
2023-10-20,798.0,798.0,821.0,756.0,820.0,301400
2023-10-23,750.0,750.0,795.0,737.0,783.0,401200
2023-10-24,828.0,828.0,838.0,776.0,816.0,500200
2023-10-25,848.0,848.0,861.0,823.0,830.0,211700
2023-10-26,813.0,813.0,833.0,798.0,833.0,186200
2023-10-27,830.0,830.0,858.0,826.0,841.0,211800
2023-10-30,818.0,818.0,841.0,806.0,822.0,241900
2023-10-31,854.0,854.0,874.0,825.0,848.0,319300
2023-11-01,862.0,862.0,885.0,831.0,860.0,194900
2023-11-02,873.0,873.0,900.0,853.0,862.0,291100
2023-11-06,849.0,849.0,884.0,838.0,879.0,180900
2023-11-07,841.0,841.0,854.0,837.0,845.0,110700
2023-11-08,863.0,863.0,880.0,855.0,855.0,193500
2023-11-09,903.0,903.0,925.0,866.0,877.0,404500
2023-11-10,893.0,893.0,901.0,877.0,883.0,124800
2023-11-13,896.0,896.0,914.0,889.0,892.0,203000
2023-11-14,853.0,853.0,897.0,842.0,897.0,225400
2023-11-15,831.0,831.0,883.0,820.0,883.0,230100
2023-11-16,855.0,855.0,875.0,839.0,846.0,143200
2023-11-17,904.0,904.0,904.0,842.0,854.0,359500
2023-11-20,895.0,895.0,959.0,884.0,889.0,438100
2023-11-21,905.0,905.0,928.0,889.0,891.0,194700
2023-11-22,893.0,893.0,911.0,882.0,904.0,158300
2023-11-24,893.0,893.0,901.0,867.0,898.0,147100
2023-11-27,893.0,893.0,926.0,876.0,895.0,210200
2023-11-28,950.0,950.0,980.0,913.0,918.0,788400
2023-11-29,958.0,958.0,971.0,929.0,939.0,237400
2023-11-30,965.0,965.0,977.0,947.0,975.0,261500
2023-12-01,950.0,950.0,985.0,943.0,964.0,228800
2023-12-04,950.0,950.0,963.0,925.0,950.0,170400
2023-12-05,930.0,930.0,955.0,920.0,940.0,132700
2023-12-06,916.0,916.0,938.0,892.0,938.0,198200
2023-12-07,899.0,899.0,911.0,893.0,906.0,127300
2023-12-08,893.0,893.0,903.0,872.0,892.0,168400
2023-12-11,893.0,893.0,925.0,891.0,905.0,140600
2023-12-12,856.0,856.0,908.0,847.0,898.0,225100
2023-12-13,847.0,847.0,867.0,843.0,852.0,100600
2023-12-14,850.0,850.0,876.0,845.0,860.0,132600
2023-12-15,867.0,867.0,871.0,845.0,850.0,118900
