,Adj Close,Close,High,Low,Open,Volume
2025-10-06,2520.0,2520.0,2735.0,2491.0,2502.0,3098000
2025-10-07,2550.0,2550.0,2565.0,2310.0,2520.0,658800
2025-10-08,2700.0,2700.0,2740.0,2496.0,2500.0,258500
2025-10-09,2807.0,2807.0,2900.0,2575.0,2677.0,348700
2025-10-10,2848.0,2848.0,3000.0,2720.0,2766.0,197700
2025-10-14,2715.0,2715.0,2841.0,2571.0,2748.0,141900
2025-10-15,2812.0,2812.0,2850.0,2724.0,2740.0,40000
2025-10-16,2620.0,2620.0,2829.0,2580.0,2829.0,62600
2025-10-17,2886.0,2886.0,2906.0,2391.0,2610.0,232900
2025-10-20,2748.0,2748.0,2934.0,2716.0,2836.0,51600
2025-10-21,2831.0,2831.0,2888.0,2727.0,2779.0,34800
2025-10-22,2968.0,2968.0,2976.0,2750.0,2789.0,59300
2025-10-23,2890.0,2890.0,2966.0,2809.0,2961.0,42400
2025-10-24,2837.0,2837.0,2943.0,2766.0,2936.0,28400
2025-10-27,2991.0,2991.0,3100.0,2878.0,2878.0,95500
2025-10-28,2844.0,2844.0,3070.0,2806.0,3070.0,85600
2025-10-29,2651.0,2651.0,2876.0,2619.0,2841.0,66100
2025-10-30,2766.0,2766.0,2770.0,2610.0,2642.0,23000
2025-10-31,2733.0,2733.0,2825.0,2692.0,2758.0,26200
2025-11-04,2682.0,2682.0,2744.0,2680.0,2702.0,29600
2025-11-05,2635.0,2635.0,2638.0,2516.0,2638.0,38400
2025-11-06,2633.0,2633.0,2670.0,2598.0,2635.0,16100
2025-11-07,2602.0,2602.0,2660.0,2564.0,2581.0,37400
2025-11-10,2748.0,2748.0,2780.0,2697.0,2697.0,40300
2025-11-11,2683.0,2683.0,2750.0,2679.0,2750.0,29200
2025-11-12,2758.0,2758.0,2780.0,2691.0,2729.0,39600
2025-11-13,3260.0,3260.0,3260.0,3260.0,3260.0,18100
2025-11-14,3450.0,3450.0,3580.0,3165.0,3295.0,358900
2025-11-17,3365.0,3365.0,3560.0,3225.0,3450.0,110800
2025-11-18,3530.0,3530.0,3635.0,3200.0,3340.0,105800
2025-11-19,3400.0,3400.0,3560.0,3315.0,3470.0,87200
2025-11-20,3125.0,3125.0,3430.0,2975.0,3420.0,119700
2025-11-21,3035.0,3035.0,3150.0,2913.0,3000.0,100000
2025-11-25,3300.0,3300.0,3330.0,3100.0,3105.0,75400
2025-11-26,3235.0,3235.0,3275.0,3115.0,3260.0,44400
2025-11-27,3220.0,3220.0,3300.0,3145.0,3235.0,37900
2025-11-28,3520.0,3520.0,3530.0,3180.0,3245.0,107700
2025-12-01,3465.0,3465.0,3615.0,3465.0,3520.0,97500
2025-12-02,3450.0,3450.0,3590.0,3370.0,3450.0,66400
2025-12-03,3295.0,3295.0,3460.0,3295.0,3400.0,60400
2025-12-04,3150.0,3150.0,3370.0,3065.0,3295.0,101300
2025-12-05,3250.0,3250.0,3280.0,3160.0,3220.0,24000
2025-12-08,3040.0,3040.0,3200.0,3035.0,3180.0,78400
2025-12-09,2917.0,2917.0,3125.0,2901.0,3100.0,98100
2025-12-10,2923.0,2923.0,2989.0,2861.0,2925.0,63000
2025-12-11,2690.0,2690.0,2904.0,2656.0,2878.0,206600
2025-12-12,2744.0,2744.0,2749.0,2643.0,2692.0,84300
2025-12-15,2810.0,2810.0,2876.0,2670.0,2705.0,51600
2025-12-16,2750.0,2750.0,2810.0,2696.0,2787.0,42500
2025-12-17,2930.0,2930.0,2965.0,2831.0,2850.0,74800
2025-12-18,2906.0,2906.0,2949.0,2820.0,2880.0,38500
2025-12-19,2974.0,2974.0,2995.0,2889.0,2889.0,23000
2025-12-22,2952.0,2952.0,3095.0,2916.0,2994.0,52100
2025-12-23,2976.0,2976.0,3070.0,2950.0,3000.0,25500
2025-12-24,3010.0,3010.0,3085.0,2953.0,2956.0,22500
2025-12-25,3125.0,3125.0,3150.0,3040.0,3045.0,48600
2025-12-26,3035.0,3035.0,3125.0,3000.0,3125.0,66100
2025-12-29,3025.0,3025.0,3080.0,2984.0,3060.0,25500
2025-12-30,3050.0,3050.0,3055.0,2918.0,2974.0,32200
2026-01-05,2824.0,2824.0,3100.0,2816.0,3050.0,64800
2026-01-06,2903.0,2903.0,2904.0,2810.0,2815.0,28600
2026-01-07,2923.0,2923.0,2950.0,2874.0,2874.0,17300
2026-01-08,2880.0,2880.0,2930.0,2875.0,2895.0,19000
2026-01-09,2854.0,2854.0,2889.0,2835.0,2852.0,13500
2026-01-13,2793.0,2793.0,2882.0,2750.0,2860.0,34700
2026-01-14,2740.0,2740.0,2808.0,2673.0,2771.0,36100
2026-01-15,2755.0,2755.0,2800.0,2690.0,2690.0,15300
2026-01-16,2893.0,2893.0,2893.0,2755.0,2755.0,43300
2026-01-19,2974.0,2974.0,2980.0,2884.0,2885.0,31200
2026-01-20,2956.0,2956.0,3025.0,2920.0,2940.0,25100
2026-01-21,2968.0,2968.0,3075.0,2898.0,2906.0,37300
2026-01-22,2885.0,2885.0,3015.0,2880.0,2928.0,18900
2026-01-23,2851.0,2851.0,2907.0,2830.0,2871.0,12700
2026-01-26,2954.0,2954.0,2973.0,2851.0,2876.0,50700
2026-01-27,2823.0,2823.0,2961.0,2823.0,2954.0,20400
2026-01-28,2715.0,2715.0,2850.0,2700.0,2850.0,29800
2026-01-29,2670.0,2670.0,2727.0,2621.0,2703.0,48200
2026-01-30,2678.0,2678.0,2736.0,2662.0,2673.0,31500
2026-02-02,2802.0,2802.0,2937.0,2720.0,2728.0,61300
2026-02-03,2818.0,2818.0,2855.0,2781.0,2850.0,18600
2026-02-04,2615.0,2615.0,2843.0,2550.0,2821.0,122900
2026-02-05,2556.0,2556.0,2624.0,2485.0,2620.0,64500
2026-02-06,2454.0,2454.0,2587.0,2447.0,2546.0,67400
2026-02-09,2454.0,2454.0,2498.0,2413.0,2498.0,31400
2026-02-10,2564.0,2564.0,2564.0,2443.0,2464.0,26500
2026-02-12,2608.0,2608.0,2610.0,2490.0,2514.0,32600
2026-02-13,2519.0,2519.0,2709.0,2461.0,2652.0,111300
2026-02-16,2019.0,2019.0,2019.0,2019.0,2019.0,134500
2026-02-17,1781.0,1781.0,2003.0,1758.0,2003.0,581900
2026-02-18,1889.0,1889.0,1950.0,1812.0,1861.0,169100
2026-02-19,1920.0,1920.0,1934.0,1867.0,1893.0,71100
