Date,Adj Close,Close,High,Low,Open,Volume
2001-01-01,462.8224792480469,778.0,778.0,778.0,778.0,0
2001-01-02,462.8224792480469,778.0,778.0,778.0,778.0,0
2001-01-03,462.8224792480469,778.0,778.0,778.0,778.0,0
2001-01-04,453.899169921875,763.0,778.0,763.0,772.0,43000
2001-01-05,453.3041687011719,762.0,770.0,760.0,763.0,99000
2001-01-08,453.3041687011719,762.0,762.0,762.0,762.0,0
2001-01-09,445.57080078125,749.0,760.0,748.0,760.0,98000
2001-01-10,440.2167663574219,740.0,750.0,737.0,749.0,116000
2001-01-11,437.24224853515625,735.0,742.0,735.0,735.0,120000
2001-01-12,434.2678527832031,730.0,730.0,715.0,730.0,188000
2001-01-15,433.0780334472656,728.0,735.0,728.0,729.0,25000
2001-01-16,434.2678527832031,730.0,737.0,722.0,731.0,115000
2001-01-17,440.2167663574219,740.0,745.0,733.0,740.0,164000
2001-01-18,437.837158203125,736.0,749.0,727.0,749.0,181000
2001-01-19,442.5962219238281,744.0,750.0,733.0,737.0,216000
2001-01-22,443.19110107421875,745.0,752.0,740.0,750.0,187000
2001-01-23,452.114501953125,760.0,760.0,747.0,755.0,96000
2001-01-24,446.76043701171875,751.0,765.0,751.0,765.0,132000
2001-01-25,445.57080078125,749.0,756.0,747.0,755.0,32000
2001-01-26,453.899169921875,763.0,763.0,751.0,759.0,225000
2001-01-29,455.0887145996094,765.0,765.0,755.0,763.0,34000
2001-01-30,456.27880859375,767.0,770.0,758.0,766.0,120000
2001-01-31,458.0633239746094,770.0,770.0,758.0,764.0,59000
2001-02-01,456.27880859375,767.0,770.0,758.0,770.0,71000
2001-02-02,459.2530822753906,772.0,776.0,764.0,776.0,154000
2001-02-05,449.73486328125,756.0,758.0,755.0,755.0,28000
2001-02-06,444.3808898925781,747.0,755.0,745.0,755.0,58000
2001-02-07,443.19110107421875,745.0,753.0,742.0,745.0,65000
2001-02-08,439.0270080566406,738.0,750.0,736.0,741.0,147000
2001-02-09,446.76043701171875,751.0,756.0,734.0,734.0,165000
2001-02-12,446.76043701171875,751.0,751.0,751.0,751.0,0
2001-02-13,444.3808898925781,747.0,763.0,747.0,763.0,102000
2001-02-14,449.73486328125,756.0,762.0,752.0,755.0,133000
2001-02-15,449.73486328125,756.0,765.0,756.0,756.0,111000
2001-02-16,450.3298645019531,757.0,770.0,755.0,756.0,139000
2001-02-19,447.9502258300781,753.0,759.0,749.0,751.0,84000
2001-02-20,452.114501953125,760.0,761.0,745.0,745.0,48000
2001-02-21,452.114501953125,760.0,765.0,751.0,751.0,64000
2001-02-22,449.73486328125,756.0,762.0,756.0,762.0,65000
2001-02-23,449.14007568359375,755.0,755.0,750.0,750.0,263000
2001-02-26,458.0633239746094,770.0,770.0,760.0,763.0,260000
2001-02-27,466.9867248535156,785.0,785.0,763.0,770.0,281000
