Ticker,銘柄名,三平
5079,ノバック,8
3562,Ｎｏ．１,8
1383,ベルグアース,8
7294,ヨロズ,8
6334,明治機械,7
7416,はるやまホールディングス,7
2462,ライク,6
6089,ウィルグループ,6
5932,三協立山,6
4080,田中化学研究所,6
9115,明海グループ,6
8362,福井銀行,6
9788,ナック,6
7030,スプリックス,6
3030,ハブ,6
9511,沖縄電力,6
2734,サーラコーポレーション,6
5121,藤倉コンポジット,5
7265,エイケン工業,5
9761,東海リース,5
3280,エストラスト,5
4925,ハーバー研究所,5
9628,燦ホールディングス,5
7779,ＣＹＢＥＲＤＹＮＥ,5
6594,ニデック,5
3501,ＳＵＭＩＮＯＥ,5
6060,こころネット,5
7486,サンリン,5
7093,アディッシュ,5
2415,ヒューマンホールディングス,5
5757,ＣＫサンエツ,5
7343,ブロードマインド,5
9221,フルハシＥＰＯ,5
4588,オンコリスバイオファーマ,5
5587,インバウンドプラットフォーム,5
7384,プロクレアホールディングス,4
7420,佐鳥電機,4
9701,東京會舘,4
6964,サンコー,4
6045,レントラックス,4
2180,サニーサイドアップグループ,4
6140,旭ダイヤモンド工業,4
5410,合同製鐵,4
7096,ステムセル研究所,4
352A,ＬＯＩＶＥ,4
1826,佐田建設,4
5921,川岸工業,4
3467,アグレ都市デザイン,4
8016,オンワードホールディングス,4
3392,デリカフーズホールディングス,4
6993,大黒屋ホールディングス,4
6194,アトラエ,4
3967,エルテス,4
9251,ＡＢ＆Ｃｏｍｐａｎｙ,4
3943,大石産業,4
7185,ヒロセ通商,4
6517,デンヨー,4
6042,ニッキ,4
7850,総合商研,4
8058,三菱商事,4
7280,ミツバ,4
8383,鳥取銀行,4
2207,ｍｅｉｔｏ,4
6135,牧野フライス製作所,4
6495,宮入バルブ製作所,4
9240,デリバリーコンサルティング,4
9715,トランス・コスモス,4
7412,アトム,4
5632,三菱製鋼,4
9017,新潟交通,4
6926,岡谷電機産業,4
7182,ゆうちょ銀行,4
7515,マルヨシセンター,4
7673,ダイコー通産,3
9025,鴻池運輸,3
2736,フェスタリアホールディングス,3
9536,西部ガスホールディングス,3
5284,ヤマウホールディングス,3
3104,富士紡ホールディングス,3
5869,早稲田学習研究会,3
7902,ソノコム,3
4381,ビープラッツ,3
3965,キャピタル・アセット・プランニング,3
7414,小野建,3
3521,エコナックホールディングス,3
6018,阪神内燃機工業,3
2404,鉄人化ホールディングス,3
3945,スーパーバッグ,3
7808,シー・エス・ランバー,3
6626,ＳＥＭＩＴＥＣ,3
5971,共和工業所,3
9028,ゼロ,3
7292,村上開明堂,3
8737,あかつき本社,3
7427,エコートレーディング,3
9238,バリュークリエーション,3
7975,リヒトラブ,3
2820,やまみ,3
3907,シリコンスタジオ,3
3920,アイビーシー,3
3297,東武住販,3
5162,朝日ラバー,3
5199,不二ラテックス,3
5440,共英製鋼,3
2373,ケア２１,3
9955,ヨンキュウ,3
8147,トミタ,3
5204,石塚硝子,3
3571,ソトー,3
2300,きょくとう,3
7368,表示灯,3
6197,ソラスト,3
8030,中央魚類,3
2294,柿安本店,3
9107,川崎汽船,3
2480,システム・ロケーション,3
4973,日本高純度化学,3
6882,三社電機製作所,3
2162,ｎｍｓ　ホールディングス,3
7544,スリーエフ,3
2666,オートウェーブ,3
1443,技研ホールディングス,3
6543,日宣,3
5252,日本ナレッジ,3
9726,ＫＮＴ－ＣＴホールディングス,3
3640,電算,3
2749,ＪＰホールディングス,3
3546,アレンザホールディングス,3
1380,秋川牧園,3
4762,エックスネット,3
5202,日本板硝子,3
4249,森六,3
8931,和田興産,3
3969,エイトレッド,3
7244,市光工業,3
6804,ホシデン,3
8624,いちよし証券,3
9663,ナガワ,3
4242,タカギセイコー,3
9104,商船三井,3
6578,コレックホールディングス,3
8551,北日本銀行,3
5942,日本フイルコン,3
2686,ジーフット,3
6658,シライ電子工業,3
5071,ヴィス,3
9763,丸紅建材リース,3
3930,はてな,3
3917,アイリッジ,3
5191,住友理工,3
5659,日本精線,3
6643,戸上電機製作所,3
6092,エンバイオ・ホールディングス,3
3946,トーモク,3
7487,小津産業,3
2540,養命酒製造,3
7374,コンフィデンス・インターワークス,3
9612,ラックランド,3
7872,エステールホールディングス,3
9074,日本石油輸送,3
3955,イムラ,3
6654,不二電機工業,3
6144,西部電機,3
4839,ＷＯＷＯＷ,3
7634,星医療酸器,3
7509,アイエーグループ,3
255A,ジーエルテクノホールディングス,3
5941,中西製作所,3
3490,アズ企画設計,3
2493,イーサポートリンク,3
3931,バリューゴルフ,3
1798,守谷商会,3
4884,クリングルファーマ,3
6218,エンシュウ,3
4728,トーセ,3
8544,京葉銀行,3
7215,ファルテック,3
1827,ナカノフドー建設,3
7322,三十三フィナンシャルグループ,3
4256,サインド,3
2705,大戸屋ホールディングス,3
6466,ＴＶＥ,3
5367,ニッカトー,3
4483,ＪＭＤＣ,3
6186,一蔵,3
5461,中部鋼鈑,3
9876,コックス,3
4548,生化学工業,3
7795,ＫＹＯＲＩＴＳＵ,3
2805,ヱスビー食品,3
2917,大森屋,3
6516,山洋電気,3
7218,田中精密工業,3
3374,内外テック,3
7727,オーバル,3
