Ticker,銘柄名,三平,RCI,75SMA越,25SMA越
6138,ダイジェット工業,4,-3.750000000000009,2,0
6384,昭和真空,4,-58.33333333333333,2,0
4665,ダスキン,4,-10.416666666666677,0,0
9629,ピー・シー・エー,4,-52.91666666666666,0,0
5290,ベルテクスコーポレーション,4,-13.33333333333333,36,34
8742,小林洋行,3,-10.000000000000009,1,1
8219,青山商事,3,-14.999999999999991,0,0
6469,放電精密加工研究所,3,-37.91666666666666,2,0
7119,ハルメクホールディングス,3,-6.666666666666665,55,21
2480,システム・ロケーション,3,-66.66666666666667,0,0
3690,イルグルム,3,-71.66666666666666,0,0
9081,神奈川中央交通,3,-24.16666666666667,0,0
6393,油研工業,3,-51.66666666666666,0,0
1827,ナカノフドー建設,3,-10.000000000000009,2,0
6454,マックス,3,-1.6666666666666607,0,0
7036,イーエムネットジャパン,3,-3.750000000000009,0,2
8237,松屋,3,-35.00000000000001,0,0
6507,シンフォニアテクノロジー,3,-38.33333333333333,2,0
5915,駒井ハルテック,3,-11.66666666666667,2,0
6989,北陸電気工業,3,-5.000000000000004,0,0
3577,東海染工,3,-75.41666666666667,0,0
6257,藤商事,3,-27.916666666666657,0,0
3969,エイトレッド,3,-39.99999999999999,0,0
9742,アイネス,3,-30.000000000000004,2,0
4389,プロパティデータバンク,3,-43.75,0,0
6357,三精テクノロジーズ,3,-21.666666666666657,0,0
