Ticker,銘柄名,ブレークアウト日数,75SMA越
6927,ヘリオス　テクノ　ホールディング,115.0,78
4553,東和薬品,115.0,58
3597,自重堂,115.0,54
8091,ニチモウ,115.0,28
6798,ＳＭＫ,115.0,65
3236,プロパスト,115.0,131
6094,フリークアウト・ホールディングス,115.0,9
9969,ショクブン,115.0,31
4241,アテクト,115.0,72
6264,マルマエ,115.0,36
5563,新日本電工,115.0,36
7239,タチエス,115.0,57
8897,ＭＩＲＡＲＴＨホールディングス,115.0,28
9551,メタウォーター,115.0,202
8016,オンワードホールディングス,115.0,58
4612,日本ペイントホールディングス,115.0,11
7504,高速,115.0,38
5491,日本金属,115.0,42
6396,宇野澤組鐵工所,115.0,158
5820,三ッ星,115.0,26
6136,オーエスジー,115.0,164
4116,大日精化工業,115.0,41
2180,サニーサイドアップグループ,115.0,65
4242,タカギセイコー,115.0,81
3321,ミタチ産業,115.0,197
7554,幸楽苑,115.0,65
7972,イトーキ,115.0,27
9504,中国電力,115.0,6
6822,大井電気,115.0,11
6848,東亜ディーケーケー,115.0,39
2802,味の素,115.0,6
2384,ＳＢＳホールディングス,115.0,64
6996,ニチコン,115.0,59
3221,ヨシックスホールディングス,115.0,65
2780,コメ兵ホールディングス,115.0,25
7192,日本モーゲージサービス,115.0,69
4975,ＪＣＵ,115.0,44
3723,日本ファルコム,115.0,53
6387,サムコ,115.0,106
7277,ＴＢＫ,115.0,155
4885,室町ケミカル,115.0,41
8157,都築電気,115.0,38
9927,ワットマン,115.0,3
5821,平河ヒューテック,115.0,10
378A,ヒット,115.0,11
7887,南海プライウッド,115.0,185
4274,細谷火工,115.0,27
6278,ユニオンツール,115.0,57
6549,ディーエムソリューションズ,115.0,62
4231,タイガースポリマー,115.0,12
2579,コカ・コーラ　ボトラーズジャパンホールディングス,115.0,69
5208,有沢製作所,115.0,57
8614,東洋証券,115.0,82
7266,今仙電機製作所,115.0,89
3482,ロードスターキャピタル,115.0,9
5368,日本インシュレーション,115.0,54
4972,綜研化学,115.0,150
6384,昭和真空,115.0,140
8593,三菱ＨＣキャピタル,115.0,57
2705,大戸屋ホールディングス,115.0,207
4272,日本化薬,115.0,67
4222,児玉化学工業,115.0,28
4125,三和油化工業,115.0,138
8137,サンワテクノス,115.0,190
8276,平和堂,115.0,12
7446,東北化学薬品,115.0,12
7175,今村証券,115.0,56
7354,ダイレクトマーケティングミックス,115.0,1
8039,築地魚市場,115.0,54
4286,ＣＬホールディングス,115.0,7
4918,アイビー化粧品,115.0,34
6013,タクマ,115.0,208
7878,光・彩,115.0,6
6361,荏原製作所,115.0,29
8508,Ｊトラスト,115.0,42
7685,ＢｕｙＳｅｌｌ　Ｔｅｃｈｎｏｌｏｇｉｅｓ,115.0,60
9508,九州電力,115.0,151
3004,神栄,115.0,187
5946,長府製作所,115.0,11
2588,プレミアムウォーターホールディングス,115.0,5
8118,キング,115.0,65
9991,ジェコス,115.0,39
7769,リズム,115.0,111
4634,ａｒｔｉｅｎｃｅ,115.0,67
6237,イワキポンプ,115.0,38
6223,西部技研,115.0,17
8098,稲畑産業,115.0,71
4705,クリップコーポレーション,115.0,32
6962,大真空,115.0,33
6284,日精エー・エス・ビー機械,115.0,7
2148,アイティメディア,115.0,31
8147,トミタ,115.0,67
6877,ＯＢＡＲＡ　ＧＲＯＵＰ,115.0,1
6635,大日光・エンジニアリング,115.0,22
5975,東プレ,115.0,43
8908,毎日コムネット,115.0,145
5210,日本山村硝子,115.0,49
4977,新田ゼラチン,115.0,206
5071,ヴィス,115.0,32
7483,ドウシシャ,115.0,208
6235,オプトラン,115.0,63
2915,ケンコーマヨネーズ,115.0,28
4186,東京応化工業,115.0,189
8253,クレディセゾン,115.0,53
1436,グリーンエナジー＆カンパニー,115.0,33
9880,イノテック,115.0,179
9268,オプティマスグループ,115.0,8
6834,精工技研,115.0,18
5381,Ｍｉｐｏｘ,115.0,29
6166,中村超硬,115.0,23
7810,クロスフォー,115.0,14
4004,レゾナック・ホールディングス,115.0,172
