Ticker,銘柄名,三平
3593,ホギメディカル,-6
4017,クリーマ,-6
8185,チヨダ,-6
6615,ユー・エム・シー・エレクトロニクス,-5
4310,ドリームインキュベータ,-5
2437,Ｓｈｉｎｗａ　Ｗｉｓｅ　Ｈｏｌｄｉｎｇｓ,-5
9913,日邦産業,-5
8214,ＡＯＫＩホールディングス,-5
2670,エービーシー・マート,-5
3583,オーベクス,-4
4628,エスケー化研,-4
2435,シダー,-4
3434,アルファＣｏ,-4
3934,ベネフィットジャパン,-4
5742,エヌアイシ・オートテック,-4
3910,エムケイシステム,-4
3652,ディジタルメディアプロフェッショナル,-4
9063,岡山県貨物運送,-4
330A,ＴａｌｅｎｔＸ,-4
3536,アクサスホールディングス,-4
4577,ダイト,-4
5982,マルゼン,-4
8030,中央魚類,-4
1401,エムビーエス,-4
5482,愛知製鋼,-4
7980,重松製作所,-4
7041,ＣＲＧホールディングス,-3
7874,レック,-3
3382,セブン＆アイ・ホールディングス,-3
8841,テーオーシー,-3
9006,京浜急行電鉄,-3
7776,セルシード,-3
8783,ＧＦＡ,-3
4477,ＢＡＳＥ,-3
7375,リファインバースグループ,-3
1446,キャンディル,-3
7368,表示灯,-3
2338,クオンタムソリューションズ,-3
3719,ＡＩストーム,-3
7885,タカノ,-3
6332,月島ホールディングス,-3
3803,イメージ情報開発,-3
218A,Ｌｉｂｅｒａｗａｒｅ,-3
7911,ＴＯＰＰＡＮホールディングス,-3
7299,フジオーゼックス,-3
9467,アルファポリス,-3
6662,ユビテック,-3
3976,シャノン,-3
3050,ＤＣＭホールディングス,-3
6721,ウインテスト,-3
1766,東建コーポレーション,-3
4298,プロトコーポレーション,-3
4172,東和ハイシステム,-3
9761,東海リース,-3
9782,ディーエムエス,-3
2112,塩水港精糖,-3
3639,ボルテージ,-3
6185,ＳＭＮ,-3
2693,ＹＫＴ,-3
9115,明海グループ,-3
7578,ニチリョク,-3
6572,オープングループ,-3
8227,しまむら,-3
7743,シード,-3
4644,イマジニア,-3
7283,愛三工業,-3
7733,オリンパス,-3
3004,神栄,-3
1852,淺沼組,-3
6809,ＴＯＡ,-3
6947,図研,-3
7313,テイ・エス　テック,-3
9793,ダイセキ,-3
9629,ピー・シー・エー,-3
3046,ジンズホールディングス,-3
4998,フマキラー,-3
1793,大本組,-3
6180,ＧＭＯメディア,-3
3157,ジオリーブグループ,-3
3067,東京一番フーズ,-3
3695,ＧＭＯリサーチ＆ＡＩ,-3
6412,平和,-3
4448,ｋｕｂｅｌｌ,-3
9633,東京テアトル,-3
7831,ウイルコホールディングス,-3
7775,大研医器,-3
8039,築地魚市場,-3
6118,アイダエンジニアリング,-3
2139,中広,-3
3577,東海染工,-3
7545,西松屋チェーン,-3
4430,東海ソフト,-3
7244,市光工業,-3
6218,エンシュウ,-3
3202,ダイトウボウ,-3
6632,ＪＶＣケンウッド,-3
206A,ＰＲＩＳＭ　ＢｉｏＬａｂ,-3
4684,オービック,-3
190A,Ｃｈｏｒｄｉａ　Ｔｈｅｒａｐｅｕｔｉｃｓ,-3
6425,ユニバーサルエンターテインメント,-3
6416,桂川電機,-3
6351,鶴見製作所,-3
6472,ＮＴＮ,-3
8558,東和銀行,-3
6647,森尾電機,-3
9842,アークランズ,-3
3646,駅探,-3
3328,ＢＥＥＮＯＳ,-3
3397,トリドールホールディングス,-3
2705,大戸屋ホールディングス,-2
255A,ジーエルテクノホールディングス,-2
2533,オエノンホールディングス,-2
2001,ニップン,-2
9993,ヤマザワ,-2
3553,共和レザー,-2
7353,ＫＩＹＯラーニング,-2
7863,平賀,-2
9346,ココルポート,-2
1871,ピーエス・コンストラクション,-2
5029,サークレイス,-2
1980,ダイダン,-2
5282,ジオスター,-2
2003,日東富士製粉,-2
5368,日本インシュレーション,-2
9936,王将フードサービス,-2
6849,日本光電工業,-2
8046,丸藤シートパイル,-2
8920,東祥,-2
1719,安藤・間,-2
6925,ウシオ電機,-2
3177,ありがとうサービス,-2
7278,エクセディ,-2
1952,新日本空調,-2
7865,ピープル,-2
4994,大成ラミックグループ,-2
7752,リコー,-2
8144,デンキョーグループホールディングス,-2
2702,日本マクドナルドホールディングス,-2
9504,中国電力,-2
9869,加藤産業,-2
1799,第一建設工業,-2
4530,久光製薬,-2
1803,清水建設,-2
6752,パナソニック　ホールディングス,-2
6445,ジャノメ,-2
8050,セイコーグループ,-2
7505,扶桑電通,-2
4912,ライオン,-2
3341,日本調剤,-2
3420,ケー・エフ・シー,-2
2331,綜合警備保障,-2
5332,ＴＯＴＯ,-2
3815,メディア工房,-2
6233,ＫＬＡＳＳ,-2
3224,ゼネラル・オイスター,-2
4068,ベイシス,-2
6113,アマダ,-2
6797,名古屋電機工業,-2
6448,ブラザー工業,-2
6324,ハーモニック・ドライブ・システムズ,-2
6292,カワタ,-2
1811,錢高組,-2
2788,アップルインターナショナル,-2
7031,インバウンドテック,-2
9639,三協フロンテア,-2
2791,大黒天物産,-2
9360,鈴与シンワート,-2
8387,四国銀行,-2
5010,日本精蝋,-2
