Ticker,銘柄名,終値,陽線陰線,出来高,出来高前日差,出来高発行株式割合,出来高前日比,三平,空,25SMA越,75SMA越,足1,足2,直近高値越,75SMAと直近高値越,直近高値,75反発,パーフェクトオーダー,パーフェクトオーダーRCI,パーフェクトオーダー乖離率25,パーフェクトオーダー乖離率75,RCI,DR25,DR75,ブレークアウト日数
1301,極洋,5090.0,↑,38800.0,9300.0,0.3,1.3,0,0,18,19,陽の寄付坊主,陰の陽つつみ(下落から上昇),True,False,4930.0,False,True,False,True,False,78.33333333333333,6.757833801753425,10.383414295628041,0.0
130A,Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,682.0,↓,67900.0,21700.0,1.0,1.5,-3,0,0,0,陰の大引坊主,なし,False,False,754.0,False,False,False,False,False,-62.916666666666664,-6.595814615974577,-1.3918877236273903,0.0
1332,ニッスイ,1075.0,↑,753200.0,-462100.0,0.2,0.6,0,0,31,54,コマ・陽の極線,陰の陽はらみ(安値圏で底),False,False,1079.0,False,True,False,True,False,90.0,5.659413025102715,17.160423847416766,0.0
1333,マルハニチロ,3525.0,↓,212100.0,-130600.0,0.4,0.6,0,0,41,34,コマ・陰の極線,陰の陰はらみ(安値圏で底),True,False,3355.0,False,True,False,True,False,90.0,5.181180177599538,11.426042610583103,0.0
135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,2394.0,↓,56600.0,-29100.0,0.6,0.7,0,0,0,0,コマ・陰の極線,なし,False,False,2718.0,False,False,False,False,False,-90.41666666666666,-4.1556569781407715,-4.952224663190485,0.0
1375,ユキグニファクトリー,1077.0,↓,42400.0,1800.0,0.1,1.0,0,0,0,0,コマ・陰の極線,毛抜き天井(高値圏売り),False,False,1088.0,False,False,False,False,False,27.083333333333336,-1.1745274362268265,-2.050542041568643,0.0
1376,カネコ種苗,1445.0,↑,5800.0,-2800.0,0.0,0.7,0,0,30,27,陽の大引坊主,陽たすき(下落中売り),True,False,1425.0,False,False,False,False,False,98.33333333333333,1.9270921505558332,3.9678047563771788,0.0
1377,サカタのタネ,3665.0,↑,63500.0,2400.0,0.1,1.0,2,0,29,31,コマ・陽の極線,毛抜き底(安値圏買い),False,False,3665.0,False,True,False,True,True,92.5,1.075565361279647,5.060485026850382,0.0
1379,ホクト,1923.0,↓,28600.0,-28300.0,0.1,0.5,0,0,7,39,コマ・陰の極線,なし,False,False,1938.0,False,True,False,True,True,96.25,1.838710360751585,4.7165085058339145,-5.0
137A,Ｃｏｃｏｌｉｖｅ,1368.0,↓,10900.0,-4700.0,0.4,0.7,0,0,0,0,陰の大引坊主,毛抜き底(安値圏買い),False,False,1458.0,False,True,True,True,True,-95.0,-3.160040774719681,-1.313891079776083,0.0
1380,秋川牧園,1019.0,↑,1800.0,100.0,0.0,1.1,2,0,1,43,陽の寄付坊主,なし,False,False,1019.0,False,True,False,True,True,76.66666666666666,0.11790135586559694,1.5344758868074908,0.0
1381,アクシーズ,3055.0,→,900.0,-200.0,0.0,0.8,0,0,3,17,トンボ,なし,False,False,3085.0,False,True,False,True,True,55.00000000000001,0.38115265821120814,1.0090990848013537,0.0
1382,ホーブ,1791.0,↓,9200.0,3900.0,1.2,1.7,0,0,0,0,陰の寄付坊主,陽の陰つつみ,False,False,2437.0,False,False,False,False,False,-23.33333333333334,-1.9511233740638603,-3.375821836021231,0.0
1383,ベルグアース,2998.0,↓,1500.0,200.0,0.1,1.2,0,0,9,29,陰の大引坊主,毛抜き天井(高値圏売り),False,False,3010.0,False,False,False,False,False,21.250000000000004,0.10818897006771099,1.1389091301649064,0.0
1384,ホクリヨウ,2313.0,↓,28500.0,-900.0,0.3,1.0,0,0,33,59,陰の寄付坊主,陰たすき(上昇中買い),True,False,2217.0,False,True,False,False,False,86.66666666666667,10.572510325837532,33.910996178933964,0.0
138A,光フードサービス,2443.0,↑,600.0,-2400.0,0.1,0.2,0,0,31,60,陽の丸坊主,毛抜き底(安値圏買い),False,False,2459.0,False,True,False,True,False,50.0,2.2723466961385266,13.247255735759506,0.0
1401,エムビーエス,1550.0,↑,24000.0,7800.0,0.3,1.5,0,0,27,101,陽の寄付坊主,毛抜き底(安値圏買い),True,False,1410.0,False,True,False,True,False,66.66666666666667,9.760933605257188,25.964372399445217,0.0
1407,ウエストホールディングス,1787.0,↓,249000.0,-38300.0,0.5,0.9,-3,-1,9,26,コマ・陰の極線,なし,False,False,1918.0,False,False,False,False,False,58.33333333333333,4.410114985509957,10.129172213183448,0.0
1414,ショーボンドホールディングス,4998.0,↓,253500.0,2100.0,0.5,1.0,0,0,0,29,コマ・陰の極線,毛抜き天井(高値圏売り),False,False,5229.0,False,False,False,False,False,-66.66666666666667,-3.2752494561893735,1.6569940879752585,0.0
