Ticker,銘柄名,75SMA越
1382,ホーブ,1
1788,三東工業社,1
2932,ＳＴＩフードホールディングス,1
6264,マルマエ,1
7745,Ａ＆Ｄホロンホールディングス,1
8996,ハウスフリーダム,1
4264,セキュア,1
6492,岡野バルブ製造,1
7357,ジオコード,1
5463,丸一鋼管,1
3891,ニッポン高度紙工業,1
5352,黒崎播磨,1
2157,コシダカホールディングス,1
8473,ＳＢＩホールディングス,1
1963,日揮ホールディングス,1
2359,コア,1
2503,キリンホールディングス,1
6871,日本マイクロニクス,1
2002,日清製粉グループ本社,1
4169,ＥＮＥＣＨＡＮＧＥ,1
7467,萩原電気ホールディングス,1
1882,東亜道路工業,1
6897,ツインバード,1
3774,インターネットイニシアティブ,1
3993,ＰＫＳＨＡ　Ｔｅｃｈｎｏｌｏｇｙ,1
3123,サイボー,1
6047,Ｇｕｎｏｓｙ,1
6663,太洋テクノレックス,1
6406,フジテック,1
6031,ＺＥＴＡ,1
3002,グンゼ,1
6498,キッツ,1
9880,イノテック,1
3675,クロス・マーケティンググループ,1
3843,フリービット,1
7095,Ｍａｃｂｅｅ　Ｐｌａｎｅｔ,1
1813,不動テトラ,1
6022,赤阪鐵工所,1
1434,ＪＥＳＣＯホールディングス,1
1762,高松コンストラクショングループ,1
6005,三浦工業,1
7073,ジェイック,1
4333,東邦システムサイエンス,1
4434,サーバーワークス,1
7102,日本車輌製造,1
4362,日本精化,1
5018,ＭＯＲＥＳＣＯ,1
6776,天昇電気工業,1
4976,東洋ドライルーブ,1
6742,京三製作所,1
7067,ブランディングテクノロジー,1
4996,クミアイ化学工業,1
4345,シーティーエス,1
2907,あじかん,1
7162,アストマックス,1
9533,東邦瓦斯,1
5905,日本製罐,1
1992,神田通信機,1
4180,Ａｐｐｉｅｒ　Ｇｒｏｕｐ,1
9560,プログリット,1
6331,三菱化工機,1
9856,ケーユーホールディングス,1
4719,アルファシステムズ,1
3907,シリコンスタジオ,1
3723,日本ファルコム,1
5951,ダイニチ工業,1
9037,ハマキョウレックス,1
7525,リックス,1
1982,日比谷総合設備,1
3415,ＴＯＫＹＯ　ＢＡＳＥ,1
3156,レスター,1
3300,アンビション　ＤＸ　ホールディングス,1
5331,ノリタケ,1
2686,ジーフット,1
7208,カネミツ,1
4393,バンク・オブ・イノベーション,1
2195,アミタホールディングス,1
2158,ＦＲＯＮＴＥＯ,1
3911,Ａｉｍｉｎｇ,1
2303,ドーン,1
198A,ＰｏｓｔＰｒｉｍｅ,1
7912,大日本印刷,1
9087,タカセ,1
5921,川岸工業,1
7004,カナデビア,1
2894,石井食品,1
6361,荏原製作所,1
8935,ＦＪネクストホールディングス,1
220A,Ｆａｂｅｒ　Ｃｏｍｐａｎｙ,1
6387,サムコ,1
5644,メタルアート,1
9444,トーシンホールディングス,1
4928,ノエビアホールディングス,1
8107,キムラタン,1
3137,ファンデリー,1
4483,ＪＭＤＣ,1
8074,ユアサ商事,1
8918,ランド,1
9202,ＡＮＡホールディングス,1
5609,日本鋳造,1
3762,テクマトリックス,1
156A,マテリアルグループ,1
5541,大平洋金属,1
2330,フォーサイド,1
7682,浜木綿,1
3174,ハピネス・アンド・ディ,1
3198,ＳＦＰホールディングス,1
3454,ファーストブラザーズ,1
2481,タウンニュース社,1
9890,マキヤ,1
9023,東京地下鉄,1
4985,アース製薬,1
3810,サイバーステップ,1
2311,エプコ,1
7962,キングジム,1
4743,アイティフォー,1
3550,スタジオアタオ,1
7383,ネットプロテクションズホールディングス,1
1605,ＩＮＰＥＸ,1
5243,ｎｏｔｅ,1
5952,アマテイ,1
4397,チームスピリット,1
5242,アイズ,1
7085,カーブスホールディングス,1
4192,スパイダープラス,1
6366,千代田化工建設,1
4224,ロンシール工業,1
9147,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス,1
4686,ジャストシステム,1
7420,佐鳥電機,1
4661,オリエンタルランド,1
1770,藤田エンジニアリング,1
6315,ＴＯＷＡ,1
4829,日本エンタープライズ,1
7242,カヤバ,1
5204,石塚硝子,1
167A,リョーサン菱洋ホールディングス,2
6034,ＭＲＴ,2
3529,アツギ,2
4301,アミューズ,2
7699,オムニ・プラス・システム・リミテッド　ＪＤＲ,2
9409,テレビ朝日ホールディングス,2
7224,新明和工業,2
7014,名村造船所,2
1758,太洋基礎工業,2
4384,ラクスル,2
9934,因幡電機産業,2
2804,ブルドックソース,2
5713,住友金属鉱山,2
6364,ＡＩＲＭＡＮ,2
4615,神東塗料,2
9275,ナルミヤ・インターナショナル,2
8167,リテールパートナーズ,2
9876,コックス,2
9742,アイネス,2
4372,ユミルリンク,2
8173,上新電機,2
4990,昭和化学工業,2
2154,オープンアップグループ,2
3151,バイタルケーエスケー・ホールディングス,2
6455,モリタホールディングス,2
9729,トーカイ,2
7427,エコートレーディング,2
6590,芝浦メカトロニクス,2
4687,ＴＤＣソフト,2
7182,ゆうちょ銀行,2
6396,宇野澤組鐵工所,2
5959,岡部,2
9327,イー・ロジット,2
