Ticker,銘柄名,陽線陰線,出来高,出来高前日差,出来高発行株式割合,出来高前日比,三平,空,25SMA越,75SMA越,足1,足2,直近高値越,75SMAと直近高値越,直近高値,75反発,パーフェクトオーダー
9279,ギフトホールディングス,↑,110500,53100.0,0.6,1.9,0,0,1,1,陽の寄付坊主,陽たすき(下落中売り),True,True,3430.0,False,True
5631,日本製鋼所,↑,4332800,3216900.0,5.8,3.9,2,1,1,1,コマ・陽の極線,なし,True,True,6226.0,False,True
6907,ジオマテック,↑,54900,-299900.0,0.6,0.2,2,0,1,1,陽の大引坊主,なし,True,True,818.0,False,True
2975,スター・マイカ・ホールディングス,↓,498400,400100.0,1.4,5.1,0,1,1,1,コマ・陰の極線,なし,True,True,972.0,False,True
6307,サンセイ,↑,23600,22700.0,0.3,26.2,0,0,1,1,陽の寄付坊主,毛抜き底(安値圏買い),True,True,398.0,False,True
4819,デジタルガレージ,↑,247500,172600.0,0.5,3.3,0,0,1,1,コマ・陽の極線,陽たすき(下落中売り),True,True,4375.0,False,True
9163,ナレルグループ,↑,38100,-5400.0,0.4,0.9,2,0,1,1,コマ・陽の極線,なし,True,True,2265.0,False,True
4736,日本ラッド,↑,145900,130200.0,2.7,9.3,0,0,1,1,陽の寄付坊主,陽たすき(下落中売り),True,True,736.0,False,True
9818,大丸エナウィン,↑,400,300.0,0.0,4.0,0,1,1,1,陽の丸坊主,なし,True,True,1633.0,False,True
2804,ブルドックソース,↑,15800,5000.0,0.1,1.5,2,1,1,1,陽の寄付坊主,なし,True,True,0.0,False,True
3548,バロックジャパンリミテッド,↑,838400,799000.0,2.3,21.3,2,1,1,1,コマ・陽の極線,なし,True,True,739.0,False,True
5011,ニチレキグループ,↑,28300,-10500.0,0.1,0.7,0,0,1,1,コマ・陽の極線,陰の陽つつみ(下落から上昇),True,True,2485.0,False,True
2114,フジ日本,↑,4100,100.0,0.0,1.0,0,0,1,1,陽の寄付坊主,毛抜き底(安値圏買い),True,True,1050.0,False,True
3878,巴川コーポレーション,↑,205200,187100.0,2.0,11.3,2,1,1,1,コマ・陽の極線,なし,True,True,641.0,False,True
6364,ＡＩＲＭＡＮ,↑,28700,11200.0,0.1,1.6,2,0,1,1,コマ・陽の極線,なし,True,True,1866.0,False,True
7427,エコートレーディング,↑,5400,-1000.0,0.1,0.8,0,0,1,1,陽の丸坊主,毛抜き天井(高値圏売り),True,True,845.0,False,True
6897,ツインバード,↑,18400,13100.0,0.2,3.5,3,0,1,1,コマ・陽の極線,毛抜き底(安値圏買い),True,True,416.0,False,True
8254,さいか屋,↑,3000,-12600.0,0.1,0.2,0,0,1,1,陽の寄付坊主,陽たすき(下落中売り),True,True,409.0,False,True
4072,電算システムホールディングス,↑,18300,4300.0,0.2,1.3,2,0,1,1,コマ・陽の極線,なし,True,True,2524.0,False,True
7821,前田工繊,↑,185800,47300.0,0.3,1.3,0,0,1,1,コマ・陽の極線,陽たすき(下落中売り),True,True,2077.0,False,True
7018,内海造船,↑,201800,182900.0,9.0,10.7,0,0,1,1,陽の寄付坊主,なし,True,True,4965.0,False,True
