Ticker,銘柄名,終値,DR75,75SMA越
2321,ソフトフロントホールディングス,193.0,-16.435746449601666,0
7581,サイゼリヤ,5340.0,-16.28519470746849,0
6496,中北製作所,5750.0,-16.11554172340012,0
6231,木村工機,11960.0,-14.395327530920756,0
4679,田谷,280.0,-13.140588162303018,0
4440,ヴィッツ,1280.0,-12.314353044336054,0
1447,ＳＡＡＦホールディングス,328.0,-11.146427797442746,0
6469,放電精密加工研究所,3100.0,-10.295042498929332,0
5161,西川ゴム工業,3385.0,-10.15977493497532,0
3656,ＫＬａｂ,309.0,-10.05588760381899,0
2148,アイティメディア,1558.0,-10.009472687085568,0
7022,サノヤスホールディングス,320.0,-9.658962583753665,0
7878,光・彩,1039.0,-9.4874147723973,0
1419,タマホーム,3505.0,-8.383577876137032,0
3640,電算,3070.0,-8.331209988215434,0
6445,ジャノメ,1187.0,-8.02727413606074,0
6993,大黒屋ホールディングス,123.0,-7.080983078162772,0
3467,アグレ都市デザイン,2450.0,-6.903103229892331,0
7550,ゼンショーホールディングス,8546.0,-6.7539552645935625,0
6167,冨士ダイス,1057.0,-6.625441696113074,0
3183,ウイン・パートナーズ,1293.0,-6.562542154047748,0
4829,日本エンタープライズ,114.0,-6.53694796676869,0
8919,カチタス,3025.0,-6.524247043797121,0
5304,ＳＥＣカーボン,2559.0,-6.39083442261544,0
157A,グリーンモンスター,1010.0,-6.306818884587319,0
9740,セントラル警備保障,2821.0,-6.279900067330521,0
4445,リビン・テクノロジーズ,3340.0,-5.994933858710948,0
1793,大本組,1597.0,-5.945220108994396,0
4571,ＮＡＮＯ　ＭＲＮＡ,145.0,-5.81153646284427,0
9959,アシードホールディングス,878.0,-5.730605700542569,0
4341,西菱電機,802.0,-5.681087607608229,0
7538,大水,382.0,-5.479858797136348,0
5018,ＭＯＲＥＳＣＯ,1763.0,-5.477953791604715,0
9367,大東港運,2125.0,-5.442927575957147,0
3395,サンマルクホールディングス,2771.0,-5.405958980801271,0
6540,船場,1724.0,-5.389782389182388,0
1780,ヤマウラ,1475.0,-4.92294998839737,0
7570,橋本総業ホールディングス,1295.0,-4.782212287873883,0
3646,駅探,349.0,-4.738508570804677,0
7896,セブン工業,512.0,-4.735915056190933,0
6203,豊和工業,1449.0,-4.605782904092276,0
9428,クロップス,1388.0,-4.603062599085438,0
6497,ハマイ,1256.0,-4.58343884527728,0
