Ticker,銘柄名,終値,RCI,75SMA越
3911,Ａｉｍｉｎｇ,241.0,-98.33333333333334,0
2185,シイエム・シイ,1632.0,-98.33333333333334,69
9339,コーチ・エィ,1430.0,-98.33333333333334,59
8105,堀田丸正,413.0,-98.33333333333334,109
2158,ＦＲＯＮＴＥＯ,878.0,-96.66666666666666,58
7806,ＭＴＧ,3975.0,-96.66666666666666,0
6325,タカキタ,399.0,-96.66666666666666,0
3083,スターシーズ,724.0,-96.66666666666666,0
5727,東邦チタニウム,1492.0,-96.66666666666666,0
2334,イオレ,2989.0,-96.66666666666666,0
3099,三越伊勢丹ホールディングス,2530.5,-95.0,102
2288,丸大食品,1835.0,-95.0,0
8252,丸井グループ,2963.5,-95.0,0
9082,大和自動車交通,1313.0,-95.0,76
3306,日本製麻,772.0,-95.0,0
208A,構造計画研究所ホールディングス,3055.0,-95.0,49
3690,イルグルム,584.0,-93.75,0
4524,森下仁丹,2150.0,-93.75,0
7793,イメージ・マジック,1629.0,-93.75,76
7131,のむら産業,3025.0,-93.75,51
7265,エイケン工業,3930.0,-93.33333333333331,0
2307,クロスキャット,1086.0,-93.33333333333331,0
3719,ＡＩストーム,379.0,-93.33333333333331,19
4343,イオンファンタジー,2981.0,-93.33333333333331,0
6171,土木管理総合試験所,444.0,-93.33333333333331,1
9010,富士急行,2422.0,-93.33333333333331,34
2986,ＬＡホールディングス,7610.0,-93.33333333333331,2
7975,リヒトラブ,1170.0,-93.33333333333331,1
9325,ファイズホールディングス,1165.0,-93.33333333333331,0
3649,ファインデックス,809.0,-93.33333333333331,98
3988,ＳＹＳホールディングス,564.0,-93.33333333333331,0
298A,ＧＶＡ　ＴＥＣＨ,720.0,-93.33333333333331,66
4833,Ｄｅｆ　ｃｏｎｓｕｌｔｉｎｇ,103.0,-93.33333333333331,0
3647,ジー・スリーホールディングス,132.0,-93.33333333333331,0
9213,セイファート,947.0,-93.33333333333331,0
5842,インテグラル,3250.0,-93.33333333333331,0
8129,東邦ホールディングス,5076.0,-93.33333333333331,0
3097,物語コーポレーション,3985.0,-92.5,0
7111,ＩＮＥＳＴ,624.0,-92.5,75
4642,オリジナル設計,1722.0,-92.08333333333334,0
2114,フジ日本,1059.0,-92.08333333333334,0
8848,レオパレス２１,652.0,-92.08333333333334,0
9340,アソインターナショナル,663.0,-92.08333333333334,0
8572,アコム,449.6000061035156,-91.66666666666669,0
3377,バイク王＆カンパニー,430.0,-91.66666666666669,2
6315,ＴＯＷＡ,2119.0,-91.66666666666669,28
6278,ユニオンツール,6660.0,-91.66666666666669,0
5592,くすりの窓口,3725.0,-91.66666666666669,195
6727,ワコム,810.0,-91.66666666666669,100
4241,アテクト,415.0,-91.66666666666669,0
4848,フルキャストホールディングス,1703.0,-91.66666666666669,0
9974,ベルク,7260.0,-91.66666666666669,0
2461,ファンコミュニケーションズ,487.0,-91.25,0
2389,デジタルホールディングス,1983.0,-90.41666666666666,48
2342,トランスジェニックグループ,197.0,-90.41666666666666,0
2337,いちご,369.0,-90.41666666666666,0
4380,Ｍマート,1292.0,-90.41666666666666,0
7161,じもとホールディングス,405.0,-90.41666666666666,2
4495,アイキューブドシステムズ,2355.0,-90.41666666666666,128
4231,タイガースポリマー,972.0,-90.41666666666666,75
9627,アインホールディングス,6548.0,-89.99999999999999,89
7957,フジコピアン,1507.0,-89.99999999999999,0
6832,アオイ電子,2239.0,-89.99999999999999,89
6248,横田製作所,1660.0,-89.99999999999999,59
9365,トレーディア,1414.0,-89.99999999999999,82
3396,フェリシモ,863.0,-89.99999999999999,119
9001,東武鉄道,2520.5,-89.99999999999999,0
4626,太陽ホールディングス,7530.0,-89.99999999999999,142
3566,ユニフォームネクスト,602.0,-89.99999999999999,0
4769,ＩＣ,1040.0,-89.99999999999999,2
7749,メディキット,2632.0,-89.99999999999999,34
3986,ビーブレイクシステムズ,1448.0,-89.99999999999999,28
4751,サイバーエージェント,1631.0,-89.58333333333333,0
4197,アスマーク,2439.0,-89.58333333333333,0
3634,ソケッツ,689.0,-89.58333333333333,80
9330,揚羽,799.0,-89.16666666666666,0
4392,ＦＩＧ,311.0,-89.16666666666666,109
3195,ジェネレーションパス,407.0,-88.75,0
9270,バリュエンスホールディングス,897.0,-88.75,0
6776,天昇電気工業,260.0,-88.75,0
7817,パラマウントベッドホールディングス,3570.0,-88.75,96
3543,コメダホールディングス,2960.0,-88.75,0
8085,ナラサキ産業,3335.0,-88.75,0
7354,ダイレクトマーケティングミックス,275.0,-88.75,0
6835,アライドテレシスホールディングス,201.0,-88.33333333333333,79
6070,キャリアリンク,2388.0,-88.33333333333333,76
2395,新日本科学,1588.0,-88.33333333333333,58
4301,アミューズ,1950.0,-88.33333333333333,52
4523,エーザイ,4527.0,-88.33333333333333,0
6734,ニューテック,1792.0,-88.33333333333333,0
7729,東京精密,10185.0,-88.33333333333333,21
7809,壽屋,1689.0,-88.33333333333333,128
3663,セルシス,1657.0,-88.33333333333333,0
6616,トレックス・セミコンダクター,1581.0,-88.33333333333333,0
9060,日本ロジテム,4440.0,-88.33333333333333,0
5187,クリエートメディック,999.0,-88.33333333333333,70
300A,ＭＩＣ,2534.0,-88.33333333333333,1
5596,アウトルックコンサルティング,1273.0,-88.33333333333333,0
4894,クオリプス,6680.0,-88.33333333333333,45
5074,テスホールディングス,369.0,-88.33333333333333,0
3640,電算,2938.0,-88.33333333333333,2
9251,ＡＢ＆Ｃｏｍｐａｎｙ,1300.0,-88.33333333333333,130
6875,メガチップス,7740.0,-88.33333333333333,109
7490,日新商事,1284.0,-87.91666666666667,109
4017,クリーマ,269.0,-87.91666666666667,0
6173,アクアライン,308.0,-87.91666666666667,0
4428,シノプス,896.0,-87.5,0
4496,コマースＯｎｅホールディングス,802.0,-87.5,0
7527,システムソフト,72.0,-87.5,2
3030,ハブ,772.0,-87.5,0
184A,学びエイド,557.0,-87.08333333333333,0
3452,ビーロット,1769.0,-87.08333333333333,90
3878,巴川コーポレーション,740.0,-87.08333333333333,1
6820,アイコム,3025.0,-87.08333333333333,28
5542,新報国マテリアル,780.0,-87.08333333333333,0
6033,エクストリーム,1339.0,-87.08333333333333,76
9854,愛眼,175.0,-87.08333333333333,0
3863,日本製紙,1146.0,-87.08333333333333,0
