Ticker,銘柄名,出来高前日比,出来高発行株式割合,75SMA越
4558,中京医薬品,140.2,27.3,39
7707,プレシジョン・システム・サイエンス,109.7,82.7,2
7378,アシロ,63.9,41.7,0
9237,笑美面,62.7,14.2,0
4166,かっこ,30.7,23.2,1
7699,オムニ・プラス・システム・リミテッド　ＪＤＲ,28.0,0.2,81
9913,日邦産業,22.0,0.0,1
4582,シンバイオ製薬,20.4,13.4,0
7781,平山ホールディングス,19.0,0.6,39
5071,ヴィス,17.4,0.5,56
7377,ＤＮホールディングス,17.2,0.2,0
5966,京都機械工具,16.0,0.1,0
6416,桂川電機,16.0,0.8,38
4265,Ｉｎｓｔｉｔｕｔｉｏｎ　ｆｏｒ　ａ　Ｇｌｏｂａｌ　Ｓｏｃｉｅｔｙ,15.8,89.8,8
6095,メドピア,15.7,0.9,0
8995,誠建設工業,15.3,10.0,54
7851,カワセコンピュータサプライ,12.0,0.3,102
2687,シー・ヴイ・エス・ベイエリア,11.5,1.2,77
7815,東京ボード工業,11.0,0.1,0
3633,ＧＭＯペパボ,10.5,2.1,90
9361,伏木海陸運送,10.0,0.0,29
3922,ＰＲ　ＴＩＭＥＳ,9.9,2.9,51
9890,マキヤ,9.3,0.2,56
3928,マイネット,9.2,1.4,23
8836,ＲＩＳＥ,9.0,0.7,1
2673,夢みつけ隊,8.5,79.6,101
2291,福留ハム,8.4,0.2,53
1997,暁飯島工業,8.4,0.7,75
5031,モイ,8.2,7.0,41
2229,カルビー,7.7,1.8,2
2806,ユタカフーズ,7.2,0.0,0
9955,ヨンキュウ,7.1,0.4,81
3358,ワイエスフード,7.0,2.0,0
9130,共栄タンカー,6.9,1.1,79
6335,東京機械製作所,6.8,23.6,24
4437,ｇｏｏｄｄａｙｓホールディングス,6.5,0.1,0
7345,アイ・パートナーズフィナンシャル,6.2,0.1,8
1757,創建エース,6.2,25.3,0
6977,日本抵抗器製作所,6.2,0.2,1
9376,ユーラシア旅行社,5.9,0.1,62
2117,ウェルネオシュガー,5.8,0.5,39
9691,両毛システムズ,5.7,0.5,102
8624,いちよし証券,5.7,1.2,28
5918,瀧上工業,5.5,0.0,23
3723,日本ファルコム,5.3,0.6,32
9562,ビジネスコーチ,5.3,1.3,95
7041,ＣＲＧホールディングス,5.2,0.2,70
6150,タケダ機械,5.2,0.2,21
7236,ティラド,5.2,2.9,101
6400,不二精機,5.1,1.4,88
4424,Ａｍａｚｉａ,5.0,0.3,0
8416,高知銀行,5.0,0.6,55
5868,ロココ,5.0,0.7,98
6408,小倉クラッチ,5.0,0.1,111
2376,サイネックス,4.8,0.0,0
3656,ＫＬａｂ,4.7,204.3,25
4720,城南進学研究社,4.7,0.2,26
5194,相模ゴム工業,4.7,0.2,60
4627,ナトコ,4.6,0.4,44
7081,コーユーレンティア,4.5,0.0,34
7292,村上開明堂,4.5,0.0,96
2585,ライフドリンク　カンパニー,4.4,10.2,0
4624,イサム塗料,4.4,0.2,48
4370,モビルス,4.3,1.0,95
9930,北沢産業,4.2,0.1,0
7635,杉田エース,4.2,0.0,47
6584,三櫻工業,4.2,3.6,57
6048,デザインワン・ジャパン,4.2,1.9,0
3513,イチカワ,4.2,0.1,55
5997,協立エアテック,4.1,0.2,53
2876,デルソーレ,4.1,0.4,45
331A,メディックス,4.1,0.6,1
7446,東北化学薬品,4.0,0.0,63
9220,エフビー介護サービス,3.9,0.2,86
7036,イーエムネットジャパン,3.9,0.1,76
9221,フルハシＥＰＯ,3.9,0.0,7
3020,アプライド,3.9,0.2,92
1382,ホーブ,3.9,13.7,2
5933,アルインコ,3.8,1.0,69
6034,ＭＲＴ,3.8,0.1,0
5070,ドラフト,3.8,1.3,36
3521,エコナックホールディングス,3.8,0.8,1
3571,ソトー,3.7,0.3,58
9204,スカイマーク,3.7,0.3,10
9647,協和コンサルタンツ,3.7,0.4,3
3559,ピーバンドットコム,3.7,2.1,9
5971,共和工業所,3.7,0.3,34
4380,Ｍマート,3.6,2.1,42
9656,グリーンランドリゾート,3.6,0.0,8
7698,アイスコ,3.6,0.4,22
4629,大伸化学,3.6,0.1,11
2778,パレモ・ホールディングス,3.6,0.8,0
4973,日本高純度化学,3.6,0.6,1
5987,オーネックス,3.5,0.0,0
3547,串カツ田中ホールディングス,3.5,5.9,107
7501,ティムコ,3.4,0.1,110
9563,Ａｔｌａｓ　Ｔｅｃｈｎｏｌｏｇｉｅｓ,3.4,0.1,0
7416,はるやまホールディングス,3.4,0.1,111
286A,ユカリア,3.4,1.6,1
5304,ＳＥＣカーボン,3.4,0.1,57
7722,国際計測器,3.4,0.3,35
269A,Ｓａｐｅｅｔ,3.3,1.1,0
9028,ゼロ,3.3,0.3,9
3490,アズ企画設計,3.2,0.5,50
9857,英和,3.2,0.1,64
6373,大同工業,3.2,0.5,99
2108,日本甜菜製糖,3.2,0.7,59
3323,レカム,3.2,28.1,101
8946,ＡＳＩＡＮ　ＳＴＡＲ,3.1,1.8,0
4784,ＧＭＯインターネット,3.1,0.7,0
4625,アトミクス,3.1,0.0,74
6563,みらいワークス,3.1,0.3,0
6840,ＡＫＩＢＡホールディングス,3.1,1.4,84
7646,ＰＬＡＮＴ,3.0,0.5,60
5817,ＪＭＡＣＳ,3.0,15.0,2
9778,昴,3.0,0.1,0
9788,ナック,3.0,0.1,3
6384,昭和真空,3.0,0.1,41
6297,鉱研工業,3.0,0.1,96
5078,セレコーポレーション,3.0,0.0,109
5283,高見澤,3.0,0.0,30
366A,ウェルネス・コミュニケーションズ,3.0,1.7,0
9651,日本プロセス,3.0,0.1,26
4394,エクスモーション,3.0,0.2,0
3847,パシフィックシステム,3.0,0.1,99
6298,ワイエイシイホールディングス,3.0,1.4,18
6568,神戸天然物化学,3.0,0.1,68
9823,マミーマート,2.9,0.3,28
8345,岩手銀行,2.9,0.3,76
4760,アルファ,2.9,0.4,0
4479,マクアケ,2.9,1.4,107
3681,ブイキューブ,2.9,1.3,0
5969,ロブテックス,2.8,0.1,0
7444,ハリマ共和物産,2.8,0.1,15
4611,大日本塗料,2.8,0.3,48
8795,Ｔ＆Ｄホールディングス,2.8,0.5,93
7477,ムラキ,2.8,0.1,0
4197,アスマーク,2.8,0.3,36
4666,パーク２４,2.7,1.7,30
245A,ＩＮＧＳ,2.7,0.4,102
6060,こころネット,2.7,0.0,89
3970,イノベーション,2.7,0.3,0
4576,デ・ウエスタン・セラピテクス研究所,2.7,2.7,0
9409,テレビ朝日ホールディングス,2.7,0.6,81
9661,歌舞伎座,2.7,0.0,0
3550,スタジオアタオ,2.6,0.1,80
8343,秋田銀行,2.6,1.0,91
3065,ライフフーズ,2.6,0.1,0
5136,ｔｒｉｐｌａ,2.6,9.4,0
3237,イントランス,2.6,1.0,26
5341,ＡＳＡＨＩ　ＥＩＴＯホールディングス,2.6,1.4,14
7374,コンフィデンス・インターワークス,2.6,0.3,82
3777,環境フレンドリーホールディングス,2.6,2.8,2
5942,日本フイルコン,2.6,0.3,35
5280,ヨシコン,2.6,0.6,105
5982,マルゼン,2.6,0.0,59
9385,ショーエイコーポレーション,2.6,0.1,54
3422,Ｊ－ＭＡＸ,2.6,0.1,46
3948,光ビジネスフォーム,2.6,0.1,145
6357,三精テクノロジーズ,2.6,0.2,91
6706,電気興業,2.6,0.2,0
3834,朝日ネット,2.6,0.2,33
3560,ほぼ日,2.5,0.4,0
6198,キャリア,2.5,0.0,0
4072,電算システムホールディングス,2.5,8.2,86
3622,ネットイヤーグループ,2.5,0.2,0
3815,メディア工房,2.5,0.2,0
7877,永大化工,2.5,0.0,84
5445,東京鐵鋼,2.5,0.6,32
3359,ｃｏｔｔａ,2.5,1.2,77
7317,松屋アールアンドディ,2.5,0.3,73
3639,ボルテージ,2.5,1.9,65
335A,ミライロ,2.4,0.3,0
2146,ＵＴグループ,2.4,1.6,87
4679,田谷,2.4,0.2,0
5965,フジマック,2.4,0.2,20
5571,エキサイトホールディングス,2.4,0.2,22
1446,キャンディル,2.4,0.2,0
6666,リバーエレテック,2.4,4.7,1
9360,鈴与シンワート,2.4,0.1,0
6787,メイコー,2.4,0.8,64
5858,ＳＴＧ,2.4,1.0,50
4463,日華化学,2.4,0.1,32
7732,トプコン,2.4,0.5,203
7914,共同印刷,2.4,0.4,68
1799,第一建設工業,2.4,0.1,100
2055,日和産業,2.3,0.2,38
4615,神東塗料,2.3,0.2,0
2183,リニカル,2.3,0.1,75
9444,トーシンホールディングス,2.3,0.1,1
5905,日本製罐,2.3,0.1,0
8613,丸三証券,2.3,0.6,57
7367,セルム,2.3,0.1,67
6566,要興業,2.3,0.0,71
7983,ミロク,2.3,0.8,73
253A,ＥＴＳグループ,2.3,1.0,71
9843,ニトリホールディングス,2.3,1.1,8
3431,宮地エンジニアリンググループ,2.3,0.3,78
2901,ウェルディッシュ,2.3,0.8,9
9733,ナガセ,2.3,0.1,71
7957,フジコピアン,2.3,0.0,9
4840,トライアイズ,2.3,0.4,68
7102,日本車輌製造,2.3,0.4,52
5994,ファインシンター,2.3,2.1,72
8365,富山銀行,2.3,0.3,68
7062,フレアス,2.3,0.3,70
4690,日本パレットプール,2.3,1.2,109
8349,東北銀行,2.2,0.4,61
7021,ニッチツ,2.2,0.1,81
9446,サカイホールディングス,2.2,2.0,63
5386,鶴弥,2.2,0.4,77
3641,パピレス,2.2,0.1,1
8708,アイザワ証券グループ,2.2,0.3,33
7187,ジェイリース,2.2,0.4,50
6358,酒井重工業,2.2,0.4,48
4645,市進ホールディングス,2.2,0.0,68
4231,タイガースポリマー,2.2,0.2,56
7034,プロレド・パートナーズ,2.2,4.3,87
9306,東陽倉庫,2.2,0.2,94
4242,タカギセイコー,2.2,0.0,43
6919,ケル,2.2,0.2,57
4838,スペースシャワーＳＫＩＹＡＫＩホールディングス,2.2,0.5,111
2926,篠崎屋,2.2,5.5,108
9017,新潟交通,2.2,0.1,53
4069,ＢｌｕｅＭｅｍｅ,2.2,0.1,70
8065,佐藤商事,2.2,0.1,79
6033,エクストリーム,2.2,0.1,57
9468,ＫＡＤＯＫＡＷＡ,2.2,0.5,0
7343,ブロードマインド,2.2,0.1,57
9466,アイドママーケティングコミュニケーション,2.2,0.1,0
2883,大冷,2.2,0.2,88
7031,インバウンドテック,2.2,0.0,0
2678,アスクル,2.2,1.1,12
5753,日本伸銅,2.2,0.0,39
8105,堀田丸正,2.1,31.1,90
4245,ダイキアクシス,2.1,0.1,9
3417,大木ヘルスケアホールディングス,2.1,0.1,96
2689,オルバヘルスケアホールディングス,2.1,0.1,0
6832,アオイ電子,2.1,0.3,70
2109,ＤＭ三井製糖,2.1,0.1,29
1719,安藤・間,2.1,0.7,111
4635,東京インキ,2.1,0.5,104
8037,カメイ,2.1,0.1,100
6494,ＮＦＫホールディングス,2.1,1.3,107
7925,前澤化成工業,2.1,0.4,44
6158,和井田製作所,2.1,0.1,19
9273,コーア商事ホールディングス,2.1,0.1,56
6497,ハマイ,2.1,0.2,70
7183,あんしん保証,2.1,0.4,22
6306,日工,2.1,0.2,73
9876,コックス,2.1,0.1,81
7322,三十三フィナンシャルグループ,2.1,0.3,90
2329,東北新社,2.1,0.0,48
2908,フジッコ,2.1,0.3,33
7640,トップカルチャー,2.1,21.1,109
1814,大末建設,2.1,0.5,111
6181,タメニー,2.1,0.1,0
7729,東京精密,2.1,2.2,2
8061,西華産業,2.1,0.5,89
