Ticker,銘柄名,出来高発行株式割合,出来高前日比,75SMA越
2334,イオレ,108.2,0.7,0
4664,アール・エス・シー,98.7,3.6,5
4424,Ａｍａｚｉａ,67.4,50.4,1
4316,ビーマップ,55.0,31.8,0
157A,グリーンモンスター,50.1,78.0,9
5724,アサカ理研,49.7,1.6,30
8105,堀田丸正,33.7,1.7,0
2342,トランスジェニックグループ,23.7,45.9,1
2586,フルッタフルッタ,22.5,0.5,0
6330,東洋エンジニアリング,20.9,1.1,107
4597,ソレイジア・ファーマ,19.9,0.9,0
4564,オンコセラピー・サイエンス,19.6,1.2,0
6993,大黒屋ホールディングス,18.9,0.8,3
5801,古河電気工業,16.2,1.2,126
6029,アトラグループ,15.3,9.0,0
3103,ユニチカ,14.5,3.3,7
4570,免疫生物研究所,13.6,0.3,11
8918,ランド,12.4,1.0,0
7003,三井Ｅ＆Ｓ,11.0,1.2,140
9610,ウィルソン・ラーニング　ワールドワイド,10.9,1.2,1
5985,サンコール,10.6,0.5,86
3905,データセクション,10.1,1.7,0
