Ticker,銘柄名,陽線陰線,出来高,出来高前日差,出来高発行株式割合,出来高前日比,三平,空,25SMA越,75SMA越,足1,足2,直近高値越,75SMAと直近高値越,直近高値,75反発,パーフェクトオーダー
8308,りそなホールディングス,↑,8734700,-5225800.0,0.4,0.6,3,2,11,11,コマ・陽の極線,なし,True,False,1249.5,False,True
5844,京都フィナンシャルグループ,↑,391200,-500600.0,0.1,0.4,3,2,11,11,コマ・陽の極線,なし,False,False,2584.0,False,True
3652,ディジタルメディアプロフェッショナル,↑,592700,573200.0,18.8,30.4,0,2,3,3,コマ・陽の極線,なし,True,False,1908.0,False,True
6647,森尾電機,→,100,-500.0,0.0,0.2,0,2,1,1,なし,なし,False,False,1784.0,False,True
7231,トピー工業,↑,91000,51400.0,0.4,2.3,0,2,10,10,コマ・陽の極線,陽たすき(下落中売り),True,False,2274.0,False,True
8508,Ｊトラスト,↑,314400,83700.0,0.2,1.4,0,1,17,17,陽の寄付坊主,なし,False,False,420.0,False,True
4293,セプテーニ・ホールディングス,↓,214600,-150200.0,0.1,0.6,0,1,9,9,陰の寄付坊主,なし,False,False,406.0,False,True
4196,ネオマーケティング,↑,30400,25000.0,1.2,5.6,0,1,5,5,陽の寄付坊主,陽たすき(下落中売り),True,False,1007.0,False,True
8558,東和銀行,↑,245700,-8100.0,0.7,1.0,3,1,9,9,陽の寄付坊主,なし,False,False,731.0,False,True
8386,百十四銀行,↑,86600,6900.0,0.3,1.1,3,1,9,9,陽の寄付坊主,なし,True,False,3820.0,False,True
5918,瀧上工業,→,100,-500.0,0.0,0.2,0,1,9,9,なし,なし,True,False,7000.0,False,True
4375,セーフィー,↑,418500,138700.0,0.8,1.5,0,1,0,0,コマ・陽の極線,陽たすき(下落中売り),False,False,881.0,False,True
6090,ヒューマン・メタボローム・テクノロジーズ,↑,17500,3200.0,0.3,1.2,3,1,5,5,陽の寄付坊主,なし,True,False,707.0,False,True
8848,レオパレス２１,↑,17572600,16034100.0,5.3,11.4,0,1,1,1,陽の大引坊主,陽たすき(下落中売り),True,True,605.0,False,True
9244,デジタリフト,↑,3200,1100.0,0.2,1.5,2,1,14,14,陽の寄付坊主,なし,True,False,740.0,False,True
