Ticker,銘柄名,三平
8037,カメイ,8
416A,富士ユナイトホールディングス,8
6533,Ｏｒｃｈｅｓｔｒａ　Ｈｏｌｄｉｎｇｓ,7
5036,日本ビジネスシステムズ,7
4704,トレンドマイクロ,7
7366,ＬＩＴＡＬＩＣＯ,7
7678,あさくま,7
3177,ありがとうサービス,7
4549,栄研化学,6
6104,芝浦機械,6
2445,タカミヤ,6
1723,日本電技,6
9216,ビーウィズ,6
8057,内田洋行,6
3842,ネクストジェン,6
4847,インテリジェント　ウェイブ,6
6498,キッツ,6
3569,セーレン,6
6675,サクサ,6
4228,積水化成品工業,6
3633,ＧＭＯペパボ,6
3796,いい生活,6
6523,ＰＨＣホールディングス,6
6463,ＴＰＲ,6
4221,大倉工業,6
7820,ニホンフラッシュ,6
4178,Ｓｈａｒｉｎｇ　Ｉｎｎｏｖａｔｉｏｎｓ,6
1813,不動テトラ,6
6470,大豊工業,6
7013,ＩＨＩ,6
6089,ウィルグループ,6
6151,日東工器,6
3371,ソフトクリエイトホールディングス,6
9726,ＫＮＴ－ＣＴホールディングス,6
7593,ＶＴホールディングス,6
9366,サンリツ,6
7868,広済堂ホールディングス,6
6763,帝国通信工業,6
274A,ガーデン,5
9976,セキチュー,5
1873,日本ハウスホールディングス,5
9896,ＪＫホールディングス,5
4583,カイオム・バイオサイエンス,5
3793,ドリコム,5
6526,ソシオネクスト,5
9514,エフオン,5
3560,ほぼ日,5
3179,シュッピン,5
2819,エバラ食品工業,5
2612,かどや製油,5
5537,ＡｌｂａＬｉｎｋ,5
3964,オークネット,5
3798,ＵＬＳグループ,5
6912,菊水ホールディングス,5
1736,オーテック,5
5957,日東精工,5
4886,あすか製薬ホールディングス,5
6279,瑞光,5
7596,魚力,5
6364,ＡＩＲＭＡＮ,5
4167,ココペリ,5
6617,東光高岳,5
3154,メディアスホールディングス,5
1980,ダイダン,5
2185,シイエム・シイ,5
4192,スパイダープラス,5
3131,シンデン・ハイテックス,5
4361,川口化学工業,5
6167,冨士ダイス,5
3800,ユニリタ,5
7090,リグア,5
3565,アセンテック,5
2158,ＦＲＯＮＴＥＯ,5
3445,ＲＳ　Ｔｅｃｈｎｏｌｏｇｉｅｓ,5
4420,イーソル,5
4771,エフアンドエム,5
7811,中本パックス,5
6597,ＨＰＣシステムズ,4
5975,東プレ,4
4461,第一工業製薬,4
3374,内外テック,4
9991,ジェコス,4
6440,ＪＵＫＩ,4
8285,三谷産業,4
2664,カワチ薬品,4
3646,駅探,4
7701,島津製作所,4
2984,ヤマイチエステート,4
1946,トーエネック,4
6209,リケンＮＰＲ,4
7637,白銅,4
1758,太洋基礎工業,4
4241,アテクト,4
6507,シンフォニアテクノロジー,4
456A,ＨＵＭＡＮ　ＭＡＤＥ,4
7218,田中精密工業,4
6676,ＢＵＦＦＡＬＯ,4
7827,オービス,4
3433,トーカロ,4
5033,ヌーラボ,4
3763,プロシップ,4
6863,ニレコ,4
6508,明電舎,4
6850,チノー,4
6599,エブレン,4
7111,ＩＮＥＳＴ,4
6918,アバールデータ,4
9740,セントラル警備保障,4
6652,ＩＤＥＣ,4
7305,新家工業,4
1870,矢作建設工業,4
1961,三機工業,4
7847,グラファイトデザイン,4
4968,荒川化学工業,4
7228,デイトナ,4
4350,メディカルシステムネットワーク,4
3156,レスター,4
7879,ノダ,4
2359,コア,4
6638,ミマキエンジニアリング,4
175A,Ｗｉｌｌ　Ｓｍａｒｔ,4
6594,ニデック,4
8137,サンワテクノス,4
4531,有機合成薬品工業,4
5381,マイポックス,4
5301,東海カーボン,4
6998,日本タングステン,4
5542,新報国マテリアル,4
7537,丸文,4
4404,ミヨシ油脂,4
9553,マイクロアド,4
7175,今村証券,4
4628,エスケー化研,4
7353,ＫＩＹＯラーニング,4
4679,田谷,4
3758,アエリア,4
6298,ワイエイシイホールディングス,4
4972,綜研化学,4
7199,プレミアグループ,4
3513,イチカワ,4
3566,ユニフォームネクスト,4
2173,博展,4
6444,サンデン,4
7956,ピジョン,3
2970,ＧＬＣ　ＧＲＯＵＰ,3
4025,多木化学,3
4885,室町ケミカル,3
8944,ランドビジネス,3
7378,アシロ,3
7634,星医療酸器,3
1518,三井松島ホールディングス,3
4766,ピーエイ,3
2980,ＳＲＥホールディングス,3
6289,技研製作所,3
6907,ジオマテック,3
6317,北川鉄工所,3
7687,ミクリード,3
3660,アイスタイル,3
7050,フロンティアインターナショナル,3
3696,セレス,3
6505,東洋電機製造,3
3103,ユニチカ,3
