Ticker,銘柄名,三平,RCI,75SMA越,25SMA越
9322,川西倉庫,4,-23.33333333333334,78,32
4769,ＩＣ,3,-55.41666666666667,37,22
6540,船場,3,-26.25,90,90
5161,西川ゴム工業,3,-1.6666666666666607,50,49
6199,セラク,3,-16.666666666666675,3,3
368A,北里コーポレーション,3,-46.66666666666666,0,0
350A,デジタルグリッド,3,-33.33333333333333,74,2
8617,光世証券,3,-56.25,55,57
3608,ＴＳＩホールディングス,3,-50.0,0,1
7989,立川ブラインド工業,3,-61.66666666666667,73,20
7042,アクセスグループ・ホールディングス,3,-35.41666666666667,3,0
6254,野村マイクロ・サイエンス,3,-11.66666666666667,26,23
9828,Ｇｅｎｋｉ　Ｇｌｏｂａｌ　Ｄｉｎｉｎｇ　Ｃｏｎｃｅｐｔｓ,3,-54.58333333333334,0,0
7611,ハイデイ日高,3,-1.2499999999999956,96,35
8097,三愛オブリ,3,-14.999999999999991,65,84
6762,ＴＤＫ,3,-14.999999999999991,51,48
