Ticker,銘柄名,ブレークアウト日数,75SMA越
6630,ヤーマン,115.0,29
9780,ハリマビステム,115.0,1
4828,ビジネスエンジニアリング,115.0,24
8167,リテールパートナーズ,115.0,23
5027,ＡｎｙＭｉｎｄ　Ｇｒｏｕｐ,115.0,1
2613,Ｊ－オイルミルズ,115.0,9
9249,日本エコシステム,115.0,1
5951,ダイニチ工業,115.0,44
7681,レオクラン,115.0,47
9251,ＡＢ＆Ｃｏｍｐａｎｙ,115.0,1
6027,弁護士ドットコム,115.0,1
2170,リンクアンドモチベーション,115.0,33
3976,シャノン,115.0,74
2735,ワッツ,115.0,37
8624,いちよし証券,115.0,36
3496,アズーム,115.0,33
4849,エン,115.0,31
2179,成学社,115.0,31
9722,藤田観光,115.0,9
2269,明治ホールディングス,115.0,9
2181,パーソルホールディングス,115.0,39
3177,ありがとうサービス,115.0,32
8622,水戸証券,115.0,31
3600,フジックス,110.0,42
9241,フューチャーリンクネットワーク,110.0,36
2984,ヤマイチエステート,100.0,36
7562,安楽亭,95.0,36
9467,アルファポリス,90.0,3
8570,イオンフィナンシャルサービス,85.0,21
7502,プラザホールディングス,65.0,1
549A,ヒトトヒトホールディングス,65.0,11
9367,大東港運,65.0,1
4565,ネクセラファーマ,60.0,6
335A,ミライロ,60.0,1
7280,ミツバ,50.0,1
4499,Ｓｐｅｅｅ,45.0,1
4976,東洋ドライルーブ,40.0,5
3597,自重堂,30.0,0
2814,佐藤食品工業,30.0,12
2491,バリューコマース,25.0,2
7833,アイフィスジャパン,25.0,4
7494,コナカ,25.0,1
3221,ヨシックスホールディングス,20.0,1
3440,日創グループ,20.0,1
9250,ＧＲＣＳ,20.0,0
1380,秋川牧園,20.0,1
7351,グッドパッチ,20.0,1
8153,モスフードサービス,10.0,8
9399,ビート・ホールディングス・リミテッド,10.0,0
9242,メディア総研,10.0,0
3222,ユナイテッド・スーパーマーケット・ホールディングス,10.0,1
2809,キユーピー,10.0,42
7164,全国保証,10.0,10
4951,エステー,10.0,43
7611,ハイデイ日高,10.0,26
7083,ＡＨＣグループ,10.0,46
3856,Ａｂａｌａｎｃｅ,10.0,0
7516,コーナン商事,10.0,1
9987,スズケン,10.0,0
2752,フジオフードグループ本社,10.0,1
7512,イオン北海道,10.0,1
8255,アクシアル　リテイリング,10.0,32
9052,山陽電気鉄道,10.0,1
5535,ミガロホールディングス,10.0,1
3196,ホットランドホールディングス,10.0,6
4528,小野薬品工業,10.0,8
3048,ビックカメラ,10.0,8
9418,Ｕ－ＮＥＸＴ　ＨＯＬＤＩＮＧＳ,10.0,36
3184,ＩＣＤＡホールディングス,10.0,1
2157,コシダカホールディングス,10.0,1
8244,近鉄百貨店,10.0,52
9647,協和コンサルタンツ,5.0,0
545A,トランヴィア,5.0,37
8131,ミツウロコグループホールディングス,5.0,31
3848,データ・アプリケーション,5.0,1
3816,大和コンピューター,5.0,1
7357,ジオコード,5.0,47
9948,アークス,5.0,31
1375,ユキグニファクトリー,5.0,49
3495,香陵住販,5.0,0
6822,大井電気,5.0,0
9625,セレスポ,5.0,0
8278,フジ,5.0,5
5122,オカモト,5.0,1
8147,トミタ,5.0,1
9090,ＡＺ－ＣＯＭ丸和ホールディングス,5.0,8
7421,カッパ・クリエイト,5.0,31
3672,オルトプラス,5.0,1
9946,ミニストップ,5.0,0
9828,Ｇｅｎｋｉ　Ｇｌｏｂａｌ　Ｄｉｎｉｎｇ　Ｃｏｎｃｅｐｔｓ,5.0,42
8129,東邦ホールディングス,5.0,0
4722,フューチャー,5.0,33
9867,ソレキア,5.0,6
1807,佐藤渡辺,5.0,7
7075,ＱＬＳホールディングス,5.0,39
9930,北沢産業,5.0,28
4569,杏林製薬,5.0,0
7513,コジマ,5.0,1
9012,秩父鉄道,5.0,0
2962,テクニスコ,5.0,11
2883,大冷,5.0,32
2784,アルフレッサ　ホールディングス,5.0,3
7551,ウェッズ,5.0,30
1377,サカタのタネ,5.0,31
4326,インテージホールディングス,5.0,72
3091,ブロンコビリー,5.0,0
