Ticker,銘柄名,陽線陰線,出来高,出来高前日差,出来高発行株式割合,出来高前日比,三平,空,25SMA越,75SMA越,足1,足2,直近高値越,75SMAと直近高値越,直近高値,75反発,パーフェクトオーダー
7975,リヒトラブ,↓,900,700.0,0.0,4.5,-2,-2,0,0,陰の大引坊主,なし,False,False,1191.0,False,True
6193,バーチャレクス・ホールディングス,↓,2300,-100.0,0.1,1.0,-2,-2,0,0,陰の寄付坊主,なし,False,False,873.0,False,True
9362,兵機海運,↓,1000,700.0,0.1,3.3,-2,-2,0,0,陰の丸坊主,なし,False,False,3655.0,False,True
4365,松本油脂製薬,→,200,100.0,0.0,2.0,0,-2,0,0,なし,なし,False,False,17900.0,False,True
9778,昴,→,200,-100.0,0.0,0.7,0,-2,0,0,なし,なし,False,False,7490.0,False,True
4760,アルファ,↓,1600,300.0,0.2,1.2,0,-2,0,0,陰の寄付坊主,陰たすき(上昇中買い),False,False,1567.0,False,True
5973,トーアミ,→,400,0.0,0.0,1.0,0,-2,0,0,なし,毛抜き底(安値圏買い),False,False,549.0,False,True
5283,高見澤,↑,1300,1200.0,0.1,13.0,0,-2,0,0,陽の丸坊主,なし,False,False,3220.0,False,True
4450,パワーソリューションズ,↓,1200,900.0,0.0,4.0,0,-2,8,8,陰の丸坊主,毛抜き天井(高値圏売り),False,False,1388.0,False,True
5921,川岸工業,↓,500,200.0,0.0,1.7,0,-2,11,11,陰の丸坊主,なし,False,False,3815.0,False,True
2923,サトウ食品,→,200,-500.0,0.0,0.3,0,-1,0,0,なし,なし,False,False,7600.0,False,True
3035,ケイティケイ,↓,1800,600.0,0.0,1.5,-3,-1,7,7,陰の寄付坊主,なし,True,False,612.0,False,True
5753,日本伸銅,→,100,-800.0,0.0,0.1,0,-1,0,0,なし,なし,False,False,2170.0,False,True
5458,高砂鐵工,↓,400,300.0,0.0,4.0,0,-1,0,0,陰の丸坊主,なし,False,False,944.0,False,True
141A,トライアルホールディングス,↓,939500,150800.0,0.8,1.2,-4,-1,0,0,コマ・陰の極線,なし,False,False,2440.0,False,True
6255,エヌ・ピー・シー,↓,409500,209300.0,1.9,2.0,-4,-1,0,0,コマ・陰の極線,なし,False,False,796.0,False,True
9820,エムティジェネックス,↓,500,-2500.0,0.0,0.2,0,-1,10,10,陰の寄付坊主,陰たすき(上昇中買い),True,False,2640.0,False,True
6550,Ｕｎｉｐｏｓ,↓,2453400,1475500.0,18.8,2.5,0,-1,0,0,陰の寄付坊主,陰たすき(上昇中買い),False,False,232.0,False,True
5867,エスネットワークス,→,300,-1400.0,0.0,0.2,0,-1,19,19,なし,なし,False,False,1031.0,False,True
9636,きんえい,↓,500,200.0,0.0,1.7,0,-1,0,0,陰の丸坊主,なし,False,False,4095.0,False,True
