Ticker,銘柄名,三平
9065,山九,-6
3286,トラストホールディングス,-6
6507,シンフォニアテクノロジー,-6
3069,ＪＦＬＡホールディングス,-6
9303,住友倉庫,-6
2903,シノブフーズ,-6
2938,オカムラ食品工業,-5
6078,バリューＨＲ,-5
9799,旭情報サービス,-5
6620,宮越ホールディングス,-5
6806,ヒロセ電機,-5
7292,村上開明堂,-5
336A,ダイナミックマッププラットフォーム,-5
2404,鉄人化ホールディングス,-4
3097,物語コーポレーション,-4
2338,クオンタムソリューションズ,-4
8043,スターゼン,-4
6871,日本マイクロニクス,-4
9279,ギフトホールディングス,-4
4887,サワイグループホールディングス,-4
2892,日本食品化工,-4
2914,日本たばこ産業,-4
2587,サントリー食品インターナショナル,-4
9765,オオバ,-4
7735,ＳＣＲＥＥＮホールディングス,-4
6915,千代田インテグレ,-4
6315,ＴＯＷＡ,-4
4552,ＪＣＲファーマ,-4
3970,イノベーション,-4
2730,エディオン,-4
7561,ハークスレイ,-4
6088,シグマクシス・ホールディングス,-4
5905,日本製罐,-3
7042,アクセスグループ・ホールディングス,-3
4362,日本精化,-3
7585,かんなん丸,-3
9902,日伝,-3
7939,研創,-3
7981,タカラスタンダード,-3
7918,ヴィア・ホールディングス,-3
9143,ＳＧホールディングス,-3
3106,倉敷紡績,-3
4880,セルソース,-3
6038,イード,-3
9057,遠州トラック,-3
1418,インターライフホールディングス,-3
4331,テイクアンドギヴ・ニーズ,-3
2916,仙波糖化工業,-3
1853,森組,-3
5074,テスホールディングス,-3
9715,トランス・コスモス,-3
9046,神戸電鉄,-3
7284,盟和産業,-3
6525,ＫＯＫＵＳＡＩ　ＥＬＥＣＴＲＩＣ,-3
5707,東邦亜鉛,-3
2438,アスカネット,-3
2216,カンロ,-3
7806,ＭＴＧ,-3
3355,クリヤマホールディングス,-3
5195,バンドー化学,-3
5240,ｍｏｎｏＡＩ　ｔｅｃｈｎｏｌｏｇｙ,-3
3002,グンゼ,-3
7069,サイバー・バズ,-3
7965,象印マホービン,-3
8227,しまむら,-3
6858,小野測器,-3
3083,スターシーズ,-3
9259,タカヨシホールディングス,-3
4125,三和油化工業,-3
9216,ビーウィズ,-3
241A,ＲＯＸＸ,-3
4645,市進ホールディングス,-3
8260,井筒屋,-3
7906,ヨネックス,-3
9543,静岡ガス,-3
6293,日精樹脂工業,-3
2747,北雄ラッキー,-3
5344,ＭＡＲＵＷＡ,-3
6484,ＫＶＫ,-3
7805,プリントネット,-3
9272,ブティックス,-3
4376,くふうカンパニーホールディングス,-3
151A,ダイブ,-3
9990,サックスバー　ホールディングス,-3
5244,ｊｉｇ．ｊｐ,-3
6855,日本電子材料,-3
4540,ツムラ,-3
7343,ブロードマインド,-3
7922,三光産業,-3
2586,フルッタフルッタ,-3
8104,クワザワホールディングス,-3
3695,ＧＭＯリサーチ＆ＡＩ,-2
8123,川辺,-2
6466,ＴＶＥ,-2
4020,ビートレンド,-2
6428,オーイズミ,-2
3909,ショーケース,-2
4430,東海ソフト,-2
9215,ＣａＳｙ,-2
2160,ジーエヌアイグループ,-2
4093,東邦アセチレン,-2
6306,日工,-2
6819,伊豆シャボテンリゾート,-2
9627,アインホールディングス,-2
5726,大阪チタニウムテクノロジーズ,-2
6351,鶴見製作所,-2
4526,理研ビタミン,-2
2764,ひらまつ,-2
2193,クックパッド,-2
9193,東京汽船,-2
3053,ペッパーフードサービス,-2
4931,新日本製薬,-2
3371,ソフトクリエイトホールディングス,-2
2323,ｆｏｎｆｕｎ,-2
3800,ユニリタ,-2
4556,カイノス,-2
2208,ブルボン,-2
5941,中西製作所,-2
9788,ナック,-2
3178,チムニー,-2
6222,島精機製作所,-2
6337,テセック,-2
6619,ダブル・スコープ,-2
7368,表示灯,-2
2767,円谷フィールズホールディングス,-2
5985,サンコール,-2
2540,養命酒製造,-2
6820,アイコム,-2
6558,クックビズ,-2
6186,一蔵,-2
9450,ファイバーゲート,-2
5956,トーソー,-2
8052,椿本興業,-2
2810,ハウス食品グループ本社,-2
6273,ＳＭＣ,-2
8848,レオパレス２１,-2
6877,ＯＢＡＲＡ　ＧＲＯＵＰ,-2
2344,平安レイサービス,-2
1944,きんでん,-2
1960,サンテック,-2
2158,ＦＲＯＮＴＥＯ,-2
4379,Ｐｈｏｔｏｓｙｎｔｈ,-2
1828,田辺工業,-2
5952,アマテイ,-2
285A,キオクシアホールディングス,-2
9996,サトー商会,-2
3133,海帆,-2
7827,オービス,-2
3317,フライングガーデン,-2
3858,ユビキタスＡＩ,-2
3848,データ・アプリケーション,-2
5698,エンビプロ・ホールディングス,-2
6526,ソシオネクスト,-2
8214,ＡＯＫＩホールディングス,-2
9229,サンウェルズ,-2
6322,タクミナ,-2
7782,シンシア,-2
8018,三共生興,-2
3753,フライトソリューションズ,-2
3417,大木ヘルスケアホールディングス,-2
9219,ギックス,-2
7849,スターツ出版,-2
5262,日本ヒューム,-2
1969,高砂熱学工業,-2
1852,淺沼組,-2
1429,日本アクア,-2
6016,ジャパンエンジンコーポレーション,-2
8918,ランド,-2
4884,クリングルファーマ,-2
8131,ミツウロコグループホールディングス,-2
2207,名糖産業,-2
2349,エヌアイデイ,-2
386A,みのや,-2
4076,シイエヌエス,-2
4783,ＮＣＤ,-2
2130,メンバーズ,-2
2884,ヨシムラ・フード・ホールディングス,-2
4231,タイガースポリマー,-2
4068,ベイシス,-2
6334,明治機械,-2
8117,中央自動車工業,-2
248A,キッズスター,-2
5250,プライム・ストラテジー,-2
7694,いつも,-2
6555,ＭＳ＆Ｃｏｎｓｕｌｔｉｎｇ,-2
4626,太陽ホールディングス,-2
9257,ＹＣＰホールディングス（グローバル）リミテッド　ＪＤＲ,-2
8931,和田興産,-2
4448,ｋｕｂｅｌｌ,-2
4584,キッズウェル・バイオ,-2
9895,コンセック,-2
9302,三井倉庫ホールディングス,-2
9064,ヤマトホールディングス,-2
9024,西武ホールディングス,-2
6094,フリークアウト・ホールディングス,-2
4237,フジプレアム,-2
253A,ＥＴＳグループ,-2
6668,アドテック　プラズマ　テクノロジー,-2
9090,ＡＺ－ＣＯＭ丸和ホールディングス,-2
3143,オーウイル,-2
6955,ＦＤＫ,-2
3068,ＷＤＩ,-2
4381,ビープラッツ,-2
2485,ティア,-2
9344,アクシスコンサルティング,-2
6034,ＭＲＴ,-2
7505,扶桑電通,-2
9364,上組,-2
7379,サーキュレーション,-2
5973,トーアミ,-2
5884,クラダシ,-2
6676,ＢＵＦＦＡＬＯ,-2
4628,エスケー化研,-2
6513,オリジン,-2
7371,Ｚｅｎｋｅｎ,-2
4436,ミンカブ・ジ・インフォノイド,-2
5301,東海カーボン,-2
3187,ミラタップ,-2
5027,ＡｎｙＭｉｎｄ　Ｇｒｏｕｐ,-2
5870,ナルネットコミュニケーションズ,-2
9363,大運,-2
6545,インターネットインフィニティー,-2
4445,リビン・テクノロジーズ,-2
6561,ＨＡＮＡＴＯＵＲ　ＪＡＰＡＮ,-2
6560,エル・ティー・エス,-2
2373,ケア２１,-2
7366,ＬＩＴＡＬＩＣＯ,-2
7602,レダックス,-2
3803,イメージ情報開発,-2
4119,日本ピグメントホールディングス,-2
8118,キング,-2
3415,ＴＯＫＹＯ　ＢＡＳＥ,-2
4256,サインド,-2
7112,キューブ,-2
3540,歯愛メディカル,-2
4444,インフォネット,-2
7477,ムラキ,-2
9171,栗林商船,-2
7898,ウッドワン,-2
7375,リファインバースグループ,-2
6832,アオイ電子,-2
7425,初穂商事,-2
6465,ホシザキ,-2
6074,ジェイエスエス,-2
4264,セキュア,-2
5368,日本インシュレーション,-2
7443,横浜魚類,-2
3962,チェンジホールディングス,-2
2782,セリア,-2
4428,シノプス,-2
8737,あかつき本社,-2
9213,セイファート,-2
6537,ＷＡＳＨハウス,-2
7091,リビングプラットフォーム,-2
1380,秋川牧園,-2
5133,テリロジーホールディングス,-2
1376,カネコ種苗,-2
5161,西川ゴム工業,0
7896,セブン工業,0
3201,日本毛織,0
4599,ステムリム,0
3611,マツオカコーポレーション,0
4235,ウルトラファブリックス・ホールディングス,0
3179,シュッピン,0
3937,Ｕｂｉｃｏｍホールディングス,0
7096,ステムセル研究所,0
2393,日本ケアサプライ,0
7942,ＪＳＰ,0
7937,ツツミ,0
