Ticker,銘柄名,終値,陽線陰線,出来高,出来高前日差,出来高発行株式割合,出来高前日比,三平,空,25SMA越,75SMA越,足1,足2,直近高値越,75SMAと直近高値越,直近高値,75反発,パーフェクトオーダー,パーフェクトオーダーRCI,パーフェクトオーダー乖離率25,パーフェクトオーダー乖離率75,RCI,DR25,DR75,ブレークアウト日数
1301,極洋,5090.0,↑,16400.0,-19100.0,0.1,0.5,0,0,32,28,コマ・陽の極線,毛抜き底(安値圏買い),False,False,5180.0,False,True,False,True,True,48.33333333333333,1.9590561275589957,5.64549605645496,0.0
130A,Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,500.0,↑,102700.0,52300.0,1.6,2.0,0,0,1,0,コマ・陽の極線,なし,False,False,513.0,False,False,False,False,False,66.25,2.4842174305157014,-3.280718043949248,5.0
1332,ニッスイ,1367.5,↑,845900.0,-427100.0,0.3,0.7,2,0,13,17,陽の大引坊主,なし,True,False,1303.5,False,True,False,False,False,83.33333333333334,13.042687564064408,16.625825122382498,115.0
1333,マルハニチロ,1442.0,↑,295900.0,-106800.0,0.6,0.7,2,0,20,0,陽の大引坊主,なし,True,False,1404.5,False,False,False,False,False,15.000000000000002,5.773791894214867,-35.562672274467175,40.0
135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,2447.0,↓,96300.0,56800.0,0.9,2.4,0,0,0,0,陰の寄付坊主,陰たすき(上昇中買い),False,False,3350.0,False,False,False,False,False,-91.66666666666667,-16.19977808523171,-22.307265715289624,0.0
1375,ユキグニファクトリー,1072.0,↑,33000.0,-5900.0,0.1,0.8,0,0,5,16,コマ・陽の極線,毛抜き底(安値圏買い),False,False,1074.0,False,False,False,False,False,44.166666666666664,1.1549784856948753,2.5444805815955527,5.0
1376,カネコ種苗,1513.0,↑,9500.0,-10000.0,0.1,0.5,0,0,0,0,コマ・陽の極線,毛抜き天井(高値圏売り),False,False,1560.0,False,False,False,False,False,40.0,-1.7251682298838593,-5.687428314965342,0.0
1377,サカタのタネ,4175.0,↑,71400.0,-32800.0,0.2,0.7,5,1,1,2,コマ・陽の極線,なし,True,False,4085.0,False,True,False,True,True,57.91666666666666,0.6606230108978598,2.1548349210491957,15.0
1379,ホクト,2035.0,↑,71300.0,3700.0,0.2,1.1,2,0,1,56,陽の大引坊主,なし,False,False,2039.0,False,True,True,True,True,-6.25,1.1713001630672526,2.9087525537552836,10.0
137A,Ｃｏｃｏｌｉｖｅ,758.0,→,11100.0,800.0,0.4,1.1,0,0,0,0,なし,なし,False,False,820.0,False,False,False,False,False,-73.75,-13.726382881857502,-27.220821118123744,0.0
