Ticker,銘柄名,陽線陰線,出来高,出来高前日差,出来高発行株式割合,出来高前日比,三平,空,25SMA越,75SMA越,足1,足2,直近高値越,75SMAと直近高値越,直近高値,75反発,パーフェクトオーダー
2114,フジ日本,↑,2900,-2000.0,0.0,0.6,0,0,1,1,コマ・陽の極線,毛抜き天井(高値圏売り),True,True,1050.0,False,True
7896,セブン工業,↑,4400,-2200.0,0.1,0.7,0,1,1,1,陽の丸坊主,陽たすき(下落中売り),True,True,506.0,False,True
5025,マーキュリー,↓,6000,-13900.0,0.2,0.3,0,0,1,1,コマ・陰の極線,なし,True,True,638.0,False,True
7083,ＡＨＣグループ,↑,8700,6900.0,0.4,4.8,2,0,1,1,コマ・陽の極線,なし,True,True,977.0,False,True
3416,ピクスタ,↑,252700,251000.0,11.0,148.6,0,0,1,1,陽の寄付坊主,陽の陽つつみ,True,True,929.0,False,True
9257,ＹＣＰホールディングス（グローバル）リミテッド　ＪＤＲ,↑,89200,87700.0,0.4,59.5,2,1,1,1,陽の寄付坊主,なし,True,True,607.0,False,True
7073,ジェイック,→,2200,300.0,0.2,1.2,0,0,1,1,なし,なし,True,True,2032.0,False,True
7590,タカショー,↑,151600,-1498100.0,0.9,0.1,0,0,1,1,陽の寄付坊主,陽たすき(下落中売り),True,True,419.0,False,True
5541,大平洋金属,↑,299900,47700.0,1.5,1.2,0,0,1,1,コマ・陽の極線,陽たすき(下落中売り),True,True,1704.0,False,True
3639,ボルテージ,↑,9474700,9452800.0,145.3,432.6,2,0,1,1,陽の丸坊主,毛抜き底(安値圏買い),True,True,252.0,False,True
4151,協和キリン,↑,1057900,-208000.0,0.2,0.8,0,0,1,1,コマ・陽の極線,陰の陽はらみ(安値圏で底),True,True,2229.0,False,True
3961,シルバーエッグ・テクノロジー,↑,1800,-200.0,0.1,0.9,3,0,1,1,陽の大引坊主,なし,True,True,639.0,False,True
9250,ＧＲＣＳ,↑,45200,42600.0,3.3,17.4,0,0,1,1,コマ・陽の極線,なし,True,True,1310.0,False,True
2196,エスクリ,↑,177600,42200.0,1.3,1.3,3,1,1,1,コマ・陽の極線,なし,True,True,197.0,False,True
2743,ピクセルカンパニーズ,↑,10083400,9689900.0,10.3,25.6,0,0,1,1,コマ・陽の極線,毛抜き底(安値圏買い),True,True,0.0,False,True
280A,ＴＭＨ,↑,29000,25500.0,0.8,8.3,0,0,1,1,陽の寄付坊主,陰の陽はらみ(安値圏で底),True,True,1346.0,False,True
8848,レオパレス２１,↑,19109900,17571400.0,5.8,12.4,0,1,1,1,陽の大引坊主,陽たすき(下落中売り),True,True,605.0,False,True
3861,王子ホールディングス,↑,7008400,3569200.0,0.7,2.0,0,0,1,1,コマ・陽の極線,陽たすき(下落中売り),True,True,665.0,False,True
7901,マツモト,↑,900,200.0,0.1,1.3,2,0,1,1,陽の大引坊主,毛抜き天井(高値圏売り),True,True,789.0,False,True
6870,日本フェンオール,↑,300,-900.0,0.0,0.2,2,0,2,2,陽の大引坊主,毛抜き底(安値圏買い),True,True,1710.0,False,True
173A,ハンモック,↑,34100,26000.0,0.8,4.2,0,0,3,3,コマ・陽の極線,陰の陽つつみ(下落から上昇),True,True,1618.0,False,True
4429,リックソフト,↑,8100,-8700.0,0.2,0.5,0,0,3,3,陽の寄付坊主,なし,True,True,800.0,False,True
7375,リファインバースグループ,↑,2400,600.0,0.1,1.3,0,0,9,9,陽の大引坊主,なし,True,True,811.0,False,True
9720,ホテル、ニューグランド,↑,1400,400.0,0.1,1.4,0,0,11,11,陽の寄付坊主,陰の陽つつみ(下落から上昇),True,True,5970.0,False,True
3807,フィスコ,↑,20092800,19408500.0,43.8,29.4,0,0,12,12,陽の寄付坊主,陽たすき(下落中売り),True,True,141.0,False,True
4361,川口化学工業,↑,44300,44200.0,3.6,443.0,0,0,19,19,陽の寄付坊主,毛抜き底(安値圏買い),True,True,1273.0,False,True
