Ticker,銘柄名,パーフェクトオーダー,75SMA越
6091,ウエスコホールディングス,True,25
6858,小野測器,True,33
3075,銚子丸,True,28
6322,タクミナ,True,25
8173,Ｊｏｓｈｉｎ,True,80
4196,ネオマーケティング,True,131
5831,しずおかフィナンシャルグループ,True,33
9644,タナベコンサルティンググループ,True,26
8117,中央自動車工業,True,32
3436,ＳＵＭＣＯ,True,131
9679,ホウライ,True,132
9274,ＫＰＰグループホールディングス,True,28
6736,サン電子,True,0
9082,大和自動車交通,True,26
7731,ニコン,True,27
8601,大和証券グループ本社,True,33
8714,池田泉州ホールディングス,True,79
2503,キリンホールディングス,True,33
2999,ホームポジション,True,79
5660,神鋼鋼線工業,True,140
9249,日本エコシステム,True,27
3393,スターティアホールディングス,True,27
428A,サイプレス・ホールディングス,True,80
2685,アンドエスティＨＤ,True,78
2108,日本甜菜製糖,True,33
8354,ふくおかフィナンシャルグループ,True,33
6518,三相電機,True,135
2669,カネ美食品,True,75
3864,三菱製紙,True,137
6998,日本タングステン,True,0
3271,ＴＨＥグローバル社,True,76
2597,ユニカフェ,True,80
4095,日本パーカライジング,True,33
3480,ジェイ・エス・ビー,True,80
8334,群馬銀行,True,33
6250,やまびこ,True,0
8616,東海東京フィナンシャル・ホールディングス,True,25
7570,橋本総業ホールディングス,True,26
8045,横浜丸魚,True,26
8118,キング,True,28
9034,南総通運,True,25
5355,日本坩堝,True,28
6951,日本電子,True,26
8158,ソーダニッカ,True,33
9301,三菱倉庫,True,27
5830,いよぎんホールディングス,True,26
2404,鉄人化ホールディングス,True,132
7878,光・彩,True,26
4243,ニックス,True,33
5609,日本鋳造,True,25
5186,ニッタ,True,80
9450,ファイバーゲート,True,32
5997,協立エアテック,True,32
4691,ワシントンホテル,True,29
4769,ＩＣ,True,0
7762,シチズン時計,True,250
8304,あおぞら銀行,True,30
2579,コカ・コーラ　ボトラーズジャパンホールディングス,True,29
2801,キッコーマン,True,30
1848,富士ピー・エス,True,30
7089,フォースタートアップス,True,98
9502,中部電力,True,29
2226,湖池屋,True,30
9619,イチネンホールディングス,True,29
9678,カナモト,True,112
4021,日産化学,True,114
3561,力の源ホールディングス,True,31
5391,エーアンドエーマテリアル,True,29
6870,日本フェンオール,True,237
5889,Ｊａｐａｎ　Ｅｙｅｗｅａｒ　Ｈｏｌｄｉｎｇｓ,True,29
6752,パナソニック　ホールディングス,True,210
3099,三越伊勢丹ホールディングス,True,114
2004,昭和産業,True,30
6806,ヒロセ電機,True,111
1975,朝日工業社,True,26
8399,琉球銀行,True,287
7189,西日本フィナンシャルホールディングス,True,29
7208,カネミツ,True,26
9896,ＪＫホールディングス,True,26
8524,北洋銀行,True,29
5333,ＮＧＫ,True,258
3421,稲葉製作所,True,29
8368,百五銀行,True,259
8388,阿波銀行,True,261
319A,技術承継機構,True,107
8544,京葉銀行,True,293
5832,ちゅうぎんフィナンシャルグループ,True,29
6247,日阪製作所,True,0
7256,河西工業,True,26
7442,中山福,True,29
9401,ＴＢＳホールディングス,True,29
8387,四国銀行,True,252
7806,ＭＴＧ,True,106
6284,日精エー・エス・ビー機械,True,110
8630,ＳＯＭＰＯホールディングス,True,30
7997,くろがね工作所,True,30
8362,福井銀行,True,279
6327,北川精機,True,140
3435,サンコーテクノ,True,26
6445,ジャノメ,True,25
7481,尾家産業,True,26
7119,ハルメクホールディングス,True,127
1939,四電工,True,0
9251,ＡＢ＆Ｃｏｍｐａｎｙ,True,25
8008,ヨンドシーホールディングス,True,28
1905,テノックス,True,32
1770,藤田エンジニアリング,True,32
8844,コスモスイニシア,True,26
8360,山梨中央銀行,True,293
8358,スルガ銀行,True,80
6080,Ｍ＆Ａキャピタルパートナーズ,True,32
8361,大垣共立銀行,True,295
7213,レシップホールディングス,True,129
6668,アドテック　プラズマ　テクノロジー,True,130
3931,バリューゴルフ,True,131
7354,ダイレクトマーケティングミックス,True,28
8508,Ｊトラスト,True,145
7357,ジオコード,True,26
1375,ユキグニファクトリー,True,28
1518,三井松島ホールディングス,True,29
7716,ナカニシ,True,125
4027,テイカ,True,121
4043,トクヤマ,True,0
6134,ＦＵＪＩ,True,182
7823,アートネイチャー,True,31
6376,日機装,True,160
8522,名古屋銀行,True,31
9941,太洋物産,True,119
4193,ファブリカホールディングス,True,97
2175,エス・エム・エス,True,120
7678,あさくま,True,89
8343,秋田銀行,True,293
6238,フリュー,True,31
8095,アステナホールディングス,True,31
4212,積水樹脂,True,26
8381,山陰合同銀行,True,89
7435,ナ・デックス,True,26
3723,日本ファルコム,True,156
278A,Ｔｅｒｒａ　Ｄｒｏｎｅ,True,89
2676,高千穂交易,True,32
7384,プロクレアホールディングス,True,151
4419,Ｆｉｎａｔｅｘｔホールディングス,True,83
6336,石井表記,True,145
6703,沖電気工業,True,0
7327,第四北越フィナンシャルグループ,True,33
3445,ＲＳ　Ｔｅｃｈｎｏｌｏｇｉｅｓ,True,69
9147,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス,True,75
9691,両毛システムズ,True,47
6339,新東工業,True,47
5332,ＴＯＴＯ,True,53
8704,トレイダーズホールディングス,True,53
7134,アップガレージグループ,True,53
9436,沖縄セルラー電話,True,47
3976,シャノン,True,53
8309,三井住友トラストグループ,True,53
6316,丸山製作所,True,53
6473,ジェイテクト,True,54
3946,トーモク,True,54
8084,ＲＹＯＤＥＮ,True,54
4369,トリケミカル研究所,True,0
4255,ＴＨＥＣＯＯ,True,46
7976,三菱鉛筆,True,53
7600,日本エム・ディ・エム,True,46
