Ticker,銘柄名,終値,DR25,75SMA越
6993,大黒屋ホールディングス,66.0,-25.034075420263523,29
4424,Ａｍａｚｉａ,306.0,-17.001193446891616,0
5250,プライム・ストラテジー,1181.0,-14.422770354482475,23
4937,Ｗａｑｏｏ,1345.0,-14.39010107696616,0
3110,日東紡績,10160.0,-13.80188006922998,80
9245,リベロ,2256.0,-13.77069732597429,0
7014,名村造船所,3485.0,-13.63501189532117,0
9973,ＫＯＺＯホールディングス,26.0,-13.448735019973364,0
6016,ジャパンエンジンコーポレーション,11760.0,-11.976047904191615,0
6269,三井海洋開発,11800.0,-11.10307523090599,169
6834,精工技研,11520.0,-10.467249044051352,155
4570,免疫生物研究所,1664.0,-10.13566058930269,37
7711,助川電気工業,5890.0,-10.0268850054992,0
4875,メディシノバ・インク,208.0,-9.186168354872509,39
4980,デクセリアルズ,2669.5,-9.093695301272923,51
6085,アーキテクツ・スタジオ・ジャパン,306.0,-8.67852453145517,38
1960,サンテック,1302.0,-8.146852160171573,153
7018,内海造船,13750.0,-7.93314942282454,135
7003,三井Ｅ＆Ｓ,5452.0,-7.871791058899872,6
4075,ブレインズテクノロジー,830.0,-7.370206687201461,0
6772,東京コスモス電機,8300.0,-7.229400456028964,0
8227,しまむら,10110.0,-7.123985345616359,0
4579,ラクオリア創薬,1007.0,-6.593202730780641,28
6824,新コスモス電機,4095.0,-6.532456861133933,131
3904,カヤック,507.0,-6.40230394328754,30
3968,セグエグループ,692.0,-6.1262141190514905,100
6580,ライトアップ,2897.0,-6.059898569334737,38
135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,3210.0,-5.975395430579964,51
6637,寺崎電気産業,4265.0,-5.903896218505943,50
9439,エム・エイチ・グループ,218.0,-5.725653001210866,0
6762,ＴＤＫ,2222.0,-5.579399141630908,0
3195,ジェネレーションパス,513.0,-5.510940838429228,0
7721,東京計器,5260.0,-5.463695183321351,0
155A,情報戦略テクノロジー,1321.0,-5.301944141767509,159
6155,高松機械工業,474.0,-5.283350651426744,0
2395,新日本科学,1728.0,-5.229905229905225,28
7701,島津製作所,4141.0,-5.10303230301031,94
5344,ＭＡＲＵＷＡ,42520.0,-5.029929420173323,3
7172,ジャパンインベストメントアドバイザー,2069.0,-5.016802247644939,38
6533,Ｏｒｃｈｅｓｔｒａ　Ｈｏｌｄｉｎｇｓ,1159.0,-4.937664041994754,34
6701,日本電気,5355.0,-4.910895027310379,134
6803,ティアック,93.0,-4.907975460122697,0
4446,Ｌｉｎｋ－Ｕグループ,1017.0,-4.903500897666073,87
3302,帝国繊維,3290.0,-4.880305308199381,0
6226,守谷輸送機工業,4890.0,-4.878618113912235,0
4261,アジアクエスト,4375.0,-4.746353146091879,30
4403,日油,3032.0,-4.6354949707175646,27
5582,グリッド,2682.0,-4.597259572288378,7
3034,クオールホールディングス,2180.0,-4.550071806368003,33
2342,トランスジェニックグループ,280.0,-4.358518923350181,24
1811,錢高組,7560.0,-4.3377030925747855,165
7236,ティラド,8240.0,-4.337327017739393,169
6357,三精テクノロジーズ,2446.0,-4.320070097479309,159
5821,平河ヒューテック,2847.0,-4.308954019897817,117
6361,荏原製作所,3657.0,-4.2118497564042165,0
6907,ジオマテック,1124.0,-4.180590602196001,0
6966,三井ハイテック,750.0,-4.1214972386991215,0
9259,タカヨシホールディングス,765.0,-4.087261785356071,58
7545,西松屋チェーン,2087.0,-4.038917805447763,0
8058,三菱商事,3524.0,-4.010634009217588,0
8789,フィンテック　グローバル,139.0,-4.0055248618784605,34
4055,ティアンドエスグループ,1407.0,-4.003602423448506,59
7624,ＮａＩＴＯ,134.0,-3.928878692285626,0
1435,ｒｏｂｏｔ　ｈｏｍｅ,186.0,-3.9057656540607577,0
5189,櫻護謨,2201.0,-3.8814261009310576,0
1921,巴コーポレーション,1990.0,-3.864734299516908,250
1332,ニッスイ,1156.0,-3.8349554945511946,125
6278,ユニオンツール,8390.0,-3.79322997890101,26
6229,オーケーエム,1734.0,-3.790669803364549,110
3192,白鳩,275.0,-3.7519249615007793,0
157A,グリーンモンスター,801.0,-3.633301251203085,35
5802,住友電気工業,6234.0,-3.623174962432513,157
8308,りそなホールディングス,1499.5,-3.4536487373965064,0
6918,アバールデータ,2615.0,-3.442826337399927,30
2282,日本ハム,6538.0,-3.3983451536643026,100
3634,ソケッツ,695.0,-3.327213041784894,0
5805,ＳＷＣＣ,10410.0,-3.295927467300826,32
6190,フェニックスバイオ,478.0,-3.285853026869539,0
6662,ユビテック,254.0,-3.171698688624578,0
5962,浅香工業,1780.0,-3.1028851388132823,0
6674,ジーエス・ユアサ　コーポレーション,3756.0,-3.0359355638166026,0
4499,Ｓｐｅｅｅ,2400.0,-3.0303030303030303,0
5258,トランザクション・メディア・ネットワークス,436.0,-2.95584045584045,0
7254,ユニバンス,808.0,-2.8846153846153846,143
6599,エブレン,2540.0,-2.8784680798996742,0
6005,三浦工業,2924.0,-2.861015507687398,0
4235,ウルトラファブリックス・ホールディングス,760.0,-2.85801932614142,0
7564,ワークマン,6490.0,-2.832674571805004,37
8276,平和堂,2871.0,-2.8150134048257325,0
9446,サカイホールディングス,659.0,-2.813827277017467,33
3569,セーレン,3080.0,-2.802322645796522,0
8138,三京化成,4205.0,-2.7115820646892748,0
6770,アルプスアルパイン,1969.5,-2.667681420127701,5
6273,ＳＭＣ,53500.0,-2.6125325838442333,57
9533,東邦瓦斯,4614.0,-2.5924674885999024,45
3103,ユニチカ,275.0,-2.5651927437641757,33
1893,五洋建設,1554.5,-2.558734297821123,179
9503,関西電力,2454.5,-2.5489339738754047,123
7733,オリンパス,1982.0,-2.538330661578854,80
1798,守谷商会,6290.0,-2.528977871443622,174
6814,古野電気,7830.0,-2.5246489393486726,159
2385,総医研ホールディングス,239.0,-2.4808225885425217,156
9072,ニッコンホールディングス,3428.0,-2.446242985122199,0
6736,サン電子,8710.0,-2.4286418425415524,0
4307,野村総合研究所,6027.0,-2.418252822050523,35
9605,東映,5500.0,-2.41305890702626,0
3774,インターネットイニシアティブ,2769.5,-2.403354829615528,35
9627,アインホールディングス,6649.0,-2.3962749404013923,0
7068,フィードフォースグループ,686.0,-2.384882463429904,63
4418,ＪＤＳＣ,1194.0,-2.3712183156173343,0
6430,ダイコク電機,2850.0,-2.357133068384274,98
5715,古河機械金属,3780.0,-2.2902341932482013,123
6664,オプトエレクトロニクス,317.0,-2.269083734122584,20
6787,メイコー,10830.0,-2.182159760106944,33
4412,サイエンスアーツ,1565.0,-2.180163512263426,48
5706,三井金属鉱業,17325.0,-2.1230678839374453,156
6022,赤阪鐵工所,4375.0,-2.1209002639939185,142
9353,櫻島埠頭,2437.0,-2.1170485163924884,1
6018,阪神内燃機工業,3770.0,-2.083008674874028,75
6804,ホシデン,2458.0,-2.067031093119994,5
6432,竹内製作所,6740.0,-2.0519676800558018,57
7839,ＳＨＯＥＩ,1792.0,-2.003674862192673,6
6094,フリークアウト・ホールディングス,516.0,-1.99057893937092,0
3850,エヌ・ティ・ティ・データ・イントラマート,3830.0,-1.9808568357475584,0
9051,センコン物流,1441.0,-1.948776571133073,29
7012,川崎重工業,10575.0,-1.938783836915156,18
8233,高島屋,1624.0,-1.9359201961281565,0
4234,サンエー化研,802.0,-1.9320127170457269,36
3939,カナミックネットワーク,531.0,-1.9064508978053736,57
1381,アクシーズ,4030.0,-1.8891810302853336,88
5803,フジクラ,17145.0,-1.8794281593736848,5
7389,あいちフィナンシャルグループ,4540.0,-1.864360983517968,1
5288,アジアパイルホールディングス,1419.0,-1.8563603164942124,150
7242,カヤバ,4435.0,-1.841441281926427,125
8070,東京産業,1003.0,-1.812984572010336,149
5909,コロナ,942.0,-1.809539693128754,0
6472,ＮＴＮ,359.8999938964844,-1.808321706483081,124
6809,ＴＯＡ,1598.0,-1.79932156727791,161
6961,エンプラス,9260.0,-1.7944258261570516,112
6496,中北製作所,5680.0,-1.7844791810762175,50
7762,シチズン時計,1269.0,-1.780185758513932,116
6927,ヘリオス　テクノ　ホールディング,1035.0,-1.7765630338230296,47
6262,ＰＥＧＡＳＵＳ,762.0,-1.7686794204094296,133
4072,電算システムホールディングス,3640.0,-1.738473167044598,4
2876,デルソーレ,443.0,-1.7302573203194345,26
4120,スガイ化学工業,2186.0,-1.7139362984011606,0
2903,シノブフーズ,1654.0,-1.6904020351394438,35
4286,ＣＬホールディングス,1108.0,-1.6858917480035491,95
3641,パピレス,966.0,-1.6613730759833911,69
4617,中国塗料,4420.0,-1.6597695011792006,157
7269,スズキ,2313.0,-1.647290942025895,98
7743,シード,564.0,-1.6393442622950782,122
4552,ＪＣＲファーマ,715.0,-1.6235553109521128,26
4365,松本油脂製薬,19520.0,-1.614886796637172,0
8174,日本瓦斯,2941.5,-1.6102273183393276,41
1384,ホクリヨウ,3020.0,-1.60174119303001,130
8697,日本取引所グループ,1692.5,-1.596548756947838,0
7747,朝日インテック,2937.5,-1.5919491326691273,29
6334,明治機械,342.0,-1.5883977900552435,0
3173,Ｃｏｍｉｎｉｘ,874.0,-1.585442752905148,0
4812,電通総研,7630.0,-1.5788658995923794,57
5162,朝日ラバー,665.0,-1.5164978378058185,1
2053,中部飼料,1730.0,-1.5098034750529443,10
3386,コスモ・バイオ,1342.0,-1.5089243776420815,30
2408,ＫＧ情報,689.0,-1.4982558472007803,0
8066,三谷商事,2260.0,-1.494150670362824,0
407A,ＵＮＩＣＯＮホールディングス,1146.0,-1.4922294044835562,0
4476,ＡＩ　ＣＲＯＳＳ,1781.0,-1.48464465881936,0
7030,スプリックス,1367.0,-1.4817377266568614,0
9476,中央経済社ホールディングス,801.0,-1.4760147601476017,171
1379,ホクト,2010.0,-1.4705882352941175,32
4377,ワンキャリア,2604.0,-1.46963115436425,2
6981,村田製作所,3200.0,-1.4681249384175732,116
3242,アーバネットコーポレーション,593.0,-1.436074729073863,121
9324,安田倉庫,2200.0,-1.417791400046597,159
6479,ミネベアミツミ,3130.0,-1.4123546383439842,120
7937,ツツミ,2527.0,-1.393831553973895,49
7472,鳥羽洋行,3995.0,-1.392111368909515,0
7134,アップガレージグループ,1148.0,-1.3813483609373864,1
9012,秩父鉄道,2042.0,-1.3698100813385172,0
5101,横浜ゴム,6137.0,-1.3635837630025869,155
6777,ｓａｎｔｅｃ　Ｈｏｌｄｉｎｇｓ,9010.0,-1.3575651412305672,23
9816,ストライダーズ,326.0,-1.3556039699830604,26
1605,ＩＮＰＥＸ,3151.0,-1.347509736884947,148
4398,ブロードバンドセキュリティ,1449.0,-1.3211658948515452,49
194A,ＷＯＬＶＥＳ　ＨＡＮＤ,1840.0,-1.319317816153594,93
4324,電通グループ,3358.0,-1.3154027906758106,38
6326,クボタ,2217.5,-1.312861593235425,107
319A,技術承継機構,9640.0,-1.3063598017936888,84
4746,東計電算,4035.0,-1.3013061983268877,1
9470,学研ホールディングス,1115.0,-1.2785097039240734,101
7201,日産自動車,381.5,-1.2067530526350667,26
5992,中央発條,3445.0,-1.204473759678807,117
