Ticker,銘柄名,終値,RCI,75SMA越
9887,松屋フーズホールディングス,6590.0,-100.0,54
9722,藤田観光,10540.0,-100.0,0
7567,栄電子,491.0,-98.33333333333334,55
9601,松竹,12420.0,-98.33333333333334,0
3542,ベガコーポレーション,2105.0,-98.33333333333334,105
4680,ラウンドワン,1363.0,-98.33333333333334,0
299A,ｄｅｌｙ,1735.0,-98.33333333333334,0
4375,セーフィー,917.0,-97.08333333333334,0
7531,清和中央ホールディングス,1555.0,-97.08333333333334,0
3758,アエリア,325.0,-96.66666666666666,83
2130,メンバーズ,1216.0,-96.66666666666666,0
277A,グロービング,2871.0,-96.66666666666666,84
9312,ケイヒン,2647.0,-95.41666666666666,91
3495,香陵住販,2379.0,-95.0,98
7616,コロワイド,1915.5,-95.0,1
9424,日本通信,147.0,-95.0,0
6706,電気興業,2067.0,-95.0,0
4343,イオンファンタジー,3670.0,-93.75,59
4889,レナサイエンス,1958.0,-93.75,0
3106,倉敷紡績,7240.0,-93.33333333333331,0
9706,日本空港ビルデング,4978.0,-93.33333333333331,83
7157,ライフネット生命保険,2108.0,-93.33333333333331,0
4828,ビジネスエンジニアリング,5900.0,-93.33333333333331,101
2488,ＪＴＰ,1529.0,-93.33333333333331,69
4393,バンク・オブ・イノベーション,9660.0,-93.33333333333331,0
8139,ナガホリ,1670.0,-93.33333333333331,88
6532,ベイカレント,8279.0,-92.91666666666669,44
6930,日本アンテナ,870.0,-92.08333333333334,82
4431,スマレジ,3205.0,-92.08333333333334,0
3991,ウォンテッドリー,1321.0,-92.08333333333334,0
2586,フルッタフルッタ,259.0,-91.66666666666669,0
3661,エムアップホールディングス,2239.0,-91.66666666666669,44
4479,マクアケ,1163.0,-91.66666666666669,101
3989,シェアリングテクノロジー,1023.0,-91.66666666666669,0
5885,ジーデップ・アドバンス,3020.0,-91.66666666666669,80
153A,カウリス,2130.0,-91.66666666666669,87
1783,ｆａｎｔａｓｉｓｔａ,62.0,-91.66666666666669,58
215A,タイミー,2148.0,-91.25,94
2698,キャンドゥ,3595.0,-91.25,0
4496,コマースＯｎｅホールディングス,839.0,-90.83333333333334,26
3676,デジタルハーツホールディングス,956.0,-90.41666666666666,28
4170,Ｋａｉｚｅｎ　Ｐｌａｔｆｏｒｍ,214.0,-90.41666666666666,87
3077,ホリイフードサービス,419.0,-89.99999999999999,31
5618,ナイル,439.0,-89.99999999999999,0
4255,ＴＨＥＣＯＯ,1193.0,-89.99999999999999,37
6573,アジャイルメディア・ネットワーク,120.0,-89.99999999999999,64
4776,サイボウズ,3605.0,-89.99999999999999,0
6594,ニデック,2539.5,-89.99999999999999,0
8542,トマト銀行,1394.0,-89.58333333333333,69
6087,アビスト,3380.0,-88.75,91
3660,アイスタイル,583.0,-88.75,86
6867,リーダー電子,513.0,-88.75,0
4771,エフアンドエム,2674.0,-88.33333333333333,160
6637,寺崎電気産業,3785.0,-88.33333333333333,80
6707,サンケン電気,7882.0,-88.33333333333333,0
4685,菱友システムズ,7040.0,-88.33333333333333,0
3987,エコモット,504.0,-88.33333333333333,0
