Ticker,銘柄名,出来高前日比,出来高発行株式割合,75SMA越
7681,レオクラン,66.0,0.1,0
5216,倉元製作所,47.1,11.8,1
1966,高田工業所,28.2,0.2,37
4662,フォーカスシステムズ,19.4,7.7,22
7932,ニッピ,18.6,2.6,145
4516,日本新薬,18.2,6.7,19
3826,システムインテグレータ,17.5,0.2,0
5596,アウトルックコンサルティング,16.5,2.2,17
3979,うるる,14.3,0.1,0
1787,ナカボーテック,14.0,0.1,6
3020,アプライド,13.9,0.9,146
6312,フロイント産業,13.0,0.0,1
4658,日本空調サービス,10.7,1.7,0
7805,プリントネット,10.2,0.3,0
220A,Ｆａｂｅｒ　Ｃｏｍｐａｎｙ,10.0,0.1,0
150A,ＪＳＨ,9.5,0.1,0
1438,岐阜造園,9.0,0.0,0
2993,長栄,9.0,0.0,94
7812,クレステック,8.0,0.0,16
6391,加地テック,8.0,0.0,0
2411,ゲンダイエージェンシー,8.0,0.2,37
175A,Ｗｉｌｌ　Ｓｍａｒｔ,7.7,0.9,0
9885,シャルレ,7.6,0.3,0
9256,サクシード,7.5,0.1,0
9929,平和紙業,7.5,0.0,20
3030,ハブ,7.2,0.7,11
4308,Ｊストリーム,7.0,0.4,0
2923,サトウ食品,6.7,0.1,19
281A,インフォメティス,6.4,3.9,0
3538,ウイルプラスホールディングス,6.2,2.0,20
6797,名古屋電機工業,6.2,0.0,0
3551,ダイニック,6.2,0.8,1
6433,ヒーハイスト,6.2,65.7,4
5575,Ｇｌｏｂｅｅ,6.1,0.1,0
7815,東京ボード工業,6.1,0.2,0
9612,ラックランド,6.0,2.4,15
5945,天龍製鋸,6.0,0.0,125
7500,西川計測,6.0,0.0,52
9355,リンコーコーポレーション,6.0,0.1,23
6038,イード,5.8,0.1,8
3375,ＺＯＡ,5.7,0.1,1
3069,ＪＦＬＡホールディングス,5.6,1.5,0
4395,アクリート,5.3,2.9,0
3958,笹徳印刷,5.0,0.0,0
5969,ロブテックス,5.0,0.0,0
9225,ブリッジコンサルティンググループ,4.9,0.2,0
8617,光世証券,4.8,0.1,0
3779,ジェイ・エスコムホールディングス,4.8,1.1,0
4381,ビープラッツ,4.7,0.9,73
7769,リズム,4.7,0.6,66
3440,日創グループ,4.7,0.3,0
4167,ココペリ,4.6,0.4,0
5928,アルメタックス,4.6,0.1,0
3131,シンデン・ハイテックス,4.5,1.0,0
