Ticker,銘柄名,出来高発行株式割合,出来高前日比,75SMA越
2673,夢みつけ隊,161.6,0.7,92
4833,Ｄｅｆ　ｃｏｎｓｕｌｔｉｎｇ,126.4,5.8,8
4596,窪田製薬ホールディングス,121.4,1.8,42
3266,ファンドクリエーショングループ,90.6,7.9,13
9610,ウィルソン・ラーニング　ワールドワイド,62.5,2.1,13
3803,イメージ情報開発,58.9,2.9,81
8783,ＧＦＡ,58.3,4.4,10
2156,セーラー広告,40.8,7.4,5
8746,ｕｎｂａｎｋｅｄ,36.1,0.8,56
7615,京都きもの友禅ホールディングス,35.5,0.8,18
9425,ＲｅＹｕｕ　Ｊａｐａｎ,35.4,7.7,1
3905,データセクション,32.5,2.1,3
8105,堀田丸正,30.8,0.5,81
6177,ＡｐｐＢａｎｋ,30.7,0.7,13
5726,大阪チタニウムテクノロジーズ,27.2,0.7,30
3083,スターシーズ,26.1,3.1,0
3814,アルファクス・フード・システム,25.2,0.8,0
5721,エス・サイエンス,24.1,0.3,13
3747,インタートレード,23.2,1.2,13
7138,ＴＯＲＩＣＯ,22.2,0.2,0
3070,ジェリービーンズグループ,22.1,1.1,0
2345,クシム,21.4,0.0,1
5247,ＢＴＭ,19.6,0.5,20
1844,大盛工業,17.8,1.8,100
5597,ブルーイノベーション,17.0,0.7,69
6343,フリージア・マクロス,16.4,0.0,1
3853,アステリア,15.5,1.0,62
9854,愛眼,15.1,133.0,42
3656,ＫＬａｂ,13.6,1.2,16
9213,セイファート,12.9,0.3,29
2321,ソフトフロントホールディングス,12.2,1.6,59
3779,ジェイ・エスコムホールディングス,10.6,1.0,79
2334,イオレ,10.4,0.5,132
5612,日本鋳鉄管,10.3,1.8,46
5801,古河電気工業,10.1,0.7,75
1382,ホーブ,10.1,15.7,2
