コード,日付,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分,出来高,売買代金,VWAP,約定回数,時価総額,発行株式
1301,20230331,極洋,プライム（内国株式）,50,水産・農林業,1,食品 ,7,TOPIX Small 2,22400,76000000,3403.259,98,37200000000,10928283
1332,20230331,ニッスイ,プライム（内国株式）,50,水産・農林業,1,食品 ,4,TOPIX Mid400,1419300,779000000,549.17,676,171200000000,312430277
1333,20230331,マルハニチロ,プライム（内国株式）,50,水産・農林業,1,食品 ,4,TOPIX Mid400,92200,217000000,2353.609,275,118900000000,50578837
1375,20230331,雪国まいたけ,プライム（内国株式）,50,水産・農林業,1,食品 ,7,TOPIX Small 2,37600,38000000,1000.325,125,39900000000,39910700
1376,20230331,カネコ種苗,スタンダード（内国株式）,50,水産・農林業,1,食品 ,7,TOPIX Small 2,14300,23000000,1597.65,76,18700000000,11772626
1377,20230331,サカタのタネ,プライム（内国株式）,50,水産・農林業,1,食品 ,6,TOPIX Small 1,88500,348000000,3929.378,242,185600000000,47410750
1379,20230331,ホクト,プライム（内国株式）,50,水産・農林業,1,食品 ,6,TOPIX Small 1,67300,124000000,1837.737,251,61200000000,33359040
1380,20230331,秋川牧園,スタンダード（内国株式）,50,水産・農林業,1,食品 ,-,-,600,1000000,1044.833,2,4360000000,4179000
1381,20230331,アクシーズ,スタンダード（内国株式）,50,水産・農林業,1,食品 ,-,-,300,1000000,2989.333,3,16800000000,5617500
1382,20230331,ホーブ,スタンダード（内国株式）,50,水産・農林業,1,食品 ,-,-,1200,2000000,1783.167,10,1350000000,762000
1383,20230331,ベルグアース,スタンダード（内国株式）,50,水産・農林業,1,食品 ,-,-,2400,8000000,3352.708,17,5230000000,1560500
1384,20230331,ホクリヨウ,スタンダード（内国株式）,50,水産・農林業,1,食品 ,7,TOPIX Small 2,91400,68000000,740.065,334,6340000000,8459000
1400,20230331,ルーデン・ホールディングス,グロース（内国株式）,2050,建設業,3,建設・資材 ,-,-,23100,3000000,124.602,41,1630000000,13008600
1401,20230331,エムビーエス,グロース（内国株式）,2050,建設業,3,建設・資材 ,-,-,1000,0,0.0,4,3770000000,7732000
1407,20230331,ウエストホールディングス,スタンダード（内国株式）,2050,建設業,3,建設・資材 ,-,-,424100,1214000000,2862.529,1773,130500000000,46027488
1414,20230331,ショーボンドホールディングス,プライム（内国株式）,2050,建設業,3,建設・資材 ,4,TOPIX Mid400,66500,353000000,5303.714,187,300700000000,56745180
1417,20230331,ミライト・ワン,プライム（内国株式）,2050,建設業,3,建設・資材 ,4,TOPIX Mid400,256100,420000000,1639.735,780,169200000000,103325329
1418,20230331,インターライフホールディングス,スタンダード（内国株式）,2050,建設業,3,建設・資材 ,-,-,21300,4000000,166.789,31,3340000000,20010529
1419,20230331,タマホーム,プライム（内国株式）,2050,建設業,3,建設・資材 ,6,TOPIX Small 1,173100,620000000,3579.853,466,105900000000,29455800
1420,20230331,サンヨーホームズ,スタンダード（内国株式）,2050,建設業,3,建設・資材 ,7,TOPIX Small 2,9300,7000000,708.473,50,8940000000,12620000
1429,20230331,日本アクア,プライム（内国株式）,2050,建設業,3,建設・資材 ,7,TOPIX Small 2,63800,56000000,871.248,221,30200000000,34760000
1430,20230331,ファーストコーポレーション,プライム（内国株式）,2050,建設業,3,建設・資材 ,7,TOPIX Small 2,142600,125000000,879.099,355,11800000000,13363540
1431,20230331,Ｌｉｂ　Ｗｏｒｋ,グロース（内国株式）,2050,建設業,3,建設・資材 ,-,-,9600,8000000,797.323,32,18500000000,23292040
1433,20230331,ベステラ,プライム（内国株式）,2050,建設業,3,建設・資材 ,7,TOPIX Small 2,18500,16000000,882.135,89,7920000000,8990200
1434,20230331,ＪＥＳＣＯホールディングス,スタンダード（内国株式）,2050,建設業,3,建設・資材 ,-,-,4900,2000000,497.082,23,3390000000,6827500
1435,20230331,Ｒｏｂｏｔ　Ｈｏｍｅ,プライム（内国株式）,2050,建設業,3,建設・資材 ,7,TOPIX Small 2,232400,53000000,228.615,258,21000000000,91127000
1436,20230331,フィット,グロース（内国株式）,2050,建設業,3,建設・資材 ,-,-,547200,507000000,926.525,2886,3640000000,4284200
1438,20230331,岐阜造園,スタンダード（内国株式）,2050,建設業,3,建設・資材 ,-,-,100,0,0.0,1,3379999999,3204600
1439,20230331,安江工務店,スタンダード（内国株式）,2050,建設業,3,建設・資材 ,-,-,700,1000000,1000.0,3,1350000000,1347880
1443,20230331,技研ホールディングス,スタンダード（内国株式）,2050,建設業,3,建設・資材 ,-,-,30900,7000000,227.712,58,3750000000,16237977
1444,20230331,ニッソウ,グロース（内国株式）,2050,建設業,3,建設・資材 ,-,-,4400,9000000,2109.341,19,2300000000,1088700
1446,20230331,キャンディル,スタンダード（内国株式）,2050,建設業,3,建設・資材 ,7,TOPIX Small 2,7700,4000000,548.844,38,5920000000,10734200
1447,20230331,ＩＴｂｏｏｋホールディングス,グロース（内国株式）,2050,建設業,3,建設・資材 ,-,-,77700,29000000,375.853,113,9060000000,24152701
1450,20230331,田中建設工業,スタンダード（内国株式）,2050,建設業,3,建設・資材 ,-,-,1500,4000000,2586.4,13,11300000000,4349800
1451,20230331,ＫＨＣ,スタンダード（内国株式）,2050,建設業,3,建設・資材 ,-,-,3200,2000000,626.719,13,2500000000,3985350
1491,20230331,中外鉱業,スタンダード（内国株式）,3500,非鉄金属,7,鉄鋼・非鉄 ,-,-,290500,9000000,31.84,51,9270000000,289747982
1514,20230331,住石ホールディングス,スタンダード（内国株式）,1050,鉱業,2,エネルギー資源 ,7,TOPIX Small 2,1101500,374000000,339.386,846,20600000000,58892853
1515,20230331,日鉄鉱業,プライム（内国株式）,1050,鉱業,2,エネルギー資源 ,6,TOPIX Small 1,23600,81000000,3431.102,76,57600000000,16704638
1518,20230331,三井松島ホールディングス,プライム（内国株式）,1050,鉱業,2,エネルギー資源 ,6,TOPIX Small 1,387000,1218000000,3147.416,747,41200000000,13064400
1605,20230331,ＩＮＰＥＸ,プライム（内国株式）,1050,鉱業,2,エネルギー資源 ,4,TOPIX Mid400,5163400,7376000000,1428.474,3419,1974600000000,1386667167
1662,20230331,石油資源開発,プライム（内国株式）,1050,鉱業,2,エネルギー資源 ,6,TOPIX Small 1,212100,962000000,4535.184,489,245400000000,54300076
1663,20230331,Ｋ＆Ｏエナジーグループ,プライム（内国株式）,1050,鉱業,2,エネルギー資源 ,7,TOPIX Small 2,39500,84000000,2126.286,182,60300000000,28336061
1711,20230331,ＳＤＳホールディングス,スタンダード（内国株式）,2050,建設業,3,建設・資材 ,-,-,55400,19000000,344.285,148,2980000000,8732773
1712,20230331,ダイセキ環境ソリューション,プライム（内国株式）,2050,建設業,3,建設・資材 ,7,TOPIX Small 2,251000,203000000,808.308,743,13500000000,16827120
1716,20230331,第一カッター興業,プライム（内国株式）,2050,建設業,3,建設・資材 ,7,TOPIX Small 2,23100,27000000,1165.944,106,14000000000,12000000
1717,20230331,明豊ファシリティワークス,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他 ,7,TOPIX Small 2,18800,14000000,753.191,70,9600000000,12775900
1718,20230331,美樹工業,スタンダード（内国株式）,2050,建設業,3,建設・資材 ,-,-,400,2000000,3998.75,4,4630000000,1153263
1719,20230331,安藤・間,プライム（内国株式）,2050,建設業,3,建設・資材 ,6,TOPIX Small 1,243800,204000000,835.494,221,151200000000,181021197
1720,20230331,東急建設,プライム（内国株式）,2050,建設業,3,建設・資材 ,6,TOPIX Small 1,104100,70000000,668.369,138,71200000000,106761205
1721,20230331,コムシスホールディングス,プライム（内国株式）,2050,建設業,3,建設・資材 ,4,TOPIX Mid400,373700,913000000,2443.012,633,343900000000,141000000
1723,20230331,日本電技,スタンダード（内国株式）,2050,建設業,3,建設・資材 ,-,-,3200,11000000,3492.5,22,28700000000,8197500
1724,20230331,シンクレイヤ,スタンダード（内国株式）,2050,建設業,3,建設・資材 ,-,-,2500,2000000,636.68,17,3140000000,4943780
1726,20230331,ビーアールホールディングス,プライム（内国株式）,2050,建設業,3,建設・資材 ,7,TOPIX Small 2,50200,18000000,351.074,72,16100000000,45795000
1730,20230331,麻生フオームクリート,スタンダード（内国株式）,2050,建設業,3,建設・資材 ,-,-,1500,1000000,399.667,9,1370000000,3420000
1736,20230331,オーテック,スタンダード（内国株式）,2050,建設業,3,建設・資材 ,-,-,0,0,0.0,0,12200000000,5700000
1739,20230331,メルディアＤＣ,グロース（内国株式）,2050,建設業,3,建設・資材 ,-,-,1500,1000000,881.4,8,5690000000,6454400
1743,20230331,コーアツ工業,スタンダード（内国株式）,2050,建設業,3,建設・資材 ,-,-,900,1000000,1229.556,8,2800000000,2280000
1757,20230331,中小企業ホールディングス,スタンダード（内国株式）,2050,建設業,3,建設・資材 ,-,-,814900,27000000,33.155,59,8780000000,258251756
1758,20230331,太洋基礎工業,スタンダード（内国株式）,2050,建設業,3,建設・資材 ,-,-,12200,81000000,6650.492,89,5440000000,819600
1762,20230331,高松コンストラクショングループ,プライム（内国株式）,2050,建設業,3,建設・資材 ,6,TOPIX Small 1,33800,70000000,2059.065,148,71700000000,34818578
1764,20230331,工藤建設,スタンダード（内国株式）,2050,建設業,3,建設・資材 ,-,-,1400,4000000,2528.143,9,3400000000,1331220
1766,20230331,東建コーポレーション,プライム（内国株式）,2050,建設業,3,建設・資材 ,6,TOPIX Small 1,154300,1213000000,7864.2,231,106300000000,13472000
1768,20230331,ソネック,スタンダード（内国株式）,2050,建設業,3,建設・資材 ,7,TOPIX Small 2,2900,3000000,952.517,15,7159999999,7500000
1770,20230331,藤田エンジニアリング,スタンダード（内国株式）,2050,建設業,3,建設・資材 ,-,-,100,0,0.0,1,10500000000,11700000
