Ticker,銘柄名,陽線陰線,出来高,出来高前日差,出来高発行株式割合,出来高前日比,三平,空,25SMA越,75SMA越,足1,足2,直近高値越,75SMAと直近高値越,直近高値,75反発,パーフェクトオーダー
3437,特殊電極,→,100,0.0,0.0,1.0,0,3,0,0,なし,なし,False,False,2400.0,False,True
2449,プラップジャパン,↑,7700,-2700.0,0.2,0.7,3,2,2,2,コマ・陽の極線,なし,True,False,934.0,False,True
3333,あさひ,↑,115700,26300.0,0.4,1.3,2,2,0,0,コマ・陽の極線,なし,False,False,1514.0,False,True
2981,ランディックス,↑,3500,1000.0,0.1,1.4,3,2,1,1,陽の寄付坊主,なし,False,False,2961.0,False,True
2216,カンロ,↓,44300,19600.0,0.3,1.8,0,2,4,4,コマ・陰の極線,なし,True,False,3415.0,False,True
2411,ゲンダイエージェンシー,↑,22400,7600.0,0.2,1.5,3,2,2,2,コマ・陽の極線,なし,False,False,376.0,False,True
135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,↑,289200,156500.0,2.9,2.2,0,2,3,3,陽の大引坊主,陽たすき(下落中売り),True,False,2090.0,False,True
2498,オリエンタルコンサルタンツホールディングス,→,500,-2000.0,0.0,0.2,0,2,1,1,なし,なし,False,False,5100.0,False,True
194A,ＷＯＬＶＥＳ　ＨＡＮＤ,↑,8100,1900.0,0.1,1.3,3,2,0,0,コマ・陽の極線,なし,False,False,760.0,False,True
2469,ヒビノ,↓,14200,-2100.0,0.1,0.9,0,2,0,0,コマ・陰の極線,なし,False,False,2647.0,False,True
246A,アスア,↑,47100,27700.0,1.8,2.4,3,2,0,0,陽の寄付坊主,なし,False,False,810.0,False,True
1438,岐阜造園,↓,1100,500.0,0.0,1.8,0,1,0,0,陰の寄付坊主,なし,False,False,1880.0,False,True
3317,フライングガーデン,→,100,-300.0,0.0,0.2,0,1,0,0,なし,毛抜き天井(高値圏売り),False,False,2580.0,False,True
3087,ドトール・日レスホールディングス,↑,1502900,1377800.0,3.3,12.0,0,1,1,1,陽の寄付坊主,陽たすき(下落中売り),True,True,2489.0,False,True
2917,大森屋,↑,1500,0.0,0.0,1.0,0,1,4,4,陽の丸坊主,陽たすき(下落中売り),False,False,940.0,False,True
2683,魚喜,↑,3700,-1000.0,0.1,0.8,3,1,1,1,陽の大引坊主,なし,False,False,1049.0,False,True
1380,秋川牧園,→,600,600.0,0.0,0.0,0,1,0,0,なし,なし,False,False,1018.0,False,True
3439,三ツ知,↓,2600,2600.0,0.0,0.0,0,1,0,0,陰の大引坊主,なし,False,False,640.0,False,True
3347,トラスト,↑,2300,-18200.0,0.0,0.1,3,1,0,0,陽の寄付坊主,なし,False,False,281.0,False,True
2664,カワチ薬品,↓,29000,-38300.0,0.1,0.4,0,1,4,4,コマ・陰の極線,なし,True,False,2865.0,False,True
3116,トヨタ紡織,↑,217000,-116100.0,0.1,0.7,0,1,0,0,コマ・陽の極線,陽たすき(下落中売り),False,False,1887.0,False,True
148A,ハッチ・ワーク,↑,3300,-3000.0,0.2,0.5,3,1,0,0,陽の丸坊主,なし,False,False,1637.0,False,True
3341,日本調剤,↑,638500,553400.0,2.1,7.5,2,1,15,15,陽の丸坊主,なし,True,False,1646.0,False,True
1828,田辺工業,↑,7600,-5800.0,0.1,0.6,2,1,0,0,陽の寄付坊主,なし,False,False,2170.293034273035,False,True
3375,ＺＯＡ,↑,400,-1700.0,0.0,0.2,0,1,0,0,陽の丸坊主,なし,False,False,1425.0,False,True
2801,キッコーマン,↑,919500,-1535900.0,0.1,0.4,3,1,4,4,コマ・陽の極線,なし,True,False,1490.0,False,True
3045,カワサキ,↑,3400,2400.0,0.1,3.4,2,1,1,1,陽の丸坊主,なし,True,True,1357.0,False,True
3433,トーカロ,↓,72600,-5700.0,0.1,0.9,0,1,0,0,陰の寄付坊主,なし,False,False,1744.94091796875,False,True
2934,ジェイフロンティア,↑,47100,27800.0,0.9,2.4,0,1,1,1,陽の寄付坊主,陽たすき(下落中売り),False,False,2190.0,False,True
3139,ラクト・ジャパン,↑,240300,187900.0,2.4,4.6,0,1,1,1,陽の大引坊主,陽たすき(下落中売り),True,True,2988.0,False,True
2736,フェスタリアホールディングス,↑,1600,-3600.0,0.0,0.3,2,1,0,0,陽の大引坊主,なし,False,False,548.0,False,True
3300,アンビション　ＤＸ　ホールディングス,↑,42900,15800.0,0.6,1.6,0,1,1,1,コマ・陽の極線,陽たすき(下落中売り),False,False,2220.0,False,True
3153,八洲電機,↓,8500,-13000.0,0.0,0.4,0,1,0,0,コマ・陰の極線,なし,False,False,1792.0,False,True
2806,ユタカフーズ,↓,1400,900.0,0.0,2.8,0,1,0,0,コマ・陰の極線,なし,False,False,2075.0,False,True
1841,サンユー建設,→,200,-1300.0,0.0,0.1,0,1,2,2,なし,なし,True,False,1050.0,False,True
3277,サンセイランディック,↑,14800,-7700.0,0.2,0.7,3,1,2,2,陽の寄付坊主,なし,False,False,1040.0,False,True
2904,一正蒲鉾,↑,8300,-4700.0,0.0,0.6,3,1,3,3,コマ・陽の極線,なし,True,False,755.0,False,True
