Ticker,銘柄名,陽線陰線,出来高,出来高前日差,出来高発行株式割合,出来高前日比,三平,空,25SMA越,75SMA越,足1,足2,直近高値越,75SMAと直近高値越,直近高値,75反発,パーフェクトオーダー
6327,北川精機,↑,47400,-90900.0,0.6,0.3,5,0,12,12,陽の寄付坊主,なし,True,False,710.0,False,True
9418,Ｕ－ＮＥＸＴ　ＨＯＬＤＩＮＧＳ,↑,198000,-301000.0,0.3,0.4,5,0,4,4,コマ・陽の極線,なし,True,False,4425.0,False,True
2791,大黒天物産,↑,97300,-41700.0,0.7,0.7,5,0,7,7,コマ・陽の極線,なし,True,False,8830.0,False,True
4890,坪田ラボ,↑,129700,-461300.0,0.5,0.2,5,0,13,13,コマ・陽の極線,なし,True,False,506.0,False,True
9682,ＤＴＳ,↑,34800,-70100.0,0.1,0.3,5,0,2,2,コマ・陽の極線,なし,False,False,4300.0,False,True
8803,平和不動産,↑,44900,-95600.0,0.1,0.3,5,0,5,5,陽の大引坊主,なし,True,False,3980.0,False,True
4503,アステラス製薬,↑,3802700,-2480200.0,0.2,0.6,5,0,18,18,コマ・陽の極線,なし,True,False,1697.0,False,True
7421,カッパ・クリエイト,↑,67600,-49900.0,0.1,0.6,5,0,17,17,コマ・陽の極線,なし,True,False,0.0,False,True
3712,情報企画,↑,700,-1000.0,0.0,0.4,4,0,14,14,陽の丸坊主,なし,False,False,4475.0,False,True
9399,ビート・ホールディングス・リミテッド,↑,76122,-44120.0,2.4,0.6,4,1,13,13,コマ・陽の極線,なし,True,False,0.0,False,True
7505,扶桑電通,↑,1600,-3600.0,0.0,0.3,4,0,1,1,陽の寄付坊主,なし,False,False,1856.0,False,True
2055,日和産業,↑,2300,-700.0,0.0,0.8,4,0,1,1,陽の寄付坊主,毛抜き底(安値圏買い),False,False,335.0,False,True
1867,植木組,↑,3500,-2300.0,0.1,0.6,4,0,1,1,陽の大引坊主,なし,False,False,1666.0,False,True
4967,小林製薬,↑,483900,-501300.0,0.6,0.5,4,0,15,15,コマ・陽の極線,なし,True,False,5630.0,False,True
3001,片倉工業,↑,7300,-18100.0,0.0,0.3,4,0,1,1,陽の寄付坊主,なし,False,False,2099.0,False,True
9941,太洋物産,↑,1900,-2700.0,0.1,0.4,4,1,11,11,陽の丸坊主,なし,True,False,0.0,False,True
6537,ＷＡＳＨハウス,↑,1622700,-822000.0,23.4,0.7,4,2,6,6,陽の丸坊主,なし,True,False,367.0,False,True
6363,酉島製作所,↑,20700,-67500.0,0.1,0.2,3,0,0,0,コマ・陽の極線,なし,False,False,3260.0,False,True
4471,三洋化成工業,↑,12400,-16500.0,0.1,0.4,3,0,1,1,コマ・陽の極線,なし,False,False,4105.0,False,True
7358,ポピンズ,↑,16600,5900.0,0.2,1.6,3,1,2,2,陽の寄付坊主,なし,False,False,1304.0,False,True
4112,保土谷化学工業,↑,12900,-16700.0,0.2,0.4,3,1,0,0,コマ・陽の極線,なし,False,False,5810.0,False,True
2186,ソーバル,↑,900,-1600.0,0.0,0.4,3,1,0,0,陽の丸坊主,なし,False,False,1020.0,False,True
8876,リログループ,↑,157900,-501600.0,0.1,0.2,3,0,5,5,コマ・陽の極線,なし,True,False,1772.0,False,True
6044,三機サービス,↑,7100,-1000.0,0.1,0.9,3,0,2,2,陽の大引坊主,なし,False,False,1194.0,False,True
7554,幸楽苑ホールディングス,↑,20600,-2900.0,0.1,0.9,3,0,2,2,コマ・陽の極線,なし,False,False,1370.0,False,True
4563,アンジェス,↑,4097000,1305100.0,1.7,1.5,3,0,11,11,コマ・陽の極線,なし,True,False,45.0,False,True
4404,ミヨシ油脂,↑,57100,19500.0,0.6,1.5,3,0,1,1,コマ・陽の極線,なし,True,True,1538.0,False,True
7611,ハイデイ日高,↑,124800,-17900.0,0.3,0.9,3,0,0,0,コマ・陽の極線,毛抜き天井(高値圏売り),False,False,2799.0,False,True
7739,キヤノン電子,↑,57800,-74500.0,0.1,0.4,3,0,1,1,コマ・陽の極線,なし,False,False,2318.0,False,True
7374,コンフィデンス・インターワークス,↑,6300,-11100.0,0.1,0.4,3,0,0,0,陽の寄付坊主,なし,False,False,1867.0,False,True
6568,神戸天然物化学,↑,1900,-3100.0,0.0,0.4,3,0,0,0,コマ・陽の極線,毛抜き底(安値圏買い),False,False,1321.0,False,True
4011,ヘッドウォータース,↑,4900,-16700.0,0.3,0.2,3,0,0,0,コマ・陽の極線,なし,False,False,11890.0,False,True
7371,Ｚｅｎｋｅｎ,↑,5300,-3800.0,0.0,0.6,3,0,16,16,陽の丸坊主,なし,False,False,632.0,False,True
3293,アズマハウス,↑,2300,-4800.0,0.0,0.3,3,0,1,1,コマ・陽の極線,なし,False,False,777.0,False,True
6078,バリューＨＲ,↑,28200,-23900.0,0.1,0.5,3,0,1,1,コマ・陽の極線,なし,True,True,1516.0,False,True
4367,広栄化学,↑,400,-900.0,0.0,0.3,3,1,7,7,陽の丸坊主,なし,True,False,2366.0,False,True
1808,長谷工コーポレーション,↑,267400,-370300.0,0.1,0.4,3,0,12,12,コマ・陽の極線,なし,True,False,1858.5,False,True
3692,ＦＦＲＩセキュリティ,↑,781300,-811100.0,9.5,0.5,3,0,11,11,コマ・陽の極線,なし,False,False,2793.0,False,True
8566,リコーリース,↑,11600,-3300.0,0.0,0.8,3,0,1,1,コマ・陽の極線,なし,False,False,5380.0,False,True
4979,ＯＡＴアグリオ,↑,7200,-18400.0,0.1,0.3,3,0,2,2,陽の寄付坊主,毛抜き天井(高値圏売り),False,False,1874.0,False,True
5541,大平洋金属,↑,187300,-133500.0,1.0,0.6,3,0,1,1,コマ・陽の極線,なし,False,False,1293.0,False,True
138A,光フードサービス,↑,7800,-6600.0,0.8,0.5,3,0,1,1,コマ・陽の極線,なし,False,False,4340.0,False,True
9856,ケーユーホールディングス,↑,50600,-158200.0,0.1,0.2,3,0,0,0,コマ・陽の極線,なし,True,False,0.0,False,True
