Ticker,銘柄名,陽線陰線,出来高,出来高前日差,出来高発行株式割合,出来高前日比,三平,空,25SMA越,75SMA越,足1,足2,直近高値越,75SMAと直近高値越,直近高値,75反発,パーフェクトオーダー
1301,極洋,↓,10200,-14000.0,0.1,0.4,0,0,0,0,陰の大引坊主,なし,False,False,3690.0,False,False
130A,Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,↓,7800,-15900.0,0.1,0.3,-2,0,0,0,コマ・陰の極線,なし,False,False,2161.0,False,False
1332,ニッスイ,↑,1006700,-259000.0,0.3,0.8,2,0,0,76,コマ・陽の極線,なし,False,False,996.2000122070312,False,True
1333,マルハニチロ,↑,54300,-73100.0,0.1,0.4,2,0,4,21,コマ・陽の極線,なし,False,False,3022.0,False,True
135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,↑,241200,-174200.0,2.4,0.6,4,0,0,0,コマ・陽の極線,なし,False,False,7690.0,False,False
1375,雪国まいたけ,↓,28500,-13500.0,0.1,0.7,0,0,0,38,コマ・陰の極線,毛抜き底(安値圏買い),False,False,1138.0,False,True
1376,カネコ種苗,↑,3000,-1300.0,0.0,0.7,0,0,5,5,陽の大引坊主,陽たすき(下落中売り),False,False,1461.0,False,True
1377,サカタのタネ,↓,43600,-76100.0,0.1,0.4,0,0,0,0,コマ・陰の極線,なし,False,False,3800.0,False,False
1379,ホクト,↓,12500,-19500.0,0.0,0.4,0,0,0,70,陰の寄付坊主,毛抜き底(安値圏買い),False,False,1904.0,False,True
137A,Ｃｏｃｏｌｉｖｅ,↓,102000,35600.0,3.5,1.5,-2,0,0,0,陰の寄付坊主,なし,False,False,2058.0,False,False
1380,秋川牧園,→,100,-700.0,0.0,0.1,0,-1,0,0,なし,毛抜き底(安値圏買い),False,False,1095.0,False,True
1381,アクシーズ,→,1500,-100.0,0.0,0.9,0,1,18,69,なし,なし,False,False,3195.0,False,True
1382,ホーブ,↓,900,-200.0,0.1,0.8,0,0,0,0,陰の寄付坊主,毛抜き底(安値圏買い),False,False,2159.0,False,False
1383,ベルグアース,↓,2100,-4400.0,0.1,0.3,0,0,14,4,なし,毛抜き天井(高値圏売り),False,False,3440.0,False,False
1384,ホクリヨウ,↓,8500,-300.0,0.1,1.0,0,0,0,0,陰の寄付坊主,毛抜き底(安値圏買い),False,False,1146.0,False,False
138A,光フードサービス,↓,9200,-13700.0,0.9,0.4,0,0,9,9,コマ・陰の極線,なし,False,False,5300.0,False,False
1401,エムビーエス,↓,20800,13300.0,0.3,2.8,0,0,2,70,コマ・陰の極線,なし,False,False,714.0,False,True
1407,ウエストホールディングス,↑,533300,215000.0,1.2,1.7,2,0,2,0,コマ・陽の極線,なし,False,False,2890.0,False,False
1414,ショーボンドホールディングス,↓,47500,-86400.0,0.1,0.4,0,0,0,0,コマ・陰の極線,なし,False,False,6521.0,False,False
1417,ミライト・ワン,↑,118400,-149600.0,0.1,0.4,2,1,21,11,陽の寄付坊主,なし,True,False,1940.0,False,True
1418,インターライフホールディングス,↓,82500,61300.0,0.4,3.9,0,0,5,0,陰の大引坊主,毛抜き底(安値圏買い),False,False,215.0,False,False
1419,タマホーム,↑,864700,4400.0,2.9,1.0,0,0,0,82,コマ・陽の極線,陽振り分け(買い圧強),False,False,4610.0,True,True
141A,トライアルホールディングス,↓,680600,-1588500.0,0.6,0.3,-2,0,5,5,コマ・陰の極線,なし,False,False,3120.0,False,True
1420,サンヨーホームズ,↓,5200,-8400.0,0.0,0.4,0,0,0,0,陰の寄付坊主,毛抜き天井(高値圏売り),False,False,797.0,False,True
1429,日本アクア,↑,35200,-80200.0,0.1,0.3,0,0,0,0,コマ・陽の極線,なし,False,False,1066.0,False,True
142A,ジンジブ,↓,15700,5100.0,1.1,1.5,-2,0,0,0,コマ・陰の極線,なし,False,False,3100.0,False,True
1430,ファーストコーポレーション,↓,15300,-16700.0,0.1,0.5,0,0,23,67,コマ・陰の極線,毛抜き天井(高値圏売り),False,False,860.0,False,True
1431,Ｌｉｂ　Ｗｏｒｋ,↑,12400,-10100.0,0.1,0.6,0,0,0,0,陽の丸坊主,陰の陽つつみ(下落から上昇),False,False,764.0,False,False
1433,ベステラ,↓,21400,-39800.0,0.2,0.3,-3,0,0,0,陰の大引坊主,毛抜き底(安値圏買い),False,False,1014.0,False,False
1434,ＪＥＳＣＯホールディングス,↓,18800,-33800.0,0.3,0.4,0,0,17,21,陰の寄付坊主,なし,False,False,1175.0,False,True
1435,Ｒｏｂｏｔ　Ｈｏｍｅ,↓,49400,-108900.0,0.1,0.3,0,0,0,0,陰の大引坊主,陰振り分け(売り圧強),False,False,165.0,False,False
1436,フィット,↓,6800,1100.0,0.2,1.2,0,0,31,72,陰の寄付坊主,陽の陰つつみ,False,False,1043.0,False,True
1438,岐阜造園,↓,200,-1900.0,0.0,0.1,-2,0,19,69,陰の丸坊主,毛抜き底(安値圏買い),True,False,1850.0,False,True
1439,安江工務店,↓,500,-1300.0,0.0,0.3,0,0,24,8,陰の大引坊主,陰たすき(上昇中買い),False,False,1398.0,False,False
143A,イシン,↓,65100,-153600.0,3.5,0.3,-2,0,0,0,コマ・陰の極線,なし,True,False,0.0,False,True
1443,技研ホールディングス,→,13600,-15700.0,0.1,0.5,0,0,4,5,なし,毛抜き底(安値圏買い),False,False,223.0,False,True
1444,ニッソウ,↓,400,-3400.0,0.0,0.1,0,0,22,12,陰の丸坊主,毛抜き底(安値圏買い),False,False,2787.0,False,True
1446,キャンディル,→,2300,-2400.0,0.0,0.5,0,0,24,24,なし,毛抜き底(安値圏買い),False,False,600.0,False,True
1447,ＩＴｂｏｏｋホールディングス,↑,37400,-28000.0,0.2,0.6,2,0,0,0,陽の寄付坊主,なし,False,False,291.0,False,False
1450,田中建設工業,↓,3300,1400.0,0.1,1.7,0,0,2,0,陰の大引坊主,なし,False,False,2066.0,False,False
1451,ＫＨＣ,↓,1500,-5900.0,0.0,0.2,0,0,0,0,陰の丸坊主,なし,False,False,760.0,False,True
145A,Ｌ　ｉｓ　Ｂ,↑,38500,-87000.0,0.8,0.3,0,0,0,0,コマ・陽の極線,なし,True,False,0.0,False,True
146A,コロンビア・ワークス,↑,118600,-8000.0,3.6,0.9,0,0,0,0,コマ・陽の極線,陽たすき(下落中売り),False,False,4890.0,False,True
147A,ソラコム,↓,949700,-634400.0,2.2,0.6,0,0,0,0,コマ・陰の極線,陽の陰つつみ,False,False,2100.0,False,True
148A,ハッチ・ワーク,↑,7800,-22600.0,0.4,0.3,2,0,0,0,陽の寄付坊主,なし,True,False,0.0,False,True
1491,中外鉱業,↑,442200,185600.0,0.2,1.7,0,0,7,38,陽の寄付坊主,毛抜き底(安値圏買い),False,False,33.0,False,True
149A,シンカ,↓,10900,-16000.0,0.3,0.4,-5,0,0,0,コマ・陰の極線,毛抜き底(安値圏買い),True,False,0.0,False,True
150A,ＪＳＨ,↓,67000,24000.0,1.2,1.6,-3,0,0,0,コマ・陰の極線,なし,False,False,608.0,False,True
1514,住石ホールディングス,↓,1273200,-1391900.0,2.2,0.5,-3,0,0,0,陰の寄付坊主,なし,False,False,2125.0,False,False
1515,日鉄鉱業,↑,15000,-17100.0,0.1,0.5,2,0,3,0,陽の大引坊主,なし,False,False,5250.0,False,False
1518,三井松島ホールディングス,↓,32700,-55000.0,0.3,0.4,0,0,5,43,陰の寄付坊主,なし,True,False,2985.0,False,True
151A,ダイブ,↓,45700,-141200.0,1.7,0.2,0,0,0,0,コマ・陰の極線,陽の陰はらみ(高値圏で天井),False,False,3785.0,False,True
153A,カウリス,↑,316700,-229500.0,5.2,0.6,0,0,7,7,コマ・陽の極線,陰の陽はらみ(安値圏で底),False,False,3820.0,False,True
155A,情報戦略テクノロジー,↓,145700,-234700.0,1.5,0.4,-2,0,0,0,コマ・陰の極線,なし,True,False,0.0,False,True
156A,マテリアルグループ,↓,103800,-50400.0,1.1,0.7,-2,0,0,0,コマ・陰の極線,なし,True,False,0.0,False,True
