Ticker,銘柄名,陽線陰線,出来高,出来高前日差,出来高発行株式割合,出来高前日比,三平,空,25SMA越,75SMA越,足1,足2,直近高値越,75SMAと直近高値越,直近高値,75反発,パーフェクトオーダー
5126,ポーターズ,↑,600,-1800.0,0.0,0.2,0,0,0,1,陽の寄付坊主,陰の陽はらみ(安値圏で底),False,False,2224.0,False,True
6775,ＴＢグループ,↑,2553400,2423700.0,18.2,19.7,0,0,8,1,コマ・陽の極線,なし,True,True,182.0,False,False
3843,フリービット,↑,455900,368100.0,1.9,5.2,2,0,1,1,陽の寄付坊主,なし,False,False,1679.0,False,True
4896,ケイファーマ,↑,3700,-600.0,0.0,0.9,0,0,12,1,コマ・陽の極線,なし,False,False,662.0,False,False
8841,テーオーシー,↑,278100,-75000.0,0.3,0.8,0,0,7,1,コマ・陽の極線,毛抜き天井(高値圏売り),False,False,696.0,False,False
7512,イオン北海道,↑,588900,470200.0,0.4,5.0,0,1,1,1,陽の大引坊主,陽たすき(下落中売り),True,True,906.0,False,False
5252,日本ナレッジ,↑,5500,200.0,0.4,1.0,0,0,5,1,コマ・陽の極線,陽たすき(下落中売り),True,True,1542.0,False,False
6552,ＧａｍｅＷｉｔｈ,↑,24800,-10500.0,0.1,0.7,0,0,2,1,陽の大引坊主,毛抜き底(安値圏買い),True,True,306.0,False,False
4977,新田ゼラチン,↑,93300,41600.0,0.5,1.8,0,0,14,1,コマ・陽の極線,なし,False,False,802.0,False,False
7944,ローランド,↑,88800,1500.0,0.3,1.0,0,0,0,1,コマ・陽の極線,なし,False,False,4940.0,False,True
4665,ダスキン,↑,87800,-89400.0,0.2,0.5,0,0,3,1,コマ・陽の極線,陰の陽はらみ(安値圏で底),False,False,3386.0,False,False
4023,クレハ,↑,92900,-54900.0,0.2,0.6,0,0,8,1,コマ・陽の極線,毛抜き底(安値圏買い),True,True,2700.0,False,False
7060,ギークス,↑,263200,237000.0,2.5,10.0,0,0,5,1,コマ・陽の極線,陽たすき(下落中売り),True,True,502.0,False,False
4975,ＪＣＵ,↑,33100,2300.0,0.1,1.1,0,0,0,1,陽の寄付坊主,毛抜き天井(高値圏売り),False,False,3960.0,False,True
2206,江崎グリコ,↑,146000,-72900.0,0.2,0.7,0,0,0,1,コマ・陽の極線,陰の陽つつみ(下落から上昇),False,False,4374.0,False,True
4351,山田債権回収管理総合事務所,↑,2200,-800.0,0.1,0.7,0,0,4,1,陽の丸坊主,毛抜き底(安値圏買い),True,True,970.0,False,False
2201,森永製菓,↑,289000,-34000.0,0.3,0.9,0,0,1,1,コマ・陽の極線,なし,False,False,2687.5,False,False
6479,ミネベアミツミ,↑,1296300,58300.0,0.3,1.0,0,0,0,1,コマ・陽の極線,陰の陽つつみ(下落から上昇),False,False,3028.0,False,True
8125,ワキタ,↑,77700,18500.0,0.1,1.3,0,0,6,1,コマ・陽の極線,陰の陽はらみ(安値圏で底),True,True,1580.0,False,False
3948,光ビジネスフォーム,↑,7000,2000.0,0.1,1.4,2,0,6,1,なし,なし,True,True,871.0,False,False
3445,ＲＳ　Ｔｅｃｈｎｏｌｏｇｉｅｓ,↑,135000,-84000.0,0.5,0.6,3,0,2,1,コマ・陽の極線,なし,False,False,2977.0,False,False
3076,あい　ホールディングス,↑,86600,-46100.0,0.2,0.7,0,0,5,1,コマ・陽の極線,毛抜き天井(高値圏売り),True,True,2386.0,False,False
8173,上新電機,↑,368100,114300.0,1.3,1.5,0,0,1,1,コマ・陽の極線,陰の陽つつみ(下落から上昇),True,True,2358.0,False,False
9302,三井倉庫ホールディングス,↑,92800,14500.0,0.4,1.2,0,0,5,1,コマ・陽の極線,なし,True,True,4735.0,False,False
7975,リヒトラブ,↑,900,-1900.0,0.0,0.3,3,0,3,1,陽の丸坊主,なし,False,False,997.0,False,False
2497,ユナイテッド,↑,218500,-50800.0,0.5,0.8,0,0,1,1,陽の大引坊主,陽たすき(下落中売り),True,True,906.0,False,True
3063,ジェイグループホールディングス,↓,85300,61400.0,0.7,3.6,0,0,0,1,陰の寄付坊主,なし,True,True,629.0,False,True
7537,丸文,↑,233100,61900.0,0.8,1.4,2,0,4,1,陽の寄付坊主,なし,True,True,1542.0,False,False
8154,加賀電子,↑,59200,-1500.0,0.2,1.0,0,0,3,1,陽の寄付坊主,陰の陽つつみ(下落から上昇),True,True,6320.0,False,False
6094,フリークアウト・ホールディングス,↑,117000,42800.0,0.6,1.6,3,0,6,1,コマ・陽の極線,なし,True,True,746.0,False,False
4642,オリジナル設計,↑,1200,-2100.0,0.0,0.4,0,0,1,1,コマ・陽の極線,毛抜き天井(高値圏売り),False,False,1147.0,False,True
7419,ノジマ,↑,193600,-54100.0,0.2,0.8,0,0,4,1,コマ・陽の極線,なし,True,True,1710.0,False,False
9251,ＡＢ＆Ｃｏｍｐａｎｙ,↑,28100,-15800.0,0.2,0.6,0,0,5,1,コマ・陽の極線,陽たすき(下落中売り),False,False,970.0,False,False
9928,ミロク情報サービス,↑,28400,-7900.0,0.1,0.8,0,0,0,1,コマ・陽の極線,毛抜き天井(高値圏売り),False,False,1920.0,False,True
4256,サインド,↑,6800,-9300.0,0.1,0.4,3,0,2,1,コマ・陽の極線,なし,True,True,798.0,False,False
9325,ファイズホールディングス,↑,117300,67500.0,1.1,2.4,0,0,1,1,陽の寄付坊主,なし,True,True,1211.0,False,False
2678,アスクル,↑,215500,-83800.0,0.2,0.7,0,0,10,1,コマ・陽の極線,なし,False,False,2215.0,False,False
4171,グローバルインフォメーション,↑,6800,-6800.0,0.2,0.5,0,0,5,1,コマ・陽の極線,毛抜き底(安値圏買い),False,False,1438.0,False,False
9672,東京都競馬,↑,128400,47500.0,0.4,1.6,0,0,8,1,コマ・陽の極線,陽たすき(下落中売り),True,True,4250.0,False,False
8185,チヨダ,↑,28400,-1000.0,0.1,1.0,0,0,1,1,コマ・陽の極線,毛抜き天井(高値圏売り),False,False,882.0,False,False
2708,久世,↑,18700,-10000.0,0.4,0.7,2,0,2,1,陽の寄付坊主,なし,True,True,2500.0,False,False
8914,エリアリンク,↑,80700,19400.0,0.6,1.3,0,0,5,1,コマ・陽の極線,陰の陽つつみ(下落から上昇),True,True,2562.0,False,False
3437,特殊電極,→,500,-300.0,0.0,0.6,0,0,3,1,トンボ,毛抜き天井(高値圏売り),False,False,2617.0,False,False
3690,イルグルム,↑,18400,-8400.0,0.3,0.7,2,0,8,1,陽の寄付坊主,なし,True,True,653.0,False,False
3562,Ｎｏ．１,→,8000,1300.0,0.1,1.2,0,0,1,1,なし,なし,False,False,951.0,False,True
7039,ブリッジインターナショナル,↑,30000,12500.0,0.8,1.7,0,0,1,1,コマ・陽の極線,なし,False,False,1709.0,False,False
3639,ボルテージ,↑,13700,1300.0,0.2,1.1,0,0,1,1,陽の寄付坊主,毛抜き底(安値圏買い),False,False,267.0,False,True
3826,システムインテグレータ,↑,4000,-10500.0,0.0,0.3,0,0,0,1,陽の寄付坊主,毛抜き底(安値圏買い),False,False,413.0,False,True
6986,双葉電子工業,↑,113900,28000.0,0.3,1.3,0,0,4,1,コマ・陽の極線,毛抜き底(安値圏買い),True,True,507.0,False,False
6226,守谷輸送機工業,↑,190500,67600.0,1.1,1.6,0,0,5,1,コマ・陽の極線,陰の陽つつみ(下落から上昇),True,True,1134.0,False,False
6151,日東工器,↑,59500,-24500.0,0.3,0.7,0,0,0,1,陽の丸坊主,なし,False,False,2014.0,False,True
4766,ピーエイ,↑,25400,-13600.0,0.2,0.7,2,0,4,1,陽の大引坊主,毛抜き天井(高値圏売り),True,True,317.0,False,False
6837,京写,↑,3200,-36000.0,0.0,0.1,2,0,0,1,陽の大引坊主,毛抜き天井(高値圏売り),False,False,431.0,False,True
2385,総医研ホールディングス,↑,69800,-67800.0,0.3,0.5,0,0,11,1,陽の寄付坊主,毛抜き底(安値圏買い),False,False,163.0,False,False
9976,セキチュー,↑,1800,300.0,0.0,1.2,0,0,1,1,陽の丸坊主,毛抜き底(安値圏買い),False,False,1283.0,False,False
8144,デンキョーグループホールディングス,↑,4000,-2200.0,0.1,0.6,0,0,0,1,陽の大引坊主,陰の陽はらみ(安値圏で底),False,False,1365.0,False,True
2372,アイロムグループ,↑,23400,-17400.0,0.2,0.6,0,0,8,1,コマ・陽の極線,陽たすき(下落中売り),True,True,1841.0,False,False
