,name,rays,volume,diff,sharesratio,previousratio
5935,元旦ビューティ工業,↓,845900,840000.0,21.9,143.4
6085,アーキテクツ・スタジオ・ジャパン,↑,11300,11100.0,0.5,56.5
6579,ログリー,↑,927700,909300.0,24.4,50.4
2351,ＡＳＪ,↓,167000,162800.0,2.1,39.8
8107,キムラタン,↑,5516000,5364900.0,2.7,36.5
4920,日本色材工業研究所,↓,182700,177500.0,8.7,35.1
4429,リックソフト,↓,122800,119100.0,2.7,33.2
4255,ＴＨＥＣＯＯ,↓,1900,1800.0,0.1,19.0
7997,くろがね工作所,↓,1740700,1637200.0,93.7,16.8
5103,昭和ホールディングス,↓,30400,28500.0,0.0,16.0
6822,大井電気,↑,1500,1400.0,0.1,15.0
4769,ＩＣ,↑,5700,5300.0,0.1,14.2
6018,阪神内燃機工業,↑,38900,35900.0,1.2,13.0
4394,エクスモーション,↑,11500,10600.0,0.4,12.8
3264,アスコット,↑,944100,869900.0,0.7,12.7
9913,日邦産業,↓,13200,12100.0,0.1,12.0
3695,ＧＭＯリサーチ,↑,1100,1000.0,0.1,11.0
2345,クシム,↑,1226500,1112500.0,8.3,10.8
4792,山田コンサルティンググループ,↓,391700,354800.0,2.0,10.6
6180,ＧＭＯメディア,↓,4200,3800.0,0.2,10.5
6496,中北製作所,↑,1000,900.0,0.0,10.0
4166,かっこ,→,664200,590600.0,25.2,9.0
1438,岐阜造園,↓,900,800.0,0.0,9.0
6161,エスティック,↓,2500,2200.0,0.0,8.3
6836,ぷらっとホーム,↑,4100,3600.0,0.3,8.2
5189,櫻護謨,↓,344800,301100.0,34.1,7.9
9051,センコン物流,↓,4700,4100.0,0.1,7.8
3691,デジタルプラス,↓,50100,43500.0,1.4,7.6
4576,デ・ウエスタン・セラピテクス研究所,↓,922800,799400.0,2.9,7.5
7477,ムラキ,↓,1400,1200.0,0.1,7.0
5610,大和重工,↓,700,600.0,0.1,7.0
9950,ハチバン,→,1400,1200.0,0.0,7.0
5078,セレコーポレーション,↓,700,600.0,0.0,7.0
7722,国際計測器,↓,13800,11700.0,0.1,6.6
3920,アイビーシー,→,1378000,1155400.0,24.1,6.2
4243,ニックス,↓,4900,4100.0,0.2,6.1
3611,マツオカコーポレーション,↓,105100,88000.0,1.0,6.1
6023,ダイハツディーゼル,↑,221700,185400.0,0.7,6.1
1764,工藤建設,↑,1200,1000.0,0.1,6.0
1795,マサル,→,600,500.0,0.1,6.0
1773,ワイ・ティー・エル・コーポレーション・バーハッド,→,6000,5000.0,0.0,6.0
5386,鶴弥,↓,11500,9500.0,0.1,5.8
5982,マルゼン,↑,1700,1400.0,0.0,5.7
1971,中央ビルト工業,↓,2100,1700.0,0.1,5.2
8202,ラオックスホールディングス,↓,4099700,3311800.0,4.4,5.2
1758,太洋基礎工業,↑,10800,8700.0,1.3,5.1
