,name,rays,volume,diff,sharesratio,previousratio
6016,ジャパンエンジンコーポレーション,↑,3377200,-2691000.0,120.6,0.6
2721,ジェイホールディングス,↑,6578500,-993300.0,104.1,0.9
7997,くろがね工作所,↑,1607700,1504200.0,86.6,15.5
3810,サイバーステップ,→,6854100,1528900.0,63.4,1.3
4892,サイフューズ,↓,3547900,-3222500.0,45.5,0.5
7647,音通,↑,78104700,-2680500.0,38.4,1.0
7793,イメージ・マジック,↓,831900,-7551700.0,36.0,0.1
5189,櫻護謨,↓,330700,287000.0,32.7,7.6
4166,かっこ,→,664200,590600.0,25.2,9.0
6775,ＴＢグループ,↑,3173100,-4993400.0,25.1,0.4
7692,アースインフィニティ,↑,9218400,6478800.0,25.1,3.4
3920,アイビーシー,↓,1344600,1122000.0,23.5,6.0
4598,Ｄｅｌｔａ－Ｆｌｙ　Ｐｈａｒｍａ,↓,1417600,-695100.0,22.3,0.7
6579,ログリー,↑,841100,822700.0,22.1,45.7
7776,セルシード,↓,6012300,-1310200.0,21.7,0.8
5935,元旦ビューティ工業,↑,724400,718500.0,18.8,122.8
7359,東京通信,↑,753400,547800.0,15.3,3.7
6334,明治機械,↑,1540200,601300.0,13.5,1.6
4430,東海ソフト,↓,561200,420100.0,11.4,4.0
1436,フィット,↓,474200,337900.0,11.1,3.5
8101,ＧＳＩクレオス,↑,1364600,-397400.0,10.8,0.8
4444,インフォネット,↓,194400,34200.0,9.6,1.2
4920,日本色材工業研究所,↓,176800,171600.0,8.4,34.0
5247,ＢＴＭ,↓,114200,-81600.0,8.3,0.6
4388,エーアイ,↑,428000,244300.0,8.3,2.3
6562,ジーニー,↓,1421500,593600.0,7.9,1.7
6920,レーザーテック,↓,7183700,-2699600.0,7.6,0.7
2345,クシム,↑,1078200,964200.0,7.3,9.5
3856,Ａｂａｌａｎｃｅ,↓,1182000,-683900.0,6.8,0.6
3083,シーズメン,↓,192400,-353200.0,6.7,0.4
4011,ヘッドウォータース,↑,60600,7000.0,6.5,1.1
6578,エヌリンクス,↓,459100,-2672200.0,6.3,0.1
2667,イメージ　ワン,↓,587200,-607800.0,5.4,0.5
4586,メドレックス,↓,1574800,-3019500.0,5.1,0.3
5136,ｔｒｉｐｌａ,↓,244900,-111500.0,4.5,0.7
6619,ダブル・スコープ,↓,2463300,-1691600.0,4.5,0.6
8202,ラオックスホールディングス,↓,3938900,3151000.0,4.2,5.0
3607,クラウディアホールディングス,↑,389600,213800.0,4.0,2.2
7271,安永,↑,508200,-115600.0,3.9,0.8
3911,Ａｉｍｉｎｇ,↓,1523000,674300.0,3.8,1.8
2303,ドーン,↓,115200,86800.0,3.5,4.1
5246,ＥＬＥＭＥＮＴＳ,↓,717300,-99300.0,3.5,0.9
6898,トミタ電機,↑,27500,-26200.0,3.4,0.5
6298,ワイエイシイホールディングス,↓,325600,-239400.0,3.3,0.6
4492,ゼネテック,↓,129800,-118700.0,3.3,0.5
7901,マツモト,↑,12100,-63200.0,3.2,0.2
9227,マイクロ波化学,↓,485400,-940500.0,3.2,0.3
7214,ＧＭＢ,↓,164200,-65500.0,3.1,0.7
9560,プログリット,↓,113500,-79000.0,3.0,0.6
7031,インバウンドテック,↓,77200,-13900.0,3.0,0.8
