Date,Adj Close,Close,High,Low,Open,Volume
2002-03-19,357.0303955078125,450.0,481.25,425.0,462.5,7520000
2002-03-20,347.1128845214844,437.5,456.25,433.75,446.25,1040000
2002-03-21,347.1128845214844,437.5,437.5,437.5,437.5,0
2002-03-22,411.5767211914063,518.75,537.5,435.0,438.75,5200000
2002-03-25,431.411865234375,543.75,587.5,537.5,552.5,3680000
2002-03-26,478.29888916015625,602.5,612.5,518.75,542.5,3360000
2002-03-27,506.0840148925781,637.5,662.5,603.75,617.5,4160000
2002-03-28,481.2760314941406,606.25,643.75,570.0,640.0,3120000
2002-03-29,503.1070251464844,633.75,635.0,575.0,606.25,1440000
2002-04-01,506.0840148925781,637.5,675.0,631.25,643.75,3280000
2002-04-02,540.8152465820312,681.25,687.5,631.25,640.0,2560000
2002-04-03,521.961181640625,657.5,688.75,656.25,683.75,1440000
2002-04-04,516.9995727539062,651.25,682.5,631.25,645.0,1040000
2002-04-05,500.1299743652344,630.0,650.0,627.5,637.5,1040000
2002-04-08,511.0456237792969,643.75,651.25,600.0,625.0,1440000
2002-04-09,486.237548828125,612.5,650.0,608.75,643.75,720000
2002-04-10,474.3296813964844,597.5,612.5,595.0,606.25,560000
2002-04-11,456.4679260253906,575.0,603.75,568.75,598.75,640000
2002-04-12,453.490966796875,571.25,575.0,531.25,566.25,1280000
2002-04-15,432.652099609375,545.0,590.0,543.75,568.75,480000
2002-04-16,446.5447387695313,562.5,562.5,532.5,546.25,480000
2002-04-17,449.52154541015625,566.25,585.0,562.5,566.25,400000
2002-04-18,429.6752624511719,541.25,568.75,541.25,563.75,160000
2002-04-19,436.6214294433594,550.0,553.75,531.25,543.75,320000
2002-04-22,447.5369873046875,563.75,573.75,546.25,546.25,320000
2002-04-23,424.713623046875,535.0,566.25,531.25,563.75,400000
2002-04-24,419.751953125,528.75,556.25,525.0,531.25,240000
2002-04-25,426.6982727050781,537.5,540.0,525.0,525.0,160000
2002-04-26,416.7749633789063,525.0,537.5,523.75,537.5,160000
2002-04-29,416.7749633789063,525.0,525.0,525.0,525.0,0
2002-04-30,412.8057556152344,520.0,531.25,512.5,525.0,80000
2002-05-01,406.8518371582031,512.5,525.0,506.25,518.75,240000
2002-05-02,451.50628662109375,568.75,568.75,501.25,510.0,800000
2002-05-06,451.50628662109375,568.75,568.75,568.75,568.75,0
2002-05-07,468.3756713867188,590.0,592.5,562.5,566.25,800000
2002-05-08,471.3526611328125,593.75,625.0,590.0,602.5,800000
2002-05-09,457.4602355957031,576.25,611.25,573.75,601.25,640000
2002-05-10,447.5369873046875,563.75,575.0,546.25,575.0,400000
2002-05-13,464.4064025878906,585.0,600.0,556.25,562.5,480000
2002-05-14,471.3526611328125,593.75,600.0,588.75,590.0,400000
2002-05-15,472.3450317382813,595.0,602.5,590.0,596.25,400000
2002-05-16,483.2606201171875,608.75,617.5,600.0,603.75,640000
2002-05-17,474.3296813964844,597.5,608.75,595.0,606.25,400000
2002-05-20,483.2606201171875,608.75,612.5,596.25,597.5,320000
2002-05-21,501.1223754882813,631.25,638.75,606.25,607.5,960000
2002-05-22,495.16845703125,623.75,633.75,612.5,633.75,480000
2002-05-23,483.2606201171875,608.75,627.5,597.5,627.5,320000
2002-05-24,480.2835693359375,605.0,615.0,601.25,611.25,320000
2002-05-27,496.1607666015625,625.0,632.5,593.75,605.0,560000
2002-05-28,496.1607666015625,625.0,636.25,622.5,626.25,480000
2002-05-29,496.1607666015625,625.0,631.25,623.75,625.0,320000
2002-05-30,501.1223754882813,631.25,650.0,625.0,625.0,560000
2002-05-31,496.1607666015625,625.0,635.0,625.0,625.0,320000
2002-06-03,482.2682189941406,607.5,627.5,600.0,627.5,80000
2002-06-04,482.2682189941406,607.5,610.0,600.0,606.25,240000
2002-06-05,482.2682189941406,607.5,610.0,600.0,606.25,320000
2002-06-06,481.2760314941406,606.25,608.75,600.0,606.25,80000
2002-06-07,467.3834533691406,588.75,607.5,575.0,607.5,160000
2002-06-10,469.36810302734375,591.25,600.0,585.0,587.5,80000
2002-06-11,466.39105224609375,587.5,592.5,581.25,587.5,160000
2002-06-12,466.39105224609375,587.5,590.0,583.75,587.5,240000
2002-06-13,462.4217834472656,582.5,590.0,581.25,587.5,80000
2002-06-14,461.4295043945313,581.25,581.25,572.5,581.25,400000
2002-06-17,454.4832458496094,572.5,578.75,566.25,578.75,240000
2002-06-18,446.5447387695313,562.5,575.0,562.5,575.0,60000
2002-06-19,446.5447387695313,562.5,562.5,550.0,562.5,80000
2002-06-20,438.6061096191406,552.5,562.5,550.0,558.75,80000
2002-06-21,426.6982727050781,537.5,556.25,518.75,550.0,80000
2002-06-24,416.7749633789063,525.0,532.5,512.5,532.5,50400
2002-06-25,421.7366027832031,531.25,537.5,518.75,525.0,39200
2002-06-26,456.4679260253906,575.0,600.0,537.5,550.0,320000
2002-06-27,455.4756774902344,573.75,575.0,562.5,575.0,160000
2002-06-28,455.4756774902344,573.75,573.75,556.25,566.25,160000
2002-07-01,441.5829772949219,556.25,571.25,552.5,562.5,40000
2002-07-02,441.5829772949219,556.25,556.25,550.0,555.0,80000
2002-07-03,446.5447387695313,562.5,577.5,550.0,553.75,80000
2002-07-04,456.4679260253906,575.0,585.0,562.5,562.5,80000
2002-07-05,471.3526611328125,593.75,612.5,576.25,581.25,160000
2002-07-08,461.4295043945313,581.25,612.5,581.25,593.75,80000
2002-07-09,458.4524841308594,577.5,581.25,571.25,575.0,60000
2002-07-10,457.4602355957031,576.25,587.5,571.25,575.0,80000
2002-07-11,456.4679260253906,575.0,577.5,573.75,577.5,80000
2002-07-12,456.4679260253906,575.0,581.25,572.5,580.0,57600
2002-07-15,456.4679260253906,575.0,576.25,573.75,573.75,67200
2002-07-16,456.4679260253906,575.0,578.75,573.75,575.0,80000
2002-07-17,456.4679260253906,575.0,577.5,575.0,575.0,80000
2002-07-18,456.4679260253906,575.0,587.5,575.0,575.0,80000
2002-07-19,456.4679260253906,575.0,576.25,573.75,575.0,240000
2002-07-22,438.6061096191406,552.5,572.5,545.0,568.75,23200
2002-07-23,437.6138610839844,551.25,551.25,540.0,543.75,240000
2002-07-24,421.7366027832031,531.25,552.5,525.0,550.0,80000
2002-07-25,428.6829223632813,540.0,540.0,530.0,530.0,28000
2002-07-26,426.6982727050781,537.5,540.0,531.25,537.5,80000
2002-07-29,426.6982727050781,537.5,543.75,536.25,540.0,23200
2002-07-30,429.6752624511719,541.25,541.25,535.0,535.0,36000
2002-07-31,436.6214294433594,550.0,550.0,540.0,540.0,16800
2002-08-01,434.6368408203125,547.5,550.0,537.5,550.0,56000
2002-08-02,428.6829223632813,540.0,548.75,537.5,548.75,80000
2002-08-05,441.5829772949219,556.25,556.25,537.5,540.0,80000
2002-08-06,421.7366027832031,531.25,556.25,525.0,556.25,80000
2002-08-07,424.713623046875,535.0,537.5,525.0,537.5,36800
2002-08-08,429.6752624511719,541.25,543.75,531.25,532.5,65600
2002-08-09,442.5754089355469,557.5,560.0,542.5,542.5,80000
2002-08-12,436.6214294433594,550.0,556.25,547.5,556.25,32800
2002-08-13,438.6061096191406,552.5,552.5,550.0,550.0,42400
2002-08-14,436.6214294433594,550.0,552.5,546.25,550.0,43200
2002-08-15,431.6597900390625,543.75,550.0,541.25,546.25,56000
2002-08-16,428.6829223632813,540.0,543.75,535.0,541.25,32800
2002-08-19,426.6982727050781,537.5,538.75,535.0,537.5,48800
2002-08-20,425.7059631347656,536.25,538.75,536.25,536.25,44800
2002-08-21,436.6214294433594,550.0,575.0,537.5,542.5,72800
2002-08-22,434.6368408203125,547.5,550.0,537.5,543.75,65600
2002-08-23,434.6368408203125,547.5,547.5,547.5,547.5,0
2002-08-26,425.7059631347656,536.25,550.0,533.75,547.5,66400
2002-08-27,424.713623046875,535.0,535.0,533.75,533.75,58400
2002-08-28,424.713623046875,535.0,535.0,533.75,533.75,43200
2002-08-29,424.713623046875,535.0,535.0,532.5,533.75,36800
2002-08-30,424.713623046875,535.0,535.0,532.5,533.75,17600
2002-09-02,408.8364562988281,515.0,533.75,513.75,533.75,54400
2002-09-03,391.9669799804688,493.75,512.5,487.5,510.0,80000
2002-09-04,363.1896057128906,457.5,498.75,450.0,493.75,80000
2002-09-05,372.12054443359375,468.75,475.0,462.5,462.5,35200
2002-09-06,371.1282653808594,467.5,473.75,463.75,473.75,53600
2002-09-09,387.0054016113281,487.5,490.0,462.5,467.5,48800
2002-09-10,379.0668029785156,477.5,495.0,475.0,481.25,44000
2002-09-11,367.1589050292969,462.5,475.0,456.25,475.0,80000
2002-09-12,367.1589050292969,462.5,462.5,460.0,462.5,36000
2002-09-13,364.1820068359375,458.75,458.75,453.75,456.25,160000
2002-09-16,364.1820068359375,458.75,458.75,458.75,458.75,0
2002-09-17,377.0821533203125,475.0,500.0,456.25,456.25,40000
2002-09-18,387.0054016113281,487.5,487.5,468.75,468.75,8800
2002-09-19,391.9669799804688,493.75,500.0,488.75,500.0,19200
2002-09-20,387.0054016113281,487.5,497.5,487.5,497.5,3200
2002-09-24,391.9669799804688,493.75,498.75,487.5,487.5,48000
2002-09-25,377.0821533203125,475.0,475.0,475.0,475.0,1600
2002-09-26,363.1896057128906,457.5,457.5,443.75,456.25,9600
2002-09-27,362.1972961425781,456.25,468.75,456.25,456.25,22400
2002-09-30,362.1972961425781,456.25,456.25,450.0,450.0,24800
2002-10-01,362.1972961425781,456.25,456.25,450.0,456.25,39200
2002-10-02,357.2357788085937,450.0,456.25,450.0,456.25,54400
2002-10-03,372.12054443359375,468.75,468.75,450.0,450.0,80000
2002-10-04,363.1896057128906,457.5,457.5,455.0,456.25,22400
2002-10-07,359.22039794921875,452.5,457.5,443.75,450.0,80000
2002-10-08,355.25103759765625,447.5,450.0,443.75,450.0,80000
2002-10-09,357.2357788085937,450.0,452.5,448.75,450.0,77600
2002-10-10,371.1282653808594,467.5,467.5,450.0,450.0,80000
2002-10-11,372.12054443359375,468.75,468.75,462.5,468.75,24000
2002-10-14,372.12054443359375,468.75,468.75,468.75,468.75,0
2002-10-15,377.0821533203125,475.0,475.0,468.75,468.75,17600
2002-10-16,382.0437927246094,481.25,500.0,476.25,487.5,47200
2002-10-17,387.0054016113281,487.5,487.5,481.25,487.5,23200
2002-10-18,387.0054016113281,487.5,490.0,487.5,490.0,43200
2002-10-21,378.0744018554688,476.25,487.5,476.25,487.5,20000
