Date,Open,High,Low,Close,Adj Close,Volume
2023-03-28,3030.0,3580.0,2733.0,2754.0,2754.0,5348900
2023-03-29,3255.0,3255.0,3015.0,3225.0,3225.0,2527300
2023-03-30,3225.0,3770.0,3185.0,3380.0,3380.0,4042600
2023-03-31,3380.0,3560.0,3250.0,3455.0,3455.0,1015800
2023-04-03,3525.0,3900.0,3430.0,3465.0,3465.0,1589300
2023-04-04,3395.0,3640.0,3270.0,3420.0,3420.0,555000
2023-04-05,3330.0,3750.0,3325.0,3665.0,3665.0,713400
2023-04-06,3710.0,3720.0,3380.0,3605.0,3605.0,445600
2023-04-07,3620.0,3630.0,3400.0,3505.0,3505.0,216600
2023-04-10,3500.0,3795.0,3425.0,3730.0,3730.0,429700
2023-04-11,3705.0,4180.0,3635.0,4060.0,4060.0,986600
